Daily_nutriment_requirements_calculator
Nutriment,Daily_requirements
protein,64 g/day *
"fluids (including plain water, milk and other drinks)",2.3 l/day **
fibre,30 g/day **
vitamin a,900 μg/day of retinol equivalents
thiamin,1.2 mg/day *
riboflavin,1.3 mg/day *
niacin,16 mg/day of niacin equivalents
vitamin b6,1.3 mg/day *
vitamin b12,2.4 μg/day *
folate,400 μg/day as dietary folate equivalents
vitamin c,45 mg/day *
calcium,1000 mg/day *
iodine,150 μg/day *
iron,8 mg/day *
magnesium,400 mg/day *
potassium,3800 mg/day *
sodium,460-920 mg/day *
zinc,14 mg/day *
