Table_1
url,Age,Smallest,Largest,Average
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,7 weeks,5 lb,17 lb,9 lb
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,8 weeks,5 lb,17 lb,10 lb
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,9 weeks,8 lb,17 lb,12 lb
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,10 weeks,13 lb,22 lb,15 lb
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,11 weeks,12 lb,22 lb,17 lb
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,3 months,16 lb,43 lb,22 lb
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,4 months,25 lb,44 lb,30 lb
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,5 months,25 lb,57 lb,40 lb
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,6 months,27 lb,72 lb,44 lb
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,7 months,27 lb,67 lb,45 lb
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,8 months,40 lb,67 lb,52 lb
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,9 months,44 lb,68 lb,52 lb
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,10 months,50 lb,68 lb,60 lb
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,11 months,52 lb,80 lb,65 lb
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,1 year,55 lb,90 lb,70 lb
https://pethelpful.com/dogs/-Golden-Retriever-Growth-Sequence-in-the-1st-Year,2 years,55 lb,90 lb,70 lb
