Disney_on_Ice
url,Date,Show,Show_link,Location,City,State
https://www.disneyonice.com/tickets/P10,"Apr 26, 2018 - Apr 29, 2018",Dare to Dream,https://www.disneyonice.com/dare-to-dream,Lake Charles Civic Center,Lake Charles,", LA"
https://www.disneyonice.com/tickets/P10,"May 03, 2018 - May 06, 2018",Frozen,https://www.disneyonice.com/frozen,Valley View Casino Center,San Diego,", CA"
https://www.disneyonice.com/tickets/P10,"May 03, 2018 - May 06, 2018",Reach for the Stars,https://www.disneyonice.com/reach-for-the-stars,AmericanBank Center,Corpus Christi,", TX"
https://www.disneyonice.com/tickets/P10,"May 03, 2018 - May 06, 2018",Dare to Dream,https://www.disneyonice.com/dare-to-dream,Lakefront Arena,New Orleans,", LA"
https://www.disneyonice.com/tickets/P10,"May 10, 2018 - May 13, 2018",Reach for the Stars,https://www.disneyonice.com/reach-for-the-stars,Raising Cane's River Center,Baton Rouge,", LA"
https://www.disneyonice.com/tickets/P10,"May 11, 2018 - May 13, 2018",Dare to Dream,https://www.disneyonice.com/dare-to-dream,Amway Center,Orlando,", FL"
https://www.disneyonice.com/tickets/P10,"May 11, 2018 - May 13, 2018",Frozen,https://www.disneyonice.com/frozen,Pensacola Bay Center,Pensacola,", FL"
https://www.disneyonice.com/tickets/P10,"May 16, 2018 - May 20, 2018",Reach for the Stars,https://www.disneyonice.com/reach-for-the-stars,Von Braun Center,Huntsville,", AL"
https://www.disneyonice.com/tickets/P10,"May 17, 2018 - May 20, 2018",Dare to Dream,https://www.disneyonice.com/dare-to-dream,Alamodome,San Antonio,", TX"
https://www.disneyonice.com/tickets/P10,"Sep 06, 2018 - Sep 09, 2018",Frozen,https://www.disneyonice.com/frozen,FedExForum,Memphis,", TN"
