BandLeadSingers
url,Lead_Singer,Lead_Singer_link,Band
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Freddie Mercury,https://www.ranker.com/review/freddie-mercury/1022223?ref=node_name&pos=1&a=0&ltype=n&l=699213&g=1,Queen
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Robert Plant,https://www.ranker.com/review/robert-plant/1922073?ref=node_name&pos=2&a=0&ltype=n&l=699213&g=1,Led Zeppelin
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Mick Jagger,https://www.ranker.com/review/mick-jagger/1579366?ref=node_name&pos=3&a=0&ltype=n&l=699213&g=1,Rolling Stones
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Jim Morrison,https://www.ranker.com/review/jim-morrison/1291311?ref=node_name&pos=4&a=0&ltype=n&l=699213&g=1,The Doors
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Jimi Hendrix,https://www.ranker.com/review/jimi-hendrix/1288474?ref=node_name&pos=5&a=0&ltype=n&l=699213&g=1,The Jimi Hendrix Experience
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Ozzy Osbourne,https://www.ranker.com/review/ozzy-osbourne/1742531?ref=node_name&pos=6&a=0&ltype=n&l=699213&g=1,Black Sabbath
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Roger Daltrey,https://www.ranker.com/review/roger-daltrey/1930002?ref=node_name&pos=7&a=0&ltype=n&l=699213&g=1,The Who
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Steven Tyler,https://www.ranker.com/review/stephen-victor-tallarico/2096165?ref=node_name&pos=8&a=0&ltype=n&l=699213&g=1,Aerosmith
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,John Lennon,https://www.ranker.com/review/john-lennon/1310216?ref=node_name&pos=9&a=0&ltype=n&l=699213&g=1,The Beatles
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Kurt Cobain,https://www.ranker.com/review/kurt-cobain/1398360?ref=node_name&pos=10&a=0&ltype=n&l=699213&g=1,Nirvana
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Axl Rose,https://www.ranker.com/review/william-bailey/519316?ref=node_name&pos=11&a=0&ltype=n&l=699213&g=1,Guns N Roses
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,David Lee Roth,https://www.ranker.com/review/david-lee-roth/824455?ref=node_name&pos=12&a=0&ltype=n&l=699213&g=1,Van Halen
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Bon Scott,https://www.ranker.com/review/bon-scott/610592?ref=node_name&pos=13&a=0&ltype=n&l=699213&g=1,AC/DC
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Paul McCartney,https://www.ranker.com/review/paul-mccartney/1768827?ref=node_name&pos=14&a=0&ltype=n&l=699213&g=1,The Beatles
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Bono,https://www.ranker.com/review/bono/1767030?ref=node_name&pos=15&a=0&ltype=n&l=699213&g=1,U2
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,James Hetfield,https://www.ranker.com/review/james-hetfield/1261723?ref=node_name&pos=16&a=0&ltype=n&l=699213&g=1,Metallica
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Dave Grohl,https://www.ranker.com/review/dave-grohl/819778?ref=node_name&pos=17&a=0&ltype=n&l=699213&g=1,Foo Fighters
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Alice Cooper,https://www.ranker.com/review/alice-cooper/432383?ref=node_name&pos=18&a=0&ltype=n&l=699213&g=1,Alice Cooper
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Bruce Springsteen,https://www.ranker.com/review/bruce-springsteen/635964?ref=node_name&pos=19&a=0&ltype=n&l=699213&g=1,The E Street Band
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Stevie Nicks,https://www.ranker.com/review/stevie-nicks/2098684?ref=node_name&pos=20&a=0&ltype=n&l=699213&g=1,Fleetwood Mac
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Eddie Vedder,https://www.ranker.com/review/eddie-vedder/910614?ref=node_name&pos=21&a=0&ltype=n&l=699213&g=1,Pearl Jam
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Eric Clapton,http://bit.ly/1zQ99ju,Cream
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Chris Cornell,https://www.ranker.com/review/chris-cornell/728128?ref=node_name&pos=23&a=0&ltype=n&l=699213&g=1,Soundgarden
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Brian Johnson,https://www.ranker.com/review/brian-johnson/626142?ref=node_name&pos=24&a=0&ltype=n&l=699213&g=1,AC/DC
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Jon Bon Jovi,https://www.ranker.com/review/jon-bon-jovi/1319687?ref=node_name&pos=25&a=0&ltype=n&l=699213&g=1,Bon Jovi
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Tom Petty,https://www.ranker.com/review/tom-petty/62169354?ref=node_name&pos=26&a=0&ltype=n&l=699213&g=1,The Heartbreakers
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Steve Perry,https://www.ranker.com/review/steve-perry/2097967?ref=node_name&pos=27&a=0&ltype=n&l=699213&g=1,Journey
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Ronnie James Dio,https://www.ranker.com/review/ronald-padavona/1935115?ref=node_name&pos=28&a=0&ltype=n&l=699213&g=1,Black Sabbath
