Table_of_monarchies_in_Europe
url,Flag_image,Flag_image_alt,Flag_image_link,State,State_link,Type,Type_link,Succession,Succession_link,Dynasty,Dynasty_link,Title,Title_link,Image,Image_alt,Image_link,Incumbent,Incumbent_link,Born,Age,Reigns_since,First_in_line
https://en.wikipedia.org/wiki/Monarchies_in_Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/22px-Flag_of_Andorra.svg.png,,,Principality of Andorra,https://en.wikipedia.org/wiki/Andorra,Constitutional,https://en.wikipedia.org/wiki/Constitutional_monarchy,Ex officio,https://en.wikipedia.org/wiki/Ex_officio,—,,Co-prince,https://en.wikipedia.org/wiki/Co-Princes_of_Andorra,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Mons._Vives_%2830612833490%29.jpg/100px-Mons._Vives_%2830612833490%29.jpg,Mons. Vives (30612833490).jpg,https://en.wikipedia.org/wiki/File:Mons._Vives_(30612833490).jpg,Joan Enric Vives Sicília,https://en.wikipedia.org/wiki/Joan_Enric_Vives_Sic%C3%ADlia,24 July 1949,68 y.,12 May 2003,None; appointed by the pope
https://en.wikipedia.org/wiki/Monarchies_in_Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/22px-Flag_of_Andorra.svg.png,,,Principality of Andorra,https://en.wikipedia.org/wiki/Andorra,Constitutional,https://en.wikipedia.org/wiki/Constitutional_monarchy,Ex officio,https://en.wikipedia.org/wiki/Ex_officio,,,Co-prince,https://en.wikipedia.org/wiki/Co-Princes_of_Andorra,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Emmanuel_Macron_in_Tallinn_Digital_Summit._Welcome_dinner_hosted_by_HE_Donald_Tusk._Handshake_%2836669381364%29_%28cropped_2%29.jpg/100px-Emmanuel_Macron_in_Tallinn_Digital_Summit._Welcome_dinner_hosted_by_HE_Donald_Tusk._Handshake_%2836669381364%29_%28cropped_2%29.jpg,Emmanuel Macron in Tallinn Digital Summit. Welcome dinner hosted by HE Donald Tusk. Handshake (36669381364) (cropped 2).jpg,https://en.wikipedia.org/wiki/File:Emmanuel_Macron_in_Tallinn_Digital_Summit._Welcome_dinner_hosted_by_HE_Donald_Tusk._Handshake_(36669381364)_(cropped_2).jpg,Emmanuel Macron,https://en.wikipedia.org/wiki/Emmanuel_Macron,21 December 1977,40 y.,14 May 2017,None; successor elected in the next French presidential election.
https://en.wikipedia.org/wiki/Monarchies_in_Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/23px-Flag_of_Belgium_%28civil%29.svg.png,,,Kingdom of Belgium,https://en.wikipedia.org/wiki/Belgium,Constitutional,https://en.wikipedia.org/wiki/Realm,Hereditary,https://en.wikipedia.org/wiki/Line_of_succession_to_the_Belgian_throne,Saxe-Coburg and Gotha,https://en.wikipedia.org/wiki/House_of_Saxe-Coburg_and_Gotha,King,https://en.wikipedia.org/wiki/Monarchy_of_Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Prince_Philippe_of_Belgium%2C_Duke_of_Brabant_cropped.jpg/100px-Prince_Philippe_of_Belgium%2C_Duke_of_Brabant_cropped.jpg,"Prince Philippe of Belgium, Duke of Brabant cropped.jpg","https://en.wikipedia.org/wiki/File:Prince_Philippe_of_Belgium,_Duke_of_Brabant_cropped.jpg",Philippe,https://en.wikipedia.org/wiki/Philippe_of_Belgium,15 April 1960,58 y.,21 July 2013,"Heir apparent: Princess Elisabeth, Duchess of Brabant (eldest child)"
https://en.wikipedia.org/wiki/Monarchies_in_Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/20px-Flag_of_Denmark.svg.png,Denmark,https://en.wikipedia.org/wiki/Denmark,Kingdom of Denmark,https://en.wikipedia.org/wiki/Kingdom_of_Denmark,Constitutional,https://en.wikipedia.org/wiki/Realm,Hereditary,https://en.wikipedia.org/wiki/Line_of_succession_to_the_Danish_throne,Glücksburg,https://en.wikipedia.org/wiki/House_of_Gl%C3%BCcksburg,Queen,https://en.wikipedia.org/wiki/Monarchy_of_Denmark,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Dronning_Margrethe_II_%28crop%29.jpg/100px-Dronning_Margrethe_II_%28crop%29.jpg,Dronning Margrethe II (crop).jpg,https://en.wikipedia.org/wiki/File:Dronning_Margrethe_II_(crop).jpg,Margrethe II,https://en.wikipedia.org/wiki/Margrethe_II_of_Denmark,16 April 1940,78 y.,14 January 1972,Heir apparent: Crown Prince Frederik (eldest child)
https://en.wikipedia.org/wiki/Monarchies_in_Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Liechtenstein.svg/23px-Flag_of_Liechtenstein.svg.png,,,Principality of Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein,Constitutional,https://en.wikipedia.org/wiki/Principality,Hereditary,https://en.wikipedia.org/wiki/Line_of_succession_to_the_Liechtensteiner_throne,Liechtenstein,https://en.wikipedia.org/wiki/House_of_Liechtenstein,Sovereign Prince,https://en.wikipedia.org/wiki/Monarchy_of_Liechtenstein,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/F%C3%BCrst_Hans-Adam_II._von_und_zu_Liechtenstein.jpg/100px-F%C3%BCrst_Hans-Adam_II._von_und_zu_Liechtenstein.jpg,Fürst Hans-Adam II. von und zu Liechtenstein.jpg,https://en.wikipedia.org/wiki/File:F%C3%BCrst_Hans-Adam_II._von_und_zu_Liechtenstein.jpg,Hans-Adam II,"https://en.wikipedia.org/wiki/Hans-Adam_II,_Prince_of_Liechtenstein",14 February 1945,73 y.,13 November 1989,Heir apparent: Hereditary Prince Alois (eldest son)
https://en.wikipedia.org/wiki/Monarchies_in_Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/23px-Flag_of_Luxembourg.svg.png,,,Grand Duchy of Luxembourg,https://en.wikipedia.org/wiki/Luxembourg,Constitutional,https://en.wikipedia.org/wiki/Grand_duchy,Hereditary,https://en.wikipedia.org/wiki/Line_of_succession_to_the_Luxembourger_throne,Bourbon,https://en.wikipedia.org/wiki/House_of_Bourbon,Grand Duke,https://en.wikipedia.org/wiki/Monarchy_of_Luxembourg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Henri_of_Luxembourg_in_Brazil_28Nov07.JPG/100px-Henri_of_Luxembourg_in_Brazil_28Nov07.JPG,Henri of Luxembourg in Brazil 28Nov07.JPG,https://en.wikipedia.org/wiki/File:Henri_of_Luxembourg_in_Brazil_28Nov07.JPG,Henri,"https://en.wikipedia.org/wiki/Henri,_Grand_Duke_of_Luxembourg",16 April 1955,63 y.,7 October 2000,Heir apparent: Hereditary Grand Duke Guillaume (eldest child)
https://en.wikipedia.org/wiki/Monarchies_in_Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_Monaco.svg/19px-Flag_of_Monaco.svg.png,,,Principality of Monaco,https://en.wikipedia.org/wiki/Monaco,Constitutional,https://en.wikipedia.org/wiki/Principality,Hereditary,https://en.wikipedia.org/wiki/Line_of_succession_to_the_Monegasque_throne,Grimaldi,https://en.wikipedia.org/wiki/House_of_Grimaldi,Sovereign Prince,https://en.wikipedia.org/wiki/Monarchy_of_Monaco,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Albert_II_Monaco_%282008%29.jpg/100px-Albert_II_Monaco_%282008%29.jpg,Albert II Monaco (2008).jpg,https://en.wikipedia.org/wiki/File:Albert_II_Monaco_(2008).jpg,Albert II,"https://en.wikipedia.org/wiki/Albert_II,_Prince_of_Monaco",14 March 1958,60 y.,6 April 2005,Heir apparent: Hereditary Prince Jacques (only legitimate son)
https://en.wikipedia.org/wiki/Monarchies_in_Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/23px-Flag_of_the_Netherlands.svg.png,,,Kingdom of the Netherlands,https://en.wikipedia.org/wiki/Kingdom_of_the_Netherlands,Constitutional,https://en.wikipedia.org/wiki/Realm,Hereditary,https://en.wikipedia.org/wiki/Line_of_succession_to_the_Dutch_throne,Orange-Nassau,https://en.wikipedia.org/wiki/House_of_Orange-Nassau,King,https://en.wikipedia.org/wiki/Monarchy_of_the_Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Koning-willem-alexander-okt-15-s.jpg/100px-Koning-willem-alexander-okt-15-s.jpg,Koning-willem-alexander-okt-15-s.jpg,https://en.wikipedia.org/wiki/File:Koning-willem-alexander-okt-15-s.jpg,Willem-Alexander,https://en.wikipedia.org/wiki/Willem-Alexander_of_the_Netherlands,27 April 1967,51 y.,30 April 2013,"Heir apparent: Princess Catharina-Amalia, Princess of Orange (eldest child)"
https://en.wikipedia.org/wiki/Monarchies_in_Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/21px-Flag_of_Norway.svg.png,,,Kingdom of Norway,https://en.wikipedia.org/wiki/Norway,Constitutional,https://en.wikipedia.org/wiki/Realm,Hereditary,https://en.wikipedia.org/wiki/Line_of_succession_to_the_Norwegian_throne,Glücksburg,https://en.wikipedia.org/wiki/House_of_Gl%C3%BCcksburg,King,https://en.wikipedia.org/wiki/Monarchy_of_Norway,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/President_Medvedev_with_King_Harald_V_of_Norway_big225593_%28crop%29.jpg/100px-President_Medvedev_with_King_Harald_V_of_Norway_big225593_%28crop%29.jpg,President Medvedev with King Harald V of Norway big225593 (crop).jpg,https://en.wikipedia.org/wiki/File:President_Medvedev_with_King_Harald_V_of_Norway_big225593_(crop).jpg,Harald V,https://en.wikipedia.org/wiki/Harald_V_of_Norway,21 February 1937,81 y.,17 January 1991,Heir apparent: Crown Prince Haakon (only son)
https://en.wikipedia.org/wiki/Monarchies_in_Europe,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/23px-Flag_of_Spain.svg.png,,,Kingdom of Spain,https://en.wikipedia.org/wiki/Spain,Constitutional,https://en.wikipedia.org/wiki/Realm,Hereditary,https://en.wikipedia.org/wiki/Line_of_succession_to_the_Spanish_throne,Bourbon,https://en.wikipedia.org/wiki/House_of_Bourbon,King,https://en.wikipedia.org/wiki/Monarchy_of_Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Felipe_de_Borb%C3%B3n_en_Ecuador.jpg/100px-Felipe_de_Borb%C3%B3n_en_Ecuador.jpg,Felipe de Borbón en Ecuador.jpg,https://en.wikipedia.org/wiki/File:Felipe_de_Borb%C3%B3n_en_Ecuador.jpg,Felipe VI,https://en.wikipedia.org/wiki/Felipe_VI_of_Spain,30 January 1968,50 y.,19 June 2014,"Heir presumptive: Princess Leonor, Princess of Asturias (elder daughter) [II]"
