Table_1
url,English,English_link,German
https://www.dict.cc/?s=Schritt+um+Schritt,gradually {adv},,Schritt um Schritt
https://www.dict.cc/?s=Schritt+um+Schritt,step by step {adv},,Schritt um Schritt
https://www.dict.cc/?s=Schritt+um+Schritt,gradatim {adv},,Schritt für Schritt
https://www.dict.cc/?s=Schritt+um+Schritt,gradually {adv},,Schritt für Schritt
https://www.dict.cc/?s=Schritt+um+Schritt,by degrees {adv},,Schritt für Schritt
https://www.dict.cc/?s=Schritt+um+Schritt,step by step {adv},,Schritt für Schritt
https://www.dict.cc/?s=Schritt+um+Schritt,idiom to do sth. retail [Am.],,etw. Schritt für Schritt machen
https://www.dict.cc/?s=Schritt+um+Schritt,one step at a time {adv},,Schritt für Schritt [bei Treppen und fig.]
https://www.dict.cc/?s=Schritt+um+Schritt,to walk sb. through (the process of) sth.,,etw. mit jdm. Schritt für Schritt durchgehen
https://www.dict.cc/?s=Schritt+um+Schritt,proverb Grain by grain and the hen fills her belly.,,Schritt für Schritt kommt auch ans Ziel.
https://www.dict.cc/?s=Schritt+um+Schritt,step-by-step {adj},,Schritt für Schritt
https://www.dict.cc/?s=Schritt+um+Schritt,footmeal {adv} [obs.] [also fig.] [step by step],,Schritt für Schritt [auch fig.]
https://www.dict.cc/?s=Schritt+um+Schritt,comp. games walkthrough,,Schritt-für-Schritt-Lösung {f}
https://www.dict.cc/?s=Schritt+um+Schritt,step-by-step instruction,,Schritt-für-Schritt-Anleitung {f}
https://www.dict.cc/?s=Schritt+um+Schritt,buoyant {adj} [step],,elastisch [Schritt]
https://www.dict.cc/?s=Schritt+um+Schritt,lively {adj} {adv} [pace],,"flott [Schritt, Tempo]"
https://www.dict.cc/?s=Schritt+um+Schritt,"brisk {adj} [walk, pace]",,flott [Schritt]
https://www.dict.cc/?s=Schritt+um+Schritt,to step back,,zurücktreten [Schritt zurück]
https://www.dict.cc/?s=Schritt+um+Schritt,initial step,,Anfangsschritt {m} [erster Schritt]
https://www.dict.cc/?s=Schritt+um+Schritt,stepping {adj} {pres-p},,"tretend [schreitend, einen Schritt machend]"
https://www.dict.cc/?s=Schritt+um+Schritt,tech. horizontal displacement [step],,horizontales Versetzen {n} [Schritt]
https://www.dict.cc/?s=Schritt+um+Schritt,run,,"Lauf {m} [schneller Schritt, Durchgang, Comp., Musik]"
https://www.dict.cc/?s=Schritt+um+Schritt,step,,"Tritt {m} [Schritt, Gang, Stufe, Trittbrett etc.]"
https://www.dict.cc/?s=Schritt+um+Schritt,bold {adj} [courageous],,"mutig [kühn (Person, Entscheidung, Schritt etc.)]"
https://www.dict.cc/?s=Schritt+um+Schritt,to tramp,,stapfen [mit schwerem Schritt oder unbeholfen gehen]
https://www.dict.cc/?s=Schritt+um+Schritt,cloth. crotch [of tights],,Zwickel {m} [im Schritt einer Strumpfhose]
https://www.dict.cc/?s=Schritt+um+Schritt,sports goalie guard [coll.],,Eierbecher {m} [ugs.] [Protektor für den Schritt]
https://www.dict.cc/?s=Schritt+um+Schritt,cloth. pearl thong,,Perlen-Tanga {m} [Tanga mit Perlenschnur im Schritt]
https://www.dict.cc/?s=Schritt+um+Schritt,cloth. pearl (string) thong,,Perlen-Stringtanga {m} [Tanga mit Perlenschnur im Schritt]
https://www.dict.cc/?s=Schritt+um+Schritt,to curb sth. [slow (one's pace)],,etw. verhalten [geh.] [(den Schritt) verlangsamen]
https://www.dict.cc/?s=Schritt+um+Schritt,stamper [sb. with a heavy gait],,Trampler {m} [ugs.] [jd. / etw. mit schwerem Schritt]
https://www.dict.cc/?s=Schritt+um+Schritt,to keep up (with) [move or progress at the same rate],,nachkommen [Schritt halten können]
https://www.dict.cc/?s=Schritt+um+Schritt,to keep up with sb./sth. [stay close while following],,mit jdm./etw. mitkommen [Schritt halten] [ugs.]
https://www.dict.cc/?s=Schritt+um+Schritt,stepping {adj},,Schritt-
https://www.dict.cc/?s=Schritt+um+Schritt,cloth. crotch,,Schritt {m}
https://www.dict.cc/?s=Schritt+um+Schritt,footstep,,Schritt {m}
https://www.dict.cc/?s=Schritt+um+Schritt,stride,,Schritt {m}
https://www.dict.cc/?s=Schritt+um+Schritt,tread,,Schritt {m}
https://www.dict.cc/?s=Schritt+um+Schritt,equest. walk,,Schritt {m}
https://www.dict.cc/?s=Schritt+um+Schritt,cloth. pearl (string) thong,,Perlen-String-Tanga {m} [Tanga mit Perlenschnur im Schritt]
https://www.dict.cc/?s=Schritt+um+Schritt,move,,Schritt {m} [fig.]
https://www.dict.cc/?s=Schritt+um+Schritt,cloth. hist. open drawers {pl} [legged undergarment with an open crotch],,"Stehbrunzer {f} [südd.] [im Schritt offene Unterhose für Frauen, ca. knielang]"
https://www.dict.cc/?s=Schritt+um+Schritt,gamble,,riskanter Schritt {m}
https://www.dict.cc/?s=Schritt+um+Schritt,sb. strode,,jd. schritt
https://www.dict.cc/?s=Schritt+um+Schritt,sb. trod,,jd. schritt
https://www.dict.cc/?s=Schritt+um+Schritt,increment of movement,,Schritt {m}
https://www.dict.cc/?s=Schritt+um+Schritt,initial step,,erster Schritt {m}
https://www.dict.cc/?s=Schritt+um+Schritt,swinging step,,federnder Schritt {m}
https://www.dict.cc/?s=Schritt+um+Schritt,smart pace,,flotter Schritt {m}
https://www.dict.cc/?s=Schritt+um+Schritt,brisk pace,,forscher Schritt {m}
