Table_1
url,Current_Rank,Name,Previous_Rank,Peak_Position
https://www.billboard.com/charts/artist-100,1,J. Cole,96,1
https://www.billboard.com/charts/artist-100,2,Drake,3,1
https://www.billboard.com/charts/artist-100,3,Cardi B,2,1
https://www.billboard.com/charts/artist-100,4,Avicii,--,4
https://www.billboard.com/charts/artist-100,5,Imagine Dragons,5,1
https://www.billboard.com/charts/artist-100,6,Ariana Grande,--,1
https://www.billboard.com/charts/artist-100,7,Ed Sheeran,6,1
https://www.billboard.com/charts/artist-100,8,A Perfect Circle,--,8
https://www.billboard.com/charts/artist-100,9,Post Malone,8,3
https://www.billboard.com/charts/artist-100,10,Kendrick Lamar,9,1
https://www.billboard.com/charts/artist-100,11,The Weeknd,7,1
https://www.billboard.com/charts/artist-100,12,Camila Cabello,15,1
https://www.billboard.com/charts/artist-100,13,BTS,13,2
https://www.billboard.com/charts/artist-100,14,Jason Aldean,1,1
https://www.billboard.com/charts/artist-100,15,Shawn Mendes,18,1
https://www.billboard.com/charts/artist-100,16,Taylor Swift,26,1
https://www.billboard.com/charts/artist-100,17,Migos,14,1
https://www.billboard.com/charts/artist-100,18,Bruno Mars,16,1
https://www.billboard.com/charts/artist-100,19,Maroon 5,23,1
https://www.billboard.com/charts/artist-100,20,Dua Lipa,21,14
https://www.billboard.com/charts/artist-100,21,Chris Stapleton,17,1
https://www.billboard.com/charts/artist-100,22,XXXTENTACION,19,1
https://www.billboard.com/charts/artist-100,23,Florida Georgia Line,24,1
https://www.billboard.com/charts/artist-100,24,Kane Brown,20,5
https://www.billboard.com/charts/artist-100,25,Nicki Minaj,11,2
https://www.billboard.com/charts/artist-100,26,Khalid,41,11
https://www.billboard.com/charts/artist-100,27,Lord Huron,--,27
https://www.billboard.com/charts/artist-100,28,Halsey,27,1
https://www.billboard.com/charts/artist-100,29,SZA,31,16
https://www.billboard.com/charts/artist-100,30,Thomas Rhett,29,1
https://www.billboard.com/charts/artist-100,31,Kanye West,--,3
https://www.billboard.com/charts/artist-100,32,Rich The Kid,30,16
https://www.billboard.com/charts/artist-100,33,Marshmello,37,25
https://www.billboard.com/charts/artist-100,34,Bebe Rexha,32,32
https://www.billboard.com/charts/artist-100,35,Luke Combs,38,10
https://www.billboard.com/charts/artist-100,36,Demi Lovato,34,3
https://www.billboard.com/charts/artist-100,37,Bazzi,35,35
https://www.billboard.com/charts/artist-100,38,Charlie Puth,42,8
https://www.billboard.com/charts/artist-100,39,Brothers Osborne,--,32
https://www.billboard.com/charts/artist-100,40,Justin Timberlake,33,1
https://www.billboard.com/charts/artist-100,41,Kenny Chesney,46,1
