Taylor_Swift
url,Date,Market,Building
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,May 8,"Glendale, AZ",University of Phoenix Stadium
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,May 12,"Santa Clara, CA",Levi’s Stadium
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,May 19,"Pasadena, CA",Rose Bowl
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,May 22,"Seattle, WA",CenturyLink Field
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,May 25,"Denver, CO",Sports Authority Field At Mile High
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,June 2,"Chicago, IL",Soldier Field
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,June 30,"Louisville, KY",Papa John’s Cardinal Stadium
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,July 7,"Columbus, OH",Ohio Stadium
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,July 10,"Washington, DC",FedEx Field
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,July 14,"Philadelphia, PA",Lincoln Financial Field
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,July 17,"Cleveland, OH",First Energy Stadium
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,July 21,"East Rutherford, NJ",MetLife Stadium
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,July 28,"Foxborough, MA",Gillette Stadium
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,August 4,"Toronto, ON",Rogers Centre
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,August 7,"Pittsburgh, PA",Heinz Field
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,August 11,"Atlanta, GA",Mercedes-Benz Stadium
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,August 14,"Tampa, FL",Raymond James Stadium
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,August 18,"Miami, FL",Hard Rock Stadium
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,August 25,"Nashville, TN",Nissan Stadium
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,August 28,"Detroit, MI",Ford Field
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,September 1,"Minneapolis, MN",U.S. Bank Stadium
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,September 8,"Kansas City, MO",Arrowhead Stadium
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,Sept. 15,"Indianapolis, IN",Lucas Oil Stadium
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,Sept. 18,"St. Louis, MO",The Dome at America’s Center
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,Sept. 22,"New Orleans, LA",Mercedes-Benz Superdome
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,Sept. 29,"Houston, TX",NRG Stadium
http://www.star-telegram.com/sports/nfl/dallas-cowboys/article184314943.html,October 6,"Arlington, TX",AT&T Stadium
