Cryptocurrencies
url,Release_1,Status,Currency,Currency_link,Description
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2009; 2009,Active,Bitcoin,https://en.wikipedia.org/wiki/Bitcoin,"2009
 
Active
 
Bitcoin
 
BTC,[4][5] XBT, ₿
 
Satoshi Nakamoto[nt 1]
 
SHA-256d[6][7]
 
C++[8]
 
PoW[7][9]
 
The first decentralized ledger currency. Cryptocurrency with the most famous, popular, notable and highest market capitalization."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2011; 2011,Active,Litecoin,https://en.wikipedia.org/wiki/Litecoin,"2011
 
Active
 
Litecoin
 
LTC, Ł
 
Charlie Lee
 
Scrypt
 
C++[10]
 
PoW
 
The first cryptocurrency to use Scrypt as a hashing algorithm."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2011; 2011,Active,Namecoin,https://en.wikipedia.org/wiki/Namecoin,"2011
 
Active
 
Namecoin
 
NMC
 
Vincent Durham[11][12]
 
SHA-256d
 
C++[13]
 
PoW
 
Also acts as an alternative, decentralized DNS."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2011; 2011,Active,SwiftCoin,https://en.wikipedia.org/wiki/SwiftCoin,"2011
 
Active
 
SwiftCoin
 
STC
 
Daniel Bruno
 
SHA-256
 
 
PoW
 
First digital coin with theoretical value based on the work required to produce electricity. First block chain to support currency creation by interest paid on debt. Solidus Bond proto smart-contract. One of the first digital coins patented in the US. First block chain to support encrypted mail with attachments."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2012; 2012,Active,Bytecoin,https://en.wikipedia.org/wiki/Bytecoin_(cryptocurrency),"2012
 
Active
 
Bytecoin
 
BCN
 
 
CryptoNote
 
C++[14]
 
PoW
 
First cryptocurrency based on the CryptoNote algorithm. Focused on user privacy through impassive and anonymous transactions"
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2012; 2012,Active,Peercoin,https://en.wikipedia.org/wiki/Peercoin,"2012
 
Active
 
Peercoin
 
PPC
 
Sunny King
 (pseudonym)[15]
 
SHA-256d[16]
 
C++[17]
 
PoW & PoS
 
The first cryptocurrency to use POW and POS functions."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2013; 2013,Active,Dogecoin,https://en.wikipedia.org/wiki/Dogecoin,"2013
 
Active
 
Dogecoin
 
DOGE, XDG, Ð
 
Jackson Palmer
 & Billy Markus[18]
 
Scrypt[19]
 
C++[20]
 
PoW
 
Based on an internet meme."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2013; 2013,Active,Emercoin,https://en.wikipedia.org/wiki/Emercoin,"2013
 
Active
 
Emercoin
 
EMC
 
EvgenijM86 & Yitshak Dorfman
 
SHA-256
 
C++[21]
 
PoW & PoS
 
Trusted storage for any small data: acts as an alternative, decentralized DNS, PKI store, SSL infrastructure and other."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2013[22]; 2013,Active,Feathercoin,https://en.wikipedia.org/wiki/Feathercoin,"2013[22]
 
Active
 
Feathercoin
 
FTC, ₣
 
Peter Bushnell, Brasenose College of Oxford University
 
NeoScrypt
 
C++[23]
 
N/A
 
Approx. 60 seconds block time"
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2013[24][25]; 2013,Active,Gridcoin,https://en.wikipedia.org/wiki/Gridcoin,"2013[24][25]
 
Active
 
Gridcoin
 
GRC
 
Rob Hälford [26]
 
Scrypt
 
C++[27]
 
Decentralized PoS
 
The first cryptocurrency linked to citizen science through the Berkeley Open Infrastructure for Network Computing[28][29]"
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2013; 2013,Active,Primecoin,https://en.wikipedia.org/wiki/Primecoin,"2013
 
Active
 
Primecoin
 
XPM
 
Sunny King
 (pseudonym)[15]
 
1CC/2CC/TWN[30]
 
TypeScript, C++[31]
 
PoW[30]
 
Uses the finding of prime chains composed of Cunningham chains and bi-twin chains for proof-of-work, which can lead to useful byproducts."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2013; 2013,Active,Ripple,https://en.wikipedia.org/wiki/Ripple_(payment_protocol),"2013
 
Active
 
Ripple[32][33][34]
 
XRP[34]
 
Chris Larsen &
 Jed McCaleb[35]
 
ECDSA[36]
 
C++[37]
 
""Consensus""
 
Designed for peer to peer debt transfer. Not based on bitcoin."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2013; 2013,Active,Nxt,https://en.wikipedia.org/wiki/Nxt,"2013
 
Active
 
Nxt
 
NXT
 
BCNext
 (pseudonym)
 
SHA-256d[38]
 
Java[39]
 
PoS
 
Specifically designed as a flexible platform to build applications and financial services around its protocol."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2014; 2014,Active,Auroracoin,https://en.wikipedia.org/wiki/Auroracoin,"2014
 
Active
 
Auroracoin
 
AUR
 
Baldur Odinsson
 (pseudonym)[40]
 
Scrypt
 
C++[41]
 
PoW
 
Created as an alternative to fiat currency in Iceland."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2014; 2014,,Coinye,https://en.wikipedia.org/wiki/Coinye,"2014
 
Inactive
 
Coinye
 
KOI, COYE
 
 
Scrypt
 
 
PoW
 
Used American hip hop artist Kanye West as its mascot, abandoned after trademark lawsuit."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2014; 2014,Active,Dash,https://en.wikipedia.org/wiki/Dash_(cryptocurrency),"2014
 
Active
 
Dash
 
DASH
 
Evan Duffield &
 Kyle Hagan[42]
 
X11
 
C++[43]
 
PoW & Proof of Service[nt 2]
 
A bitcoin-based currency featuring instant transactions, decentralized governance and budgeting, and private transactions."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2014; 2014,Active,NEO,https://en.wikipedia.org/wiki/NEO_(cryptocurrency),"2014
 
Active
 
NEO
 
NEO
 
Da Hongfei & Erik Zhang
 
SHA-256 & RIPEMD160
 
C#[44]
 
dBFT
 
Chinese based cryptocurrency (formerly ANT Shares which produce ANT Coins) name change August 2017 to NEO and GAs, these enable the development of digital assets and smart contracts."
