St_Charles_Vegan
url,Rank,Name,Review_Count,Price,Category_List_Text,Neighborhood,Address_1,Address_2,Phone_Number,Snippet
https://www.yelp.com/search?find_desc=Vegan+Restaurants&find_loc=St+Charles%2C+Saint+Louis%2C+MO,Ad,Tucanos Brazilian Grill,313 reviews,$$,"Buffets, Brazilian",St Charles,1520 S 5th St,"St. Charles, MO 63303",(636) 724-4499,I was very hesitant to go here so soon after they opened after reading all the reviews but decided to take a chance last Friday. We did not have reservations and were told it would… read more
https://www.yelp.com/search?find_desc=Vegan+Restaurants&find_loc=St+Charles%2C+Saint+Louis%2C+MO,Ad,Lion’s Choice,11 reviews,$,"Sandwiches, Fast Food, American (Traditional)",St Charles,3140 Elm Point Industrial Dr,"St. Charles, MO 63301",(636) 947-7638,"This place puts Arby's to shame. DELICIOUS roast beef, that actually looks and tastes like roast beef. The fries were decent, midpack at best. I was actually very disappointed with… read more"
https://www.yelp.com/search?find_desc=Vegan+Restaurants&find_loc=St+Charles%2C+Saint+Louis%2C+MO,1.,Bike Stop Cafe,139 reviews,$,"Vegetarian, Breakfast & Brunch, Vegan",St Charles,701 S Riverside Dr,"St Charles, MO 63301",(636) 724-9900,Love this place! My daughter has an egg allergy and we love getting their Vegan Zucchini muffins. They are so yummy and sweet! The menu is clearly marked for vegan and vegetarian… read more
https://www.yelp.com/search?find_desc=Vegan+Restaurants&find_loc=St+Charles%2C+Saint+Louis%2C+MO,2.,Symbowl,13 reviews,$$,"Specialty Food, Juice Bars & Smoothies",St Charles,1456 Bass Pro Shop Dr,"Saint Charles, MO 63301",(636) 493-1138,"I LOVE THIS PLACE! As a vegetarian, options in St. Charles are limited, and this place is by far the freshest and healthiest of choices for a quick lunch. The vegan/ gluten-free/… read more"
https://www.yelp.com/search?find_desc=Vegan+Restaurants&find_loc=St+Charles%2C+Saint+Louis%2C+MO,3.,Prasino,557 reviews,$$,"American (New), Bars",St Charles,1520 S 5th St,"St. Charles, MO 63303",(636) 277-0202,This place is amazing!!! I've loved EVERY single dish and drink I've had here! Have I mentioned their desserts are to die for ? Plus they are VEGAN read more
https://www.yelp.com/search?find_desc=Vegan+Restaurants&find_loc=St+Charles%2C+Saint+Louis%2C+MO,4.,Fred and Ricky’s Plant Delicious Foods,25 reviews,$,"Vegan, Vegetarian, American (Traditional)",,64 Weldon Pkwy,"Maryland Heights, MO 63043",(314) 942-8900,"Wow! Organic vegan whole food by mail?!? Yes, please! I will be placing my first order this week and am excited to try this awesome looking food! read more"
https://www.yelp.com/search?find_desc=Vegan+Restaurants&find_loc=St+Charles%2C+Saint+Louis%2C+MO,5.,Fred and Ricky’s Plant Delicious Foods,22 reviews,$$,"American (Traditional), Vegan, Vegetarian",,11252 Olive Blvd,"Creve Coeur, MO 63141",(314) 942-3100,"St. Louis is so lucky to have such an incredible business operating here. It embodies everything that is on the cutting edge of vegan cuisine. Being SOS free, meaning no salt no… read more"
https://www.yelp.com/search?find_desc=Vegan+Restaurants&find_loc=St+Charles%2C+Saint+Louis%2C+MO,6.,Mario’s Donuts & Cafe,106 reviews,$,"Cafes, Donuts, Breakfast & Brunch",St Charles,2786 Muegge Rd,"St Charles, MO 63303",(636) 447-4515,"My husband and I go here often, the food is delicious and at a great price! The employees are polite and keep the restaurant clean . I recommend the falafels, and the Greek grape… read more"
https://www.yelp.com/search?find_desc=Vegan+Restaurants&find_loc=St+Charles%2C+Saint+Louis%2C+MO,7.,Bombay Food Junkies,76 reviews,$$,"Indian, Vegan, Vegetarian",St Ann,3578 Adie Rd,"Saint Louis, MO 63074",(573) 578-6583,"What a pleasure to dine at Bombay Food Junkies! This restaurant is a gem! Krupa, owner and chef, will make you feel right at home the second you walk in the door. She creates the… read more"
https://www.yelp.com/search?find_desc=Vegan+Restaurants&find_loc=St+Charles%2C+Saint+Louis%2C+MO,8.,Frida’s,170 reviews,$$,Vegetarian,,622 N And S Rd,"University City, MO 63130",(314) 727-6500,Went to Frida's today with my vegan daughter. She ordered the gluten free vegan pizza and chocolate ganache. She said the pizza was the best she'd ever had. The ganache was rich and… read more
https://www.yelp.com/search?find_desc=Vegan+Restaurants&find_loc=St+Charles%2C+Saint+Louis%2C+MO,9.,Picasso’s Coffee House,170 reviews,$$,"Cafes, Breakfast & Brunch, Sandwiches",St Charles,101 N Main St,"Saint Charles, MO 63301",(636) 925-2911,"The only good part of St. Charles is downtown, and the best part of downtown is Picasso's. They need more vegan selections (hence only 4 stars), but the portobello panini is pretty… read more"
https://www.yelp.com/search?find_desc=Vegan+Restaurants&find_loc=St+Charles%2C+Saint+Louis%2C+MO,10.,Pangea,22 reviews,$$$,"Desserts, Bars, American (New)",,3245 Rue Royale,"Saint Charles, MO 63301",(636) 442-4044,Holy delicious! Also the Chef is more than willing to accommodate food allergies and my vegan Wife read more
https://www.yelp.com/search?find_desc=Vegan+Restaurants&find_loc=St+Charles%2C+Saint+Louis%2C+MO,Ad,Balaban’s,71 reviews,$$,"American (Traditional), Breakfast & Brunch, Wine Bars",,1772 Clarkson Rd,"Chesterfield, MO 63017",(636) 449-6700,We made the trip to St. Louis from Paragould Arkansas. After a long week at work we decided to take off and enjoy mom and dad time without kids. We googled places to eat in St. Louis… read more
