Table_1
url,Event,Date
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Summer term on-line check-in,June 21-26
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Summer term classes begin,June 22
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,First week of schedule adjustment. Permission to add is not necessary unless normally required,June 22-28
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Fall Term course change period,June 22-August 23
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Special Day of classes; courses meeting 10A period 10:00 to 11:50, 2A period 12:00 to 1:50 3A/3B periods 2:00 to 3:50",June 24
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Deadline to complete check-in without a $50 late registration fee - check-in must be completed by 11:59 p.m.,June 26
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Deadline for prospective summer term graduates in residence to elect or change a major or minor,June 28
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Second week of schedule adjustment. All courses require Instructor permission in order to add courses,June 29-July 5
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day for delayed check-in (with $50 late fee). Any student not checked-in by the end of this day, but still listed with the enrollment pattern letter R (Residence) for the summer term is liable for administrative withdrawal",July 1
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Independence Day, College Holiday (no classes held)",July 4
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day for each undergraduate to establish official and final two-, three-, or four-course load. Any registered student not officially enrolled in at least two courses becomes liable for administrative withdrawal.",July 5
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day for electing use of the Non-Recording Option (NRO),July 6
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Enrollment Census,July 19
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Interim housing applications due for the break between summer and fall terms,July 28
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day for dropping a fourth course without a grade notation of ""W."" (Acknowledgment of instructor required. If dropping a fourth course after this date, one of four eligibilities for a fourth course without extra tuition is exhausted by such action.)",August 2
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Date for submission of degree applications by prospective summer term graduates,August 3
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day to withdraw from a course; any later request to withdraw from a course requires petition to a special committee.,August 9
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day to alter grade limit filed under the Non-Recording Option (NRO),August 15
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Last day in term for holding a major quiz or an hour examination,August 15
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Summer term classes end,August 23
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day, prior to the start of fall term classes, for students to make changes in fall term elections",August 23
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Pre-Examination Break,August 24-25
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final examinations begin,August 26
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Scheduled Final Examinations end,August 28
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final examination period ends,August 29
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Grades and medians available on the web,September 11
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Fall term on-line check-in,September 10-13
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Fall term classes begin,September 11
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,First week of schedule adjustment. Permission to add is not necessary unless normally required,September 11-17
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Deadline to complete check-in without a $50 late registration fee - check-in must be completed by 11:59 p.m.,September 13
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day for delayed check-in (with $50 late fee). Any student not checked in by the end of this day, but still listed with the enrollment pattern letter R (residence) for the fall term is liable for administrative withdrawal.",September 20
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Deadline for prospective fall term graduates in residence to elect or change a major or minor,September 18
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Second week of schedule adjustment. All courses require Instructor permission to add courses,September 18-24
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day for each undergraduate to establish official and final two-, three-, or four-course load. Any registered student not officially enrolled in at least two courses becomes liable for administrative withdrawal.",September 24
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day for electing use of the Non-Recording Option (NRO),September 25
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Deadline to file completed transfer term applications for winter and spring terms,October 2
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Homecoming Weekend,October 6-7
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Enrollment Census,October 15
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day for students to change their enrollment pattern for winter term,October 16
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day to be eligible for on-time college housing assignment,October 16
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Winter term housing applications due,October 16
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Date for submission of degree applications by prospective fall term graduates,October 16
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Course Timetable available for the winter term,October 20
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Interim housing applications due for the break between fall and winter,October 20
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day for dropping a fourth course without a grade notation of ""W."" (Acknowledgment of instructor required. If dropping a fourth course after this date, one of four eligibilities for a fourth course without extra tuition is exhausted by such action.)",October 23
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Winter term course election period,October 25-November 2
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day to withdraw from a course; any later request to withdraw from a course requires petition to a special committee.,October 31
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day of winter term course election period,November 2
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day to alter grade limit filed under the Non-Recording Option (NRO),November 6
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Last day in term for holding a major test or examination,November 6
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Winter term course change period,November 10-14
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Fall term classes end,November 14
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day, prior to the start of winter term classes, for making changes in winter term course elections",November 14
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Pre-Examination Break,November 15-16
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final examinations begin,November 17
