Table_1
url,Rank,Rank_link,Poster,Poster_alt,Poster_link,Name,Name_link,Airing
http://www.tvguide.com/tvshows/,1,http://www.tvguide.com/tvshows/dancing-with-the-stars/191470/,http://c-7npsfqifvt34x24tubujdx2euwhdeox2eofu.g00.tvguide.com/g00/3_c-7x78x78x78.uwhvjef.dpn_/c-7NPSFQIFVT34x24iuuqx3ax2fx2ftubujd.uwhdeo.ofux2fgffex2f2x2f676x2fuivnctx2f229412676_211y244.kqhx3fj21d.nbslx3djnbhf_$/$/$/$/$/$,Dancing with the Stars,http://www.tvguide.com/tvshows/dancing-with-the-stars/191470/,Dancing with the Stars: Athletes,http://www.tvguide.com/tvshows/dancing-with-the-stars/191470/,"Monday, May 7 at 8:00 pm | ABC"
http://www.tvguide.com/tvshows/,2,http://www.tvguide.com/tvshows/13-reasons-why/1032508/,http://c-7npsfqifvt34x24tubujdx2euwhdeox2eofu.g00.tvguide.com/g00/3_c-7x78x78x78.uwhvjef.dpn_/c-7NPSFQIFVT34x24iuuqx3ax2fx2ftubujd.uwhdeo.ofux2fgffex2f2x2f64x2fuivnctx2f228356164_211y244.kqhx3fj21d.nbslx3djnbhf_$/$/$/$/$/$,13 Reasons Why,http://www.tvguide.com/tvshows/13-reasons-why/1032508/,13 Reasons Why,http://www.tvguide.com/tvshows/13-reasons-why/1032508/,Not airing in the next 14 days
http://www.tvguide.com/tvshows/,3,http://www.tvguide.com/tvshows/westworld/724110/,http://c-7npsfqifvt34x24tubujdx2euwhdeox2eofu.g00.tvguide.com/g00/3_c-7x78x78x78.uwhvjef.dpn_/c-7NPSFQIFVT34x24iuuqx3ax2fx2ftubujd.uwhdeo.ofux2fgffex2f2x2f256x2fuivnctx2f229375256_211y244.kqhx3fj21d.nbslx3djnbhf_$/$/$/$/$/$,Westworld,http://www.tvguide.com/tvshows/westworld/724110/,Westworld,http://www.tvguide.com/tvshows/westworld/724110/,"Tuesday, May 1 at 5:00 pm | HBO2"
http://www.tvguide.com/tvshows/,4,http://www.tvguide.com/tvshows/fear-the-walking-dead/784566/,http://c-7npsfqifvt34x24tubujdx2euwhdeox2eofu.g00.tvguide.com/g00/3_c-7x78x78x78.uwhvjef.dpn_/c-7NPSFQIFVT34x24iuuqx3ax2fx2ftubujd.uwhdeo.ofux2fgffex2f2x2f029x2fuivnctx2f229340029_211y244.kqhx3fj21d.nbslx3djnbhf_$/$/$/$/$/$,Fear the Walking Dead,http://www.tvguide.com/tvshows/fear-the-walking-dead/784566/,Fear the Walking Dead,http://www.tvguide.com/tvshows/fear-the-walking-dead/784566/,"Friday, May 4 at 11:00 pm | AMC"
http://www.tvguide.com/tvshows/,5,http://www.tvguide.com/tvshows/american-idol/1065124/,http://c-7npsfqifvt34x24tubujdx2euwhdeox2eofu.g00.tvguide.com/g00/3_c-7x78x78x78.uwhvjef.dpn_/c-7NPSFQIFVT34x24iuuqx3ax2fx2ftubujd.uwhdeo.ofux2fgffex2f2x2f486x2fuivnctx2f229257486_211y244.kqhx3fj21d.nbslx3djnbhf_$/$/$/$/$/$,American Idol,http://www.tvguide.com/tvshows/american-idol/1065124/,American Idol,http://www.tvguide.com/tvshows/american-idol/1065124/,"Sunday, May 6 at 8:00 pm | ABC"
http://www.tvguide.com/tvshows/,6,http://www.tvguide.com/tvshows/marvels-agents-of-shield/555470/,http://c-7npsfqifvt34x24tubujdx2euwhdeox2eofu.g00.tvguide.com/g00/3_c-7x78x78x78.uwhvjef.dpn_/c-7NPSFQIFVT34x24iuuqx3ax2fx2ftubujd.uwhdeo.ofux2fgffex2f2x2f888x2fuivnctx2f228070888_211y244.kqhx3fj21d.nbslx3djnbhf_$/$/$/$/$/$,Marvel's Agents of S.H.I.E.L.D.,http://www.tvguide.com/tvshows/marvels-agents-of-shield/555470/,Marvel's Agents of S.H.I.E.L.D.,http://www.tvguide.com/tvshows/marvels-agents-of-shield/555470/,"Friday, May 4 at 9:01 pm | ABC"
http://www.tvguide.com/tvshows/,7,http://www.tvguide.com/tvshows/the-handmaids-tale/927704/,http://c-7npsfqifvt34x24tubujdx2euwhdeox2eofu.g00.tvguide.com/g00/3_c-7x78x78x78.uwhvjef.dpn_/c-7NPSFQIFVT34x24iuuqx3ax2fx2ftubujd.uwhdeo.ofux2fgffex2f2x2f917x2fuivnctx2f229387917_211y244.kqhx3fj21d.nbslx3djnbhf_$/$/$/$/$/$,The Handmaid's Tale,http://www.tvguide.com/tvshows/the-handmaids-tale/927704/,The Handmaid's Tale,http://www.tvguide.com/tvshows/the-handmaids-tale/927704/,Not airing in the next 14 days
http://www.tvguide.com/tvshows/,8,http://www.tvguide.com/tvshows/the-blacklist/555487/,http://c-7npsfqifvt34x24tubujdx2euwhdeox2eofu.g00.tvguide.com/g00/3_c-7x78x78x78.uwhvjef.dpn_/c-7NPSFQIFVT34x24iuuqx3ax2fx2ftubujd.uwhdeo.ofux2fgffex2f2x2f853x2fuivnctx2f226052853_211y244.kqhx3fj21d.nbslx3djnbhf_$/$/$/$/$/$,The Blacklist,http://www.tvguide.com/tvshows/the-blacklist/555487/,The Blacklist,http://www.tvguide.com/tvshows/the-blacklist/555487/,"Wednesday, May 2 at 8:00 pm | NBC"
http://www.tvguide.com/tvshows/,9,http://www.tvguide.com/tvshows/scandal/324837/,http://c-7npsfqifvt34x24tubujdx2euwhdeox2eofu.g00.tvguide.com/g00/3_c-7x78x78x78.uwhvjef.dpn_/c-7NPSFQIFVT34x24iuuqx3ax2fx2ftubujd.uwhdeo.ofux2fgffex2f2x2f705x2fuivnctx2f228833705_211y244.kqhx3fj21d.nbslx3djnbhf_$/$/$/$/$/$,Scandal,http://www.tvguide.com/tvshows/scandal/324837/,Scandal,http://www.tvguide.com/tvshows/scandal/324837/,Not airing in the next 14 days
http://www.tvguide.com/tvshows/,10,http://www.tvguide.com/tvshows/roseanne/1131561/,http://c-7npsfqifvt34x24tubujdx2euwhdeox2eofu.g00.tvguide.com/g00/3_c-7x78x78x78.uwhvjef.dpn_/c-7NPSFQIFVT34x24iuuqx3ax2fx2ftubujd.uwhdeo.ofux2fgffex2f2x2f266x2fuivnctx2f229318266_211y244.kqhx3fj21d.nbslx3djnbhf_$/$/$/$/$/$,Roseanne,http://www.tvguide.com/tvshows/roseanne/1131561/,Roseanne,http://www.tvguide.com/tvshows/roseanne/1131561/,"Tuesday, May 1 at 8:00 pm | ABC"
http://www.tvguide.com/tvshows/,11,http://www.tvguide.com/tvshows/the-walking-dead/303547/,http://c-7npsfqifvt34x24tubujdx2euwhdeox2eofu.g00.tvguide.com/g00/3_c-7x78x78x78.uwhvjef.dpn_/c-7NPSFQIFVT34x24iuuqx3ax2fx2ftubujd.uwhdeo.ofux2fgffex2f2x2f449x2fuivnctx2f229256449_211y244.kqhx3fj21d.nbslx3djnbhf_$/$/$/$/$/$,The Walking Dead,http://www.tvguide.com/tvshows/the-walking-dead/303547/,The Walking Dead,http://www.tvguide.com/tvshows/the-walking-dead/303547/,Not airing in the next 14 days
http://www.tvguide.com/tvshows/,12,http://www.tvguide.com/tvshows/supernatural/192272/,http://c-7npsfqifvt34x24tubujdx2euwhdeox2eofu.g00.tvguide.com/g00/3_c-7x78x78x78.uwhvjef.dpn_/c-7NPSFQIFVT34x24iuuqx3ax2fx2ftubujd.uwhdeo.ofux2fgffex2f2x2f492x2fuivnctx2f228035492_211y244.kqhx3fj21d.nbslx3djnbhf_$/$/$/$/$/$,Supernatural,http://www.tvguide.com/tvshows/supernatural/192272/,Supernatural,http://www.tvguide.com/tvshows/supernatural/192272/,"Wednesday, May 2 at 10:00 am | TNT"
http://www.tvguide.com/tvshows/,13,http://www.tvguide.com/tvshows/chicago-fire/375373/,http://c-7npsfqifvt34x24tubujdx2euwhdeox2eofu.g00.tvguide.com/g00/3_c-7x78x78x78.uwhvjef.dpn_/c-7NPSFQIFVT34x24iuuqx3ax2fx2ftubujd.uwhdeo.ofux2fgffex2f2x2f075x2fuivnctx2f228853075_211y244.kqhx3fj21d.nbslx3djnbhf_$/$/$/$/$/$,Chicago Fire,http://www.tvguide.com/tvshows/chicago-fire/375373/,Chicago Fire,http://www.tvguide.com/tvshows/chicago-fire/375373/,"Thursday, May 3 at 10:00 pm | NBC"
http://www.tvguide.com/tvshows/,14,http://www.tvguide.com/tvshows/game-of-thrones/305628/,http://c-7npsfqifvt34x24tubujdx2euwhdeox2eofu.g00.tvguide.com/g00/3_c-7x78x78x78.uwhvjef.dpn_/c-7NPSFQIFVT34x24iuuqx3ax2fx2ftubujd.uwhdeo.ofux2fgffex2f2x2f712x2fuivnctx2f228726712_211y244.kqhx3fj21d.nbslx3djnbhf_$/$/$/$/$/$,Game of Thrones,http://www.tvguide.com/tvshows/game-of-thrones/305628/,Game of Thrones,http://www.tvguide.com/tvshows/game-of-thrones/305628/,Not airing in the next 14 days
