Super_Bowl
url,Season,Team_one,Scores,Team_two
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,I,Green Bay Packers,35-10,Kansas City Chiefs
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,II,Green Bay Packers,33-14,Oakland Raiders
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,III,New York Jets,16-7,Baltimore Colts
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,IV,Kansas City Chiefs,23-7,Minnesota Vikings
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,V,Baltimore Colts,16-13,Dallas Cowboys
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,VI,Dallas Cowboys,24-3,Miami Dolphins
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,VII,Miami Dolphins,14-7,Washington Redskins
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,VIII,Miami Dolphins,24-7,Minnesota Vikings
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,IX,Pittsburgh Steelers,16-6,Minnesota Vikings
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,X,Pittsburgh Steelers,21-17,Dallas Cowboys
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XI,Oakland Raiders,32-14,Minnesota Vikints
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XII,Dallas Cowboys,27-10,Denver Broncos
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XIII,Pittsburgh Steelers,35-31,Dallas Cowboys
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XIV,Pittsburgh Steelers,31-19,Los Angeles Rams
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XV,Oakland Raiders,27-10,Philadelphia Eagles
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XVI,San Francisco 49ers,26-21,Cincinnati Bengals
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XVII,Washington Redskins,27-17,Miami Dolphins
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XVIII,Los Angeles Raiders,38-9,Washington Redskins
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XIX,San Francisco 49ers,38-16,Miami Dolphins
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XX,Chicago Bears,46-10,New England Patriots
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXI,New York Giants,39-20,Denver Broncos
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXII,Washington Redskins,42-10,Denver Broncos
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXIII,San Francisco 49ers,20-16,Cincinnati Bengals
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXIV,San Francisco 49ers,55-10,Denver Broncos
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXV,New York Giants,20-19,Buffalo Bills
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXVI,Washington Redskins,37-24,Buffalo Bills
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXVII,Dallas Cowboys,52-17,Buffalo Bills
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXVIII,Dallas Cowboys,30-13,Buffalo Bills
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXIX,San Francisco 49ers,49-26,San Diego Chargers
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXX,Dallas Cowboys,27-17,Pittsburgh Steelers
