President_Trump_Job_Approval
url,Poll,Poll_link,Date,Sample,Approve,Disapprove,Spread
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,RCP Average,,5/21 - 6/4,--,44.6,52.8,-8.2
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,5/31 - 6/4,1500 LV,48,50,-2
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Gallup,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx?version=print,5/28 - 6/3,1500 A,41,55,-14
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/v00h5ts0qm/econTabReport.pdf,5/27 - 5/29,1279 RV,45,51,-6
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Reuters/Ipsos,https://www.ipsos.com/en-us/reutersipsos-data-core-political-05302018,5/25 - 5/29,1931 RV,44,53,-9
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Gallup,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx?version=print,5/21 - 5/27,1500 A,40,55,-15
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Harvard-Harris,http://harvardharrispoll.com/,5/21 - 5/22,1347 RV,45,55,-10
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qkyd98nzy9/econTabReport.pdf,5/20 - 5/22,1263 RV,41,54,-13
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Reuters/Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2018-05/2018-reuters-tracking-core-political-05-23-2018.pdf,5/18 - 5/22,1080 RV,47,51,-4
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Gallup,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx?version=print,5/14 - 5/20,1500 A,42,54,-12
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/k7xf72pn0o/econTabReport.pdf,5/13 - 5/15,1231 RV,44,52,-8
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Reuters/Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2018-05/2018_reuters_tracking_-_core_political_05_16_2018.pdf,5/11 - 5/15,1290 RV,46,53,-7
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Gallup,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx?version=print,5/7 - 5/13,1500 A,43,52,-9
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kwgrow0dna/econTabReport.pdf,5/6 - 5/8,1232 RV,44,52,-8
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Reuters/Ipsos,https://www.realclearpolitics.com/docs/2018_Reuters_Tracking_-_Core_Political_05_09_2018.pdf,5/4 - 5/8,1171 RV,45,53,-8
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,CBS News,https://drive.google.com/file/d/0ByVu4fDHYJgVbmhmTGF0VlNpMElEaXdOM3F5eER3clZSNXVN/view,5/3 - 5/6,1101 A,40,55,-15
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,CNN,https://www.realclearpolitics.com/docs/CNN_May_7_2018.pdf,5/2 - 5/5,901 RV,44,51,-7
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Gallup,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx?version=print,4/30 - 5/6,1500 A,42,52,-10
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,IBD/TIPP,https://www.investors.com/politics/trump-impeachment-approval-rating-economy-quality-of-life-ibd-tipp-poll/,4/26 - 5/4,900 A,38,56,-18
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/fojcpi55bv/econTabReport.pdf,4/29 - 5/1,1273 RV,44,53,-9
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Reuters/Ipsos,https://www.ipsos.com/en-us/news-polls/reuters-ipsos-data-core-political-2018-05-04,4/27 - 5/1,1337 RV,49,49,Tie
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Pew Research,http://assets.pewresearch.org/wp-content/uploads/sites/5/2018/05/03134750/05-03-18-political-topline-for-release.pdf,4/25 - 5/1,1221 RV,42,54,-12
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Monmouth,https://www.realclearpolitics.com/docs/Monmouth_RV.pdf,4/26 - 4/30,681 RV,45,48,-3
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Gallup,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx?version=print,4/23 - 4/29,1500 A,42,53,-11
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Harvard-Harris,http://harvardharrispoll.com/wp-content/uploads/2018/04/Final_HHP_April2018_RegisteredVoters_Topline_Memo.pdf,4/22 - 4/24,1549 RV,44,56,-12
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,FOX News,http://www.foxnews.com/politics/2018/04/25/fox-news-poll-mueller-likely-to-find-trump-offenses-trump-likely-to-fire-him.html,4/22 - 4/24,1014 RV,44,53,-9
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/a849k68e2i/econTabReport.pdf,4/22 - 4/24,1270 RV,43,53,-10
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Quinnipiac,https://poll.qu.edu/national/release-detail?ReleaseID=2538,4/20 - 4/24,1193 RV,39,54,-15
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Reuters/Ipsos,https://www.ipsos.com/en-us/news-polls/reuters-ipsos-data-core-political-2018-04-25,4/20 - 4/24,1248 RV,41,55,-14
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Gallup,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx?version=print,4/16 - 4/18,1500 A,38,57,-19
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4l31gznvf1/econTabReport.pdf,4/15 - 4/17,1274 RV,42,55,-13
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Reuters/Ipsos,https://www.ipsos.com/en-us/news-and-polls/overview,4/13 - 4/17,1238 RV,41,56,-15
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,NPR/PBS/Marist,http://maristpoll.marist.edu/wp-content/misc/usapolls/us180410/Complete%20Survey%20Findings_NPR_PBS%20NewsHour_Marist%20Poll_Congress_Trump%20Approval_April%202018.pdf,4/10 - 4/13,827 RV,39,54,-15
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Gallup,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx?version=print,4/9 - 4/15,1500 A,39,55,-16
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,ABC News/Wash Post,https://www.washingtonpost.com/page/2010-2019/WashingtonPost/2018/04/15/National-Politics/Polling/question_20281.xml?uuid=fsPgnECTEeiy3LCkA-RyCg,4/8 - 4/11,865 RV,44,54,-10
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,NBC News/Wall St. Jrnl,http://msnbcmedia.msn.com/i/TODAY/z_Creative/NBCWSJAprilPoll41518Release.pdf,4/8 - 4/11,900 A,39,57,-18
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3g689cgf7m/econTabReport.pdf,4/8 - 4/10,1292 RV,42,53,-11
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Reuters/Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2018-04/2018_reuters_tracking_-_core_political_04_11_2018.pdf,4/6 - 4/10,1219 RV,39,58,-19
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Quinnipiac,https://poll.qu.edu/national/release-detail?ReleaseID=2534,4/6 - 4/9,1181 RV,41,52,-11
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Gallup,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx?version=print,4/2 - 4/8,1500 A,41,54,-13
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/maf7idof71/econTabReport.pdf,4/1 - 4/3,1246 RV,41,55,-14
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Reuters/Ipsos,https://www.ipsos.com/en-us/news-polls/reuters-ipsos-data-core-political-2018-04-04,3/30 - 4/3,1519 RV,41,56,-15
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Harvard-Harris,http://harvardharrispoll.com/wp-content/uploads/2018/04/Final_HHP_March2018_RegisteredVoters_Topline_Memo.pdf,3/27 - 3/29,1340 RV,44,56,-12
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Gallup,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx?version=print,3/25 - 3/31,1500 A,39,55,-16
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4e7f92zbz6/econTabReport.pdf,3/25 - 3/27,1330 RV,41,54,-13
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Reuters/Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2018-03/2018_reuters_tracking_-_core_political_03_28_2018.pdf,3/23 - 3/27,1392 RV,41,55,-14
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,IBD/TIPP,https://www.investors.com/politics/trump-approval-unemployment-ibd-tipp-poll/,3/22 - 3/29,902 A,38,56,-18
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,CNN,https://www.realclearpolitics.com/docs/CNN_March_26_2018_RV_1.pdf,3/22 - 3/25,913 RV,43,53,-10
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,PPP (D),https://www.publicpolicypolling.com/wp-content/uploads/2018/03/PPP_Release_National_32718.pdf,3/23 - 3/25,846 RV,39,54,-15
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Gallup,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx?version=print,3/19 - 3/25,1500 A,39,55,-16
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Marist,http://maristpoll.marist.edu/wp-content/misc/usapolls/us180320_KOC/Marist%20Poll%20National%20Nature%20of%20the%20Sample%20and%20Tables_March%2023.%202018.pdf,3/19 - 3/21,1015 RV,42,51,-9
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,FOX News,http://www.foxnews.com/politics/interactive/2018/03/25/fox-news-poll-results-325.html,3/18 - 3/21,1014 RV,45,52,-7
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/p86tnmatk6/econTabReport.pdf,3/18 - 3/20,1284 RV,41,54,-13
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,CNBC,https://www.realclearpolitics.com/docs/CNBC_March_27_2018.pdf,3/17 - 3/20,801 A,39,50,-11
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Quinnipiac,https://poll.qu.edu/national/release-detail?ReleaseID=2529,3/16 - 3/20,1291 RV,40,53,-13
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Reuters/Ipsos,https://www.ipsos.com/en-us/news-polls/reuters-ipsos-data-core-political-2018-03-21,3/16 - 3/20,1337 RV,44,52,-8
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Gallup,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx?version=print,3/12 - 3/18,1500 A,40,56,-16
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,NBC News/Wall St. Jrnl,http://msnbcmedia.msn.com/i/TODAY/z_Creative/18164%20NBCWSJ%20March%202018%20Social%20Trends%20Poll%20(Political%20Data%20Release).pdf,3/10 - 3/14,1100 A,43,53,-10
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/y3tke5cxwy/econTabReport.pdf,3/10 - 3/13,1291 RV,42,54,-12
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Pew Research,http://www.pewresearch.org/fact-tank/2018/03/15/disagreements-about-trump-widely-seen-as-reflecting-divides-over-other-values-and-goals/,3/7 - 3/14,RV,42,53,-11
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Reuters/Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2018-03/2018_reuters_tracking_-_core_political_03_14_2018_0.pdf,3/9 - 3/13,1411 A,39,56,-17
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,CBS News,https://www.cbsnews.com/news/approval-of-trumps-handling-of-north-korea-increases-cbs-news-poll/,3/8 - 3/11,1223 A,38,57,-19
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,Gallup,http://news.gallup.com/poll/203207/trump-job-approval-weekly.aspx?version=print,3/5 - 3/11,1500 A,39,56,-17
https://dyn.realclearpolitics.com/epolls/other/president_trump_job_approval-6179.html,GWU/Battleground,https://mediarelations.gwu.edu/sites/mediarelations.gwu.edu/files/GWBattlegroundPoll63-questionnaire.pdf,3/4 - 3/8,1000 RV,42,55,-13
