Table_1
url,Rank,Mountain,Height_[m],Height_[ft],Prominence_[m],Range,Coordinates,Parent_Mountain,First_Ascent,Ascents_(failed_attempts)_bef._2004,Country
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,1,"Mount Everest /
 Sagarmatha /
 Chomolungma","8,848[8]","29,029","8,848",Mahalangur Himalaya,27°59′17″N 86°55′31″E / 27.98806°N 86.92528°E / 27.98806; 86.92528 (1. Mount Everest / Sagarmatha / Chomolungma (8848 m)),none,1953,>>145 (121),Nepal • China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,2,"K2 / Qogir /
 Godwin Austen","8,611","28,251","4,020",Baltoro Karakoram,35°52′53″N 76°30′48″E / 35.88139°N 76.51333°E / 35.88139; 76.51333 (2. K2 / Qogir / Godwin Austen (8611 m)),Mount Everest,1954,45 (44),Pakistan[dp 1] • China[dp 2]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,3,Kangchenjunga,"8,586","28,169","3,922",Kangchenjunga Himalaya,27°42′12″N 88°08′51″E / 27.70333°N 88.14750°E / 27.70333; 88.14750 (3. Kangchenjunga (8586 m)),Mount Everest,1955,38 (24),Nepal • India
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,4,Lhotse,"8,516","27,940",610,Mahalangur Himalaya,27°57′42″N 86°55′59″E / 27.96167°N 86.93306°E / 27.96167; 86.93306 (4. Lhotse (8516 m)),Mount Everest,1956,26 (26),Nepal • China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,5,Makalu,"8,485","27,838","2,378",Mahalangur Himalaya,27°53′23″N 87°05′20″E / 27.88972°N 87.08889°E / 27.88972; 87.08889 (5. Makalu (8485 m)),Mount Everest,1955,45 (52),Nepal • China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,6,Cho Oyu [10],"8,188","26,864","2,340",Mahalangur Himalaya,28°05′39″N 86°39′39″E / 28.09417°N 86.66083°E / 28.09417; 86.66083 (6. Cho Oyu (8188 m)),Mount Everest,1954,79 (28),Nepal • China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,7,Dhaulagiri I,"8,167","26,795","3,357",Dhaulagiri Himalaya,28°41′48″N 83°29′35″E / 28.69667°N 83.49306°E / 28.69667; 83.49306 (7. Dhaulagiri I (8167 m)),K2,1960,51 (39),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,8,Manaslu,"8,163","26,781","3,092",Manaslu Himalaya,28°33′00″N 84°33′35″E / 28.55000°N 84.55972°E / 28.55000; 84.55972 (8. Manaslu (8163 m)),Cho Oyu,1956,49 (45),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,9,Nanga Parbat,"8,126","26,660","4,608",Nanga Parbat Himalaya,35°14′14″N 74°35′21″E / 35.23722°N 74.58917°E / 35.23722; 74.58917 (9. Nanga Parbat (8126 m)),Dhaulagiri,1953,52 (67),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,10,Annapurna I,"8,091","26,545","2,984",Annapurna Himalaya,28°35′44″N 83°49′13″E / 28.59556°N 83.82028°E / 28.59556; 83.82028 (10. Annapurna I (8091 m)),Cho Oyu,1950,36 (47),Nepal
