Table_1
url,Analytics_Image,Analytics_Image_alt,Analytics_Image_link,Search_Result,Biz_Name_Click,Biz_Name_Click_link,Off_Screen,Off_Screen_alt,Review_Count,Business,Category_List_1,Category_List_1_link,Category_List_3,Category_List_3_link,Category_List_5,Category_List_5_link,Neighborhood,Secondary_1,Secondary_2,Phone_Number,Photo_Box_Image,Photo_Box_Image_alt,Photo_Box_Image_link,Snippet,Read_More,Read_More_link
https://www.yelp.com/search?find_desc=Antique+Stores&find_loc=Richmond%2C+VA,https://s3-media4.fl.yelpcdn.com/bphoto/ZZ0vofDS7pnF4BMXktkKUQ/90s.jpg,Mattress Liquidators,https://www.yelp.com/adredir?ad_business_id=d8tJ_7DA75ra0I_C64qw7g&campaign_id=K8AMCD9B2lX6pJ7P8PBe5Q&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmattress-liquidators-richmond-2&request_id=9b41ec0842f9b014&signature=8a4c2271d64211fb2baa65258dfc2c7d09530b2a1dcceff1b4a9e097397a92e9&slot=0,Ad,Mattress Liquidators,https://www.yelp.com/adredir?ad_business_id=d8tJ_7DA75ra0I_C64qw7g&campaign_id=K8AMCD9B2lX6pJ7P8PBe5Q&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmattress-liquidators-richmond-2&request_id=9b41ec0842f9b014&signature=8a4c2271d64211fb2baa65258dfc2c7d09530b2a1dcceff1b4a9e097397a92e9&slot=0,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5.0 star rating,5 reviews,,Mattresses,https://www.yelp.com/search?cflt=mattresses&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,,,,,,9101 Midlothian Tpke,"Richmond, VA 23235",(804) 215-4734,https://s3-media1.fl.yelpcdn.com/photo/fDFL-zXIZaoPS24KSKCpfA/30s.jpg,Jessica O.,https://www.yelp.com/adredir?ad_business_id=d8tJ_7DA75ra0I_C64qw7g&campaign_id=K8AMCD9B2lX6pJ7P8PBe5Q&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmattress-liquidators-richmond-2%3Fhrid%3DBd-FvlQJ-6j8dmYR5SoEEg&request_id=9b41ec0842f9b014&signature=c00a3d1f915d27470bf441c3d7824b4b10f845c4b9d6fb51d64556be024f2ff6&slot=0,"My husband and I stumbled into this store yesterday after having lunch next door. We had been looking for a mattress for a guest room. We were immediately greeted by Mike, the owner,… read more",read more,https://www.yelp.com/adredir?ad_business_id=d8tJ_7DA75ra0I_C64qw7g&campaign_id=K8AMCD9B2lX6pJ7P8PBe5Q&click_origin=read_more&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmattress-liquidators-richmond-2%3Fhrid%3DBd-FvlQJ-6j8dmYR5SoEEg&request_id=9b41ec0842f9b014&signature=c00a3d1f915d27470bf441c3d7824b4b10f845c4b9d6fb51d64556be024f2ff6&slot=0
https://www.yelp.com/search?find_desc=Antique+Stores&find_loc=Richmond%2C+VA,https://s3-media1.fl.yelpcdn.com/bphoto/Zr4gQ1kv7RHzAn6SVDjdNQ/90s.jpg,Sofa Creations,https://www.yelp.com/adredir?ad_business_id=ZMrwubTB3m1GR4QlX_l2BQ&campaign_id=8V7INXseCCRqj6mNH7geXA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsofa-creations-richmond&request_id=9b41ec0842f9b014&signature=678b35c004998f8ea7281a32e6260d36c20e50157872ed4c8ffb4c2efea089f2&slot=1,Ad,Sofa Creations,https://www.yelp.com/adredir?ad_business_id=ZMrwubTB3m1GR4QlX_l2BQ&campaign_id=8V7INXseCCRqj6mNH7geXA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsofa-creations-richmond&request_id=9b41ec0842f9b014&signature=678b35c004998f8ea7281a32e6260d36c20e50157872ed4c8ffb4c2efea089f2&slot=1,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,3.5 star rating,11 reviews,$$,Furniture Stores,https://www.yelp.com/search?cflt=furniture&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,,,,,,8717 W Broad St,"Richmond, VA 23294",(804) 965-9075,https://s3-media4.fl.yelpcdn.com/photo/TnQHUFHeErf5lT1ywvnkag/30s.jpg,Meghan D.,https://www.yelp.com/adredir?ad_business_id=ZMrwubTB3m1GR4QlX_l2BQ&campaign_id=8V7INXseCCRqj6mNH7geXA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsofa-creations-richmond%3Fhrid%3DD4NFwSMIja8S7ze0loTygQ&request_id=9b41ec0842f9b014&signature=12d5fe07791ffe5c57f6d265ad46fcdeadce4b287cdbdabce9bdc6e420c29275&slot=1,"I happened to drive past Sofa Creations today, and decided to stop in on a whim. I'd had a depressing day of unsuccessful furniture shopping, and was ready to throw in the towel.… read more",read more,https://www.yelp.com/adredir?ad_business_id=ZMrwubTB3m1GR4QlX_l2BQ&campaign_id=8V7INXseCCRqj6mNH7geXA&click_origin=read_more&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsofa-creations-richmond%3Fhrid%3DD4NFwSMIja8S7ze0loTygQ&request_id=9b41ec0842f9b014&signature=12d5fe07791ffe5c57f6d265ad46fcdeadce4b287cdbdabce9bdc6e420c29275&slot=1
https://www.yelp.com/search?find_desc=Antique+Stores&find_loc=Richmond%2C+VA,https://s3-media2.fl.yelpcdn.com/bphoto/mnsdQT1HhwgQJyf7PlxD5Q/90s.jpg,West End Antiques Mall,https://www.yelp.com/biz/west-end-antiques-mall-richmond?osq=Antique+Stores,1.,West End Antiques Mall,https://www.yelp.com/biz/west-end-antiques-mall-richmond?osq=Antique+Stores,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4.0 star rating,41 reviews,$$$,Antiques,https://www.yelp.com/search?cflt=antiques&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,,,,,,2004 Staples Mill Rd,"Richmond, VA 23230",(804) 359-1600,https://s3-media1.fl.yelpcdn.com/photo/kuEV2s7U1pY4IqFp0s2Oaw/30s.jpg,Ashley G.,https://www.yelp.com/user_details?userid=H2udpYwM6WtipKqMyAS5ZA,"individuals hoping they get a sucker every once and a while. Quite a few vendors though were reasonably priced for the rarity of their items, or just on basic vintage or antique… read more",read more,https://www.yelp.com/biz/west-end-antiques-mall-richmond?hrid=RBx0tosr7-lIGtE07b-t9Q&osq=Antique+Stores
https://www.yelp.com/search?find_desc=Antique+Stores&find_loc=Richmond%2C+VA,https://s3-media1.fl.yelpcdn.com/bphoto/G6Oaw_v613VuDnuKwQJczQ/90s.jpg,Vintage Class And Trash,https://www.yelp.com/biz/vintage-class-and-trash-richmond?osq=Antique+Stores,2.,Vintage Class And Trash,https://www.yelp.com/biz/vintage-class-and-trash-richmond?osq=Antique+Stores,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4.5 star rating,6 reviews,$$,Thrift Stores,https://www.yelp.com/search?cflt=thrift_stores&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,Antiques,https://www.yelp.com/search?cflt=antiques&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,"Used, Vintage & Consignment",https://www.yelp.com/search?cflt=vintage&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,Scott's Addition,1720 Altamont Ave,"Richmond, VA 23230",(804) 716-5316,https://s3-media3.fl.yelpcdn.com/photo/dtWHn35O-rVq_-vpEBHGiQ/30s.jpg,Lauren B.,https://www.yelp.com/user_details?userid=ncrIUXBW3E3gSrUUIvE6Ew,"There's a new kid on the block in Scott's Addition. From unique treasures to antique finds, this new antique thrift shop has a variety of gems anyone would gladly search for. This… read more",read more,https://www.yelp.com/biz/vintage-class-and-trash-richmond?hrid=lgrmXB7fVYGPQxz2MDT5hw&osq=Antique+Stores
https://www.yelp.com/search?find_desc=Antique+Stores&find_loc=Richmond%2C+VA,https://s3-media1.fl.yelpcdn.com/bphoto/AbDjPzXa_FM-ho_M6p-ccQ/90s.jpg,Nest Antiques Art & Gifts,https://www.yelp.com/biz/nest-antiques-art-and-gifts-richmond-2?osq=Antique+Stores,3.,Nest Antiques Art & Gifts,https://www.yelp.com/biz/nest-antiques-art-and-gifts-richmond-2?osq=Antique+Stores,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5.0 star rating,10 reviews,$$,Art Galleries,https://www.yelp.com/search?cflt=galleries&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,Antiques,https://www.yelp.com/search?cflt=antiques&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,Gift Shops,https://www.yelp.com/search?cflt=giftshops&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,Woodland Heights,3404 Semmes Ave,"Richmond, VA 23225",(804) 233-0134,https://s3-media4.fl.yelpcdn.com/photo/r6RySPR28Jz4S_-GxUhBIQ/30s.jpg,Annie E.,https://www.yelp.com/user_details?userid=7tb8_uk77fRL7-0iR7WLeg,Such a lovely antique shop! You can tell the owners have great taste and a knack for picking out unique items. Everything's very reasonably priced and has a story behind it. There's… read more,read more,https://www.yelp.com/biz/nest-antiques-art-and-gifts-richmond-2?hrid=S-CiUn3IiHAx-L49Oa0BVQ&osq=Antique+Stores
https://www.yelp.com/search?find_desc=Antique+Stores&find_loc=Richmond%2C+VA,https://s3-media1.fl.yelpcdn.com/bphoto/gHEeY8_aGf3sjcQmE64rNQ/90s.jpg,Sheppard Street Antiques,https://www.yelp.com/biz/sheppard-street-antiques-richmond?osq=Antique+Stores,4.,Sheppard Street Antiques,https://www.yelp.com/biz/sheppard-street-antiques-richmond?osq=Antique+Stores,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5.0 star rating,4 reviews,$$,Antiques,https://www.yelp.com/search?cflt=antiques&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,Home Decor,https://www.yelp.com/search?cflt=homedecor&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,"Used, Vintage & Consignment",https://www.yelp.com/search?cflt=vintage&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,Scott's Addition,1126 N Blvd,"Richmond, VA 23230",(804) 355-7454,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/d53e550ec367/assets/img/default_avatars/user_30_square.png,angelica r.,https://www.yelp.com/user_details?userid=auPXzsqQDXEs4AVw4epsFw,Lovely antiques shop with lovely curation with a warm atmosphere. I try to stop in weekly because not only are new items quickly seeing their faces on the floor but the staff is top… read more,read more,https://www.yelp.com/biz/sheppard-street-antiques-richmond?hrid=Ie5yYqeezND0AatBSC0qwQ&osq=Antique+Stores
https://www.yelp.com/search?find_desc=Antique+Stores&find_loc=Richmond%2C+VA,https://s3-media3.fl.yelpcdn.com/bphoto/iFw25oqUig8Wh_rWOzq1QA/90s.jpg,RVA Antiques,https://www.yelp.com/biz/rva-antiques-richmond?osq=Antique+Stores,5.,RVA Antiques,https://www.yelp.com/biz/rva-antiques-richmond?osq=Antique+Stores,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4.5 star rating,10 reviews,$$,Antiques,https://www.yelp.com/search?cflt=antiques&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,Home Decor,https://www.yelp.com/search?cflt=homedecor&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,Furniture Stores,https://www.yelp.com/search?cflt=furniture&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,Lakeside,6102 Lakeside Avenue,"Richmond, Virginia 23228",(804) 716-4388,https://s3-media3.fl.yelpcdn.com/photo/k_NPh_NYGz3nap_sqF_20Q/30s.jpg,Maria T.,https://www.yelp.com/user_details?userid=RClhZwNN4UJnls7hhzUqog,"One of the best antique shops in RVA! Lots of booths, all with unique decor and furniture. I love the refurbished and painted furniture in the first booth when you walk in! Cool and… read more",read more,https://www.yelp.com/biz/rva-antiques-richmond?hrid=PXD6m604zSr-6cz3mcPJtA&osq=Antique+Stores
https://www.yelp.com/search?find_desc=Antique+Stores&find_loc=Richmond%2C+VA,https://s3-media4.fl.yelpcdn.com/bphoto/teF12QDxujXyr0rpz5oFmw/90s.jpg,The Chiffarobe Antiques and Gifts,https://www.yelp.com/biz/the-chiffarobe-antiques-and-gifts-richmond?osq=Antique+Stores,6.,The Chiffarobe Antiques and Gifts,https://www.yelp.com/biz/the-chiffarobe-antiques-and-gifts-richmond?osq=Antique+Stores,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5.0 star rating,1 review,,Antiques,https://www.yelp.com/search?cflt=antiques&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,Gift Shops,https://www.yelp.com/search?cflt=giftshops&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,Furniture Stores,https://www.yelp.com/search?cflt=furniture&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,Carytown,3451 W Cary St,"Richmond, VA 23221",(804) 353-2500,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/d53e550ec367/assets/img/default_avatars/user_30_square.png,Cristin H.,https://www.yelp.com/user_details?userid=AeZhPXyLeg3pmuNZgYztQQ,Such a beautiful store! An amazing assortment of fine antiques and a wide assortment of new gifts and cards as well. Best collection of antiques I have seen in Richmond. Highly… read more,read more,https://www.yelp.com/biz/the-chiffarobe-antiques-and-gifts-richmond?hrid=d999da79i3xS_rlZkaV__g&osq=Antique+Stores
https://www.yelp.com/search?find_desc=Antique+Stores&find_loc=Richmond%2C+VA,https://s3-media2.fl.yelpcdn.com/bphoto/w73jkxoDd4xStHSyPK7YiQ/90s.jpg,Oddballs Antiques & More,https://www.yelp.com/biz/oddballs-antiques-and-more-richmond?osq=Antique+Stores,7.,Oddballs Antiques & More,https://www.yelp.com/biz/oddballs-antiques-and-more-richmond?osq=Antique+Stores,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,3.5 star rating,6 reviews,$$,Antiques,https://www.yelp.com/search?cflt=antiques&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,,,,,Dumbarton,7580 W Broad St,"Richmond, VA 23294",(804) 447-4358,https://s3-media3.fl.yelpcdn.com/photo/fjEd4dSS8qXnWPNbotkSWw/30s.jpg,Hannah G.,https://www.yelp.com/user_details?userid=_pdr956gAUsJsjYKDYTz1w,"Oddballs Antiques appeals to a wide variety of customers from collectors to casual shoppers. You can find everything here: furniture, BEAUTIFUL vintage coats and furs, glassware, and… read more",read more,https://www.yelp.com/biz/oddballs-antiques-and-more-richmond?hrid=THEMYQVC2DOFwaCYz4z9MQ&osq=Antique+Stores
https://www.yelp.com/search?find_desc=Antique+Stores&find_loc=Richmond%2C+VA,https://s3-media3.fl.yelpcdn.com/bphoto/pOyZw2rUScqrlRxwTWlOqg/90s.jpg,RVA Antiques On The Avenue,https://www.yelp.com/biz/rva-antiques-on-the-avenue-richmond?osq=Antique+Stores,8.,RVA Antiques On The Avenue,https://www.yelp.com/biz/rva-antiques-on-the-avenue-richmond?osq=Antique+Stores,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4.0 star rating,1 review,,Antiques,https://www.yelp.com/search?cflt=antiques&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,Furniture Stores,https://www.yelp.com/search?cflt=furniture&find_desc=Antique+Stores&find_loc=Richmond%2C+VA,,,"Westhampton, Near West End",5726 Patterson Ave,"Richmond, VA 23226",(804) 918-7747,https://s3-media3.fl.yelpcdn.com/photo/fjEd4dSS8qXnWPNbotkSWw/30s.jpg,Hannah G.,https://www.yelp.com/user_details?userid=_pdr956gAUsJsjYKDYTz1w,This is the new second RVA Antiques store. The main difference between this location and the original (Lakeside) location is that this space specializes in furniture that is ready to… read more,read more,https://www.yelp.com/biz/rva-antiques-on-the-avenue-richmond?hrid=NoJsCoNSYALVQW1BxUNOlw&osq=Antique+Stores
