Table_1
url,Years,Years_link,Seconds
https://www.calculateme.com/Time/Years/toSeconds.htm,0.0001,https://www.calculateme.com/time/years/to-seconds/0.0001,"3,155.7"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.0002,https://www.calculateme.com/time/years/to-seconds/0.0002,"6,311.4"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.0003,https://www.calculateme.com/time/years/to-seconds/0.0003,"9,467.1"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.0004,https://www.calculateme.com/time/years/to-seconds/0.0004,"12,623"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.0005,https://www.calculateme.com/time/years/to-seconds/0.0005,"15,778"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.0006,https://www.calculateme.com/time/years/to-seconds/0.0006,"18,934"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.0007,https://www.calculateme.com/time/years/to-seconds/0.0007,"22,090"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.0008,https://www.calculateme.com/time/years/to-seconds/0.0008,"25,246"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.0009,https://www.calculateme.com/time/years/to-seconds/0.0009,"28,401"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.001,https://www.calculateme.com/time/years/to-seconds/0.001,"31,557"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.002,https://www.calculateme.com/time/years/to-seconds/0.002,"63,114"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.003,https://www.calculateme.com/time/years/to-seconds/0.003,"94,671"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.004,https://www.calculateme.com/time/years/to-seconds/0.004,"126,228"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.005,https://www.calculateme.com/time/years/to-seconds/0.005,"157,785"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.006,https://www.calculateme.com/time/years/to-seconds/0.006,"189,342"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.007,https://www.calculateme.com/time/years/to-seconds/0.007,"220,899"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.008,https://www.calculateme.com/time/years/to-seconds/0.008,"252,456"
