Table_1
url,Country,Country_link,Population,Yearly_Change,Net_Change,Density_Pk_M,Land_Area_(km),Migrants_Net,Fert_Rate,Med_Age,Urban_Pop,World_Share
http://www.worldometers.info/world-population/population-by-country/,China,http://www.worldometers.info/world-population/china-population/,"1,415,045,928",0.39 %,"5,528,531",151,"9,388,211","-339,690",1.6,37,58 %,18.54 %
http://www.worldometers.info/world-population/population-by-country/,India,http://www.worldometers.info/world-population/india-population/,"1,354,051,854",1.11 %,"14,871,727",455,"2,973,190","-515,643",2.4,27,32 %,17.74 %
http://www.worldometers.info/world-population/population-by-country/,U.S.,http://www.worldometers.info/world-population/us-population/,"326,766,748",0.71 %,"2,307,285",36,"9,147,420","900,000",1.9,38,83 %,4.28 %
http://www.worldometers.info/world-population/population-by-country/,Indonesia,http://www.worldometers.info/world-population/indonesia-population/,"266,794,980",1.06 %,"2,803,601",147,"1,811,570","-167,000",2.5,28,54 %,3.50 %
http://www.worldometers.info/world-population/population-by-country/,Brazil,http://www.worldometers.info/world-population/brazil-population/,"210,867,954",0.75 %,"1,579,676",25,"8,358,140","3,185",1.8,31,84 %,2.76 %
http://www.worldometers.info/world-population/population-by-country/,Pakistan,http://www.worldometers.info/world-population/pakistan-population/,"200,813,818",1.93 %,"3,797,863",260,"770,880","-236,384",3.7,22,38 %,2.63 %
http://www.worldometers.info/world-population/population-by-country/,Nigeria,http://www.worldometers.info/world-population/nigeria-population/,"195,875,237",2.61 %,"4,988,926",215,"910,770","-60,000",5.7,18,49 %,2.57 %
http://www.worldometers.info/world-population/population-by-country/,Bangladesh,http://www.worldometers.info/world-population/bangladesh-population/,"166,368,149",1.03 %,"1,698,398","1,278","130,170","-505,297",2.2,26,35 %,2.18 %
http://www.worldometers.info/world-population/population-by-country/,Russia,http://www.worldometers.info/world-population/russia-population/,"143,964,709",-0.02 %,"-25,045",9,"16,376,870","203,577",1.7,39,73 %,1.89 %
http://www.worldometers.info/world-population/population-by-country/,Mexico,http://www.worldometers.info/world-population/mexico-population/,"130,759,074",1.24 %,"1,595,798",67,"1,943,950","-60,000",2.3,28,78 %,1.71 %
