US_President
url,Number,Number_link,Presidency,Name,Prior_office,Party,Term,Vice_President
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,1,https://en.wikipedia.org/wiki/Presidency_of_George_Washington,"April 30, 1789
 [e]
 –
 March 4, 1797","George Washington
 1732–1799
 (Lived: 67 years)
 [3][4][5]","Commander-in-Chief
 of the
 Continental Army
 (1775–1783)","Unaffiliated
 [2]","(1788–89)
 1
 (1789)","John Adams
 [f][g]"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,1,https://en.wikipedia.org/wiki/Presidency_of_George_Washington,"April 30, 1789
 [e]
 –
 March 4, 1797","George Washington
 1732–1799
 (Lived: 67 years)
 [3][4][5]","Commander-in-Chief
 of the
 Continental Army
 (1775–1783)",,"(1792)
 2
 (1793)","John Adams
 [f][g]"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,2,https://en.wikipedia.org/wiki/Presidency_of_John_Adams,"March 4, 1797
 –
 March 4, 1801","John Adams
 1735–1826
 (Lived: 90 years)
 [6][7][8]","1st
 Vice President of the United States; 1st
 Vice President of the United States",Federalist,"(1796)
 3
 (1797)","Thomas Jefferson
 [h]"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,3,https://en.wikipedia.org/wiki/Presidency_of_Thomas_Jefferson,"March 4, 1801
 –
 March 4, 1809","Thomas Jefferson
 1743–1826
 (Lived: 83 years)
 [9][10][11]","2nd
 Vice President of the United States; 2nd
 Vice President of the United States","Democratic-
 Republican","(1800)
 4
 (1801)","Aaron Burr
 March 4, 1801 – March 4, 1805"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,3,https://en.wikipedia.org/wiki/Presidency_of_Thomas_Jefferson,"March 4, 1801
 –
 March 4, 1809","Thomas Jefferson
 1743–1826
 (Lived: 83 years)
 [9][10][11]","2nd
 Vice President of the United States; 2nd
 Vice President of the United States","Democratic-
 Republican","(1804)
 5
 (1805)","George Clinton
 March 4, 1805 – March 4, 1809"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,4,https://en.wikipedia.org/wiki/Presidency_of_James_Madison,"March 4, 1809
 –
 March 4, 1817","James Madison
 1751–1836
 (Lived: 85 years)
 [12][13][14]","5th
 United States Secretary of State
 (1801–1809); 5th
 United States Secretary of State","Democratic-
 Republican","(1808)
 6
 (1809)","George Clinton
 March 4, 1809 – April 20, 1812
 (Died in office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,4,https://en.wikipedia.org/wiki/Presidency_of_James_Madison,"March 4, 1809
 –
 March 4, 1817","James Madison
 1751–1836
 (Lived: 85 years)
 [12][13][14]","5th
 United States Secretary of State
 (1801–1809); 5th
 United States Secretary of State","Democratic-
 Republican","(1808)
 6
 (1809)","Office vacant
 (Balance of Clinton's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,4,https://en.wikipedia.org/wiki/Presidency_of_James_Madison,"March 4, 1809
 –
 March 4, 1817","James Madison
 1751–1836
 (Lived: 85 years)
 [12][13][14]","5th
 United States Secretary of State
 (1801–1809); 5th
 United States Secretary of State","Democratic-
 Republican","(1812)
 7
 (1813)","Elbridge Gerry
 March 4, 1813 – November 23, 1814
 (Died in office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,4,https://en.wikipedia.org/wiki/Presidency_of_James_Madison,"March 4, 1809
 –
 March 4, 1817","James Madison
 1751–1836
 (Lived: 85 years)
 [12][13][14]","5th
 United States Secretary of State
 (1801–1809); 5th
 United States Secretary of State","Democratic-
 Republican","(1812)
 7
 (1813)","Office vacant
 (Balance of Gerry's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,5,https://en.wikipedia.org/wiki/Presidency_of_James_Monroe,"March 4, 1817
 –
 March 4, 1825","James Monroe
 1758–1831
 (Lived: 73 years)
 [15][16][17]","7th
 United States Secretary of State
 (1811–1817); 7th
 United States Secretary of State","Democratic-
 Republican","(1816)
 8
 (1817)",Daniel D. Tompkins
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,5,https://en.wikipedia.org/wiki/Presidency_of_James_Monroe,"March 4, 1817
 –
 March 4, 1825","James Monroe
 1758–1831
 (Lived: 73 years)
 [15][16][17]","7th
 United States Secretary of State
 (1811–1817); 7th
 United States Secretary of State","Democratic-
 Republican","(1820)
 9
 (1821)",Daniel D. Tompkins
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,6,https://en.wikipedia.org/wiki/Presidency_of_John_Quincy_Adams,"March 4, 1825
 –
 March 4, 1829","John Quincy Adams
 1767–1848
 (Lived: 80 years)
 [18][19][20]","8th
 United States Secretary of State
 (1817–1825); 8th
 United States Secretary of State","Democratic-
 Republican","(1824)
 10
 (1825)",John C. Calhoun
