State_Capitals_and_Nicknames
url,State,Capital,Nickname
http://www.theus50.com/fastfacts/capital.php,Alabama,Montgomery,The Yellowhammer State
http://www.theus50.com/fastfacts/capital.php,Alaska,Juneau,The Last Frontier
http://www.theus50.com/fastfacts/capital.php,Arizona,Phoenix,The Grand Canyon State
http://www.theus50.com/fastfacts/capital.php,Arkansas,Little Rock,The Natural State
http://www.theus50.com/fastfacts/capital.php,California,Sacramento,The Golden State
http://www.theus50.com/fastfacts/capital.php,Colorado,Denver,The Centennial State
http://www.theus50.com/fastfacts/capital.php,Connecticut,Hartford,The Constitution State
http://www.theus50.com/fastfacts/capital.php,Delaware,Dover,The First State
http://www.theus50.com/fastfacts/capital.php,Florida,Tallahassee,The Sunshine State
http://www.theus50.com/fastfacts/capital.php,Georgia,Atlanta,The Peach State
http://www.theus50.com/fastfacts/capital.php,Hawaii,Honolulu,The Aloha State
http://www.theus50.com/fastfacts/capital.php,Idaho,Boise,The Gem State
http://www.theus50.com/fastfacts/capital.php,Illinois,Springfield,Land of Lincoln
http://www.theus50.com/fastfacts/capital.php,Indiana,Indianapolis,The Hoosier State
http://www.theus50.com/fastfacts/capital.php,Iowa,Des Moines,The Hawkeye State
http://www.theus50.com/fastfacts/capital.php,Kansas,Topeka,The Sunflower State
http://www.theus50.com/fastfacts/capital.php,Kentucky,Frankfort,The Bluegrass State
http://www.theus50.com/fastfacts/capital.php,Louisiana,Baton Rouge,The Pelican State
http://www.theus50.com/fastfacts/capital.php,Maine,Augusta,The Pine Tree State
http://www.theus50.com/fastfacts/capital.php,Maryland,Annapolis,The Old Line State
http://www.theus50.com/fastfacts/capital.php,Massachusetts,Boston,The Bay State
http://www.theus50.com/fastfacts/capital.php,Michigan,Lansing,The Great Lakes State
http://www.theus50.com/fastfacts/capital.php,Minnesota,Saint Paul,The North Star State
http://www.theus50.com/fastfacts/capital.php,Mississippi,Jackson,The Magnolia State
http://www.theus50.com/fastfacts/capital.php,Missouri,Jefferson City,The Show Me State
http://www.theus50.com/fastfacts/capital.php,Montana,Helena,The Treasure State
http://www.theus50.com/fastfacts/capital.php,Nebraska,Lincoln,The Cornhusker State
http://www.theus50.com/fastfacts/capital.php,Nevada,Carson City,The Silver State
http://www.theus50.com/fastfacts/capital.php,New Hampshire,Concord,The Granite State
http://www.theus50.com/fastfacts/capital.php,New Jersey,Trenton,The Garden State
http://www.theus50.com/fastfacts/capital.php,New Mexico,Santa Fe,The Land of Enchantment
http://www.theus50.com/fastfacts/capital.php,New York,Albany,The Empire State
http://www.theus50.com/fastfacts/capital.php,North Carolina,Raleigh,The Tar Heel State
http://www.theus50.com/fastfacts/capital.php,North Dakota,Bismarck,The Peace Garden State
http://www.theus50.com/fastfacts/capital.php,Ohio,Columbus,The Buckeye State
http://www.theus50.com/fastfacts/capital.php,Oklahoma,Oklahoma City,The Sooner State
http://www.theus50.com/fastfacts/capital.php,Oregon,Salem,The Beaver State
http://www.theus50.com/fastfacts/capital.php,Pennsylvania,Harrisburg,The Keystone State
http://www.theus50.com/fastfacts/capital.php,Rhode Island,Providence,The Ocean State
http://www.theus50.com/fastfacts/capital.php,South Carolina,Columbia,The Palmetto State
http://www.theus50.com/fastfacts/capital.php,South Dakota,Pierre,Mount Rushmore State
http://www.theus50.com/fastfacts/capital.php,Tennessee,Nashville,The Volunteer State
http://www.theus50.com/fastfacts/capital.php,Texas,Austin,The Lone Star State
http://www.theus50.com/fastfacts/capital.php,Utah,Salt Lake City,The Beehive State
http://www.theus50.com/fastfacts/capital.php,Vermont,Montpelier,The Green Mountain State
http://www.theus50.com/fastfacts/capital.php,Virginia,Richmond,The Old Dominion State
http://www.theus50.com/fastfacts/capital.php,Washington,Olympia,The Evergreen State
http://www.theus50.com/fastfacts/capital.php,West Virginia,Charleston,The Mountain State
http://www.theus50.com/fastfacts/capital.php,Wisconsin,Madison,The Badger State
http://www.theus50.com/fastfacts/capital.php,Wyoming,Cheyenne,The Equality State
