Table_1
url,Degree,Abbreviations
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Audiology,AuD or Au.D.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Chiropractic,DC or D.C.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Dental Surgery,DDS or D.D.S.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Divinity,DD or D.D.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Education,EdD or Ed.D.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Jurisprudence (Juris Doctor),JD or J.D.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Medical Dentistry,DMD or D.M.D.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Medicine,MD or M.D.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Ministry,DMin
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Metaphysics,Dr. mph.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Musical Arts,D.M.A.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Naturopathy,ND or N.D.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Nursing Practice,DNP or D.N.P.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Optometry,OD or O.D.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Osteopathy,DO or D.O.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Pharmacy,PharmD or Pharm.D.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Philosophy,"PhD, Ph.D., DPhil, D.Phil., DPh, or D.Ph."
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Physical Therapy,DPT or D.P.T.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Practical Theology,DPT or D.P.T.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Psychology,PsyD or Psy.D.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Public Health,DrPH
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Religious Sciences,Dr. sc. rel. or D.R.S.
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Science,"DSc, D.Sc. or ScD"
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Theology,"D.Th., Th.D. or ThD"
https://en.wiktionary.org/wiki/Appendix:Academic_degrees,Doctor of Veterinary Medicine,DVM or D.V.M.
