Appollo_Astronauts_who_walked_on_the_Moon
url,#,Name,Born_(age),Died_(age),Age_at_first_step,Mission,Lunar_EVA_dates,Service,Alma_Mater
https://en.wikipedia.org/wiki/List_of_Apollo_astronauts,1.,Neil Armstrong,"(1930-08-05)August 5, 1930","August 25, 2012; (aged 82)",38y 11m 15d,Apollo 11,"July 21, 1969[6]",NASA,"Purdue University, University of Southern California"
https://en.wikipedia.org/wiki/List_of_Apollo_astronauts,2.,Buzz Aldrin,"(1930-01-20) January 20, 1930 (age 88)",,39y 6m 0d,,,Air Force,"United States Military Academy, MIT"
https://en.wikipedia.org/wiki/List_of_Apollo_astronauts,3.,Pete Conrad,"(1930-06-02)June 2, 1930","July 8, 1999; (aged 69)",39y 5m 17d,Apollo 12,"November 19–20, 1969",Navy,Princeton University
https://en.wikipedia.org/wiki/List_of_Apollo_astronauts,4.,Alan Bean,"(1932-03-15) March 15, 1932 (age 86)",,37y 8m 4d,,,Navy,"University of Texas, Austin"
https://en.wikipedia.org/wiki/List_of_Apollo_astronauts,5.,Alan Shepard,"(1923-11-18)November 18, 1923","July 21, 1998; (aged 74)",47y 2m 18d,Apollo 14,"February 5–6, 1971",Navy,"United States Naval Academy, Naval War College"
https://en.wikipedia.org/wiki/List_of_Apollo_astronauts,6.,Edgar Mitchell,"(1930-09-17)September 17, 1930","February 4, 2016; (aged 85)",40y 4m 19d,,,Navy,"Carnegie Mellon University, Naval Postgraduate School, MIT"
https://en.wikipedia.org/wiki/List_of_Apollo_astronauts,7.,David Scott,"(1932-06-06) June 6, 1932 (age 85)",,39y 1m 25d,Apollo 15,"July 31 – August 2, 1971",Air Force,"University of Michigan (freshman year, and later, an honorary doctorate), United States Military Academy, MIT"
https://en.wikipedia.org/wiki/List_of_Apollo_astronauts,8.,James Irwin,"(1930-03-17)March 17, 1930","August 8, 1991; (aged 61)",41y 4m 14d,,,Air Force,"United States Naval Academy, University of Michigan"
https://en.wikipedia.org/wiki/List_of_Apollo_astronauts,9.,John Young,"(1930-09-24)September 24, 1930","January 5, 2018; (aged 87)",41y 6m 28d,Apollo 16,"April 21–23, 1972",Navy,Georgia Institute of Technology
https://en.wikipedia.org/wiki/List_of_Apollo_astronauts,10.,Charles Duke,"(1935-10-03) October 3, 1935 (age 82)",,36y 6m 18d,,,Air Force,"United States Naval Academy, MIT"
https://en.wikipedia.org/wiki/List_of_Apollo_astronauts,11.,Eugene Cernan,"(1934-03-14)March 14, 1934","January 16, 2017; (aged 82)",38y 9m 7d,Apollo 17,"December 11–14, 1972",Navy,"Purdue University, Naval Postgraduate School"
https://en.wikipedia.org/wiki/List_of_Apollo_astronauts,12.,Harrison Schmitt,"(1935-07-03) July 3, 1935 (age 82)",,37y 5m 8d,,,NASA,"Caltech, University of Oslo (exchange), Harvard University (PhD Geology)"
