Table_1
url,Years,Dates,Lasting_Days,Animal_Signs
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1930,"Jan. 30, 1930 (Thursday)",01-30-1930 ～ 02-16-1931,Horse
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1931,"Feb. 17, 1931 (Tuesday)",02-17-1931 ～ 02-05-1932,Sheep
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1932,"Feb. 6, 1932 (Saturday)",02-06-1932 ～ 01-25-1933,Monkey
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1933,"Jan. 26, 1933 (Thursday)",01-26-1933 ～ 02-13-1934,Rooster
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1934,"Feb. 14, 1934 (Wednesday)",02-14-1934 ～ 02-03-1935,Dog
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1935,"Feb. 4, 1935 (Monday)",02-04-1935 ～ 01-23-1936,Pig
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1936,"Jan. 24, 1936 (Friday)",01-24-1936 ～ 02-10-1937,Rat
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1937,"Feb. 11, 1937 (Thursday)",02-11-1937 ～ 01-30-1938,Ox
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1938,"Jan. 31, 1938 (Monday)",01-31-1938 ～ 02-18-1939,Tiger
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1939,"Feb. 19, 1939 (Sunday)",02-19-1939 ～ 02-07-1940,Rabbit
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1940,"Feb. 8, 1940(Thursday)",02-08-1940 ～ 01-26-1941,Dragon
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1941,"Jan. 27, 1941 (Monday)",01-27-1941 ～ 02-14-1942,Snake
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1942,"Feb. 15, 1942 (Sunday)",02-15-1942 ～ 02-03-1943,Horse
