Table_1
url,Pick,Team,Record
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,1,Browns,0-16
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,2,Giants,3-13
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,3,Colts,4-12
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,4,Browns (from Texans),0-16
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,5,Broncos,5-11
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,6,Jets,5-11
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,7,Buccaneers,5-11
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,8,Bears,5-11
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,9,Raiders*,6-10
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,10,49ers*,6-10
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,11,Dolphins,6-10
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,12,Bengals,7-9
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,13,Packers*,7-9
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,14,Redskins*,7-9
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,15,Cardinals,8-8
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,16,Ravens,9-7
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,17,Chargers,9-7
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,18,Seahawks,9-7
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,19,Cowboys,9-7
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,20,Lions,9-7
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,21,Bills,9-7
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,22,Bills (from Chiefs),9-7
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,23,Rams,11-5
https://pantherswire.usatoday.com/2018/01/08/carolina-panthers-will-pick-no-24-in-the-2018-nfl-draft/,24,Panthers,11-5
