US_Presidents
url,Presidency,President,Prior_Office,Party,Term,Vice_President
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"April 30, 1789
 [e]
 –
 March 4, 1797",George Washington,"Commander-in-Chief
 of the
 Continental Army
 (1775–1783)",Unaffiliated,"(1788–89)
 1
 (1789)",John Adams
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"April 30, 1789
 [e]
 –
 March 4, 1797",George Washington,"Commander-in-Chief
 of the
 Continental Army
 (1775–1783)",Unaffiliated,"(1792)
 2
 (1793)",John Adams
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1797
 –
 March 4, 1801",John Adams,"1st
 Vice President of the United States",Federalist,"(1796)
 3
 (1797)",Thomas Jefferson
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1801
 –
 March 4, 1809",Thomas Jefferson,"2nd
 Vice President of the United States","Democratic-
 Republican","(1800)
 4
 (1801)",Aaron Burr
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1801
 –
 March 4, 1809",Thomas Jefferson,"2nd
 Vice President of the United States","Democratic-
 Republican","(1804)
 5
 (1805)",George Clinton
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1809
 –
 March 4, 1817",James Madison,"5th
 United States Secretary of State","Democratic-
 Republican","(1808)
 6
 (1809)",George Clinton
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1809
 –
 March 4, 1817",James Madison,"5th
 United States Secretary of State","Democratic-
 Republican","(1808)
 6
 (1809)",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1809
 –
 March 4, 1817",James Madison,"5th
 United States Secretary of State","Democratic-
 Republican","(1812)
 7
 (1813)",Elbridge Gerry
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1809
 –
 March 4, 1817",James Madison,"5th
 United States Secretary of State","Democratic-
 Republican","(1812)
 7
 (1813)",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1817
 –
 March 4, 1825",James Monroe,"7th
 United States Secretary of State","Democratic-
 Republican","(1816)
 8
 (1817)",Daniel D. Tompkins
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1817
 –
 March 4, 1825",James Monroe,"7th
 United States Secretary of State","Democratic-
 Republican","(1820)
 9
 (1821)",Daniel D. Tompkins
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1825
 –
 March 4, 1829",John Quincy Adams,"8th
 United States Secretary of State","Democratic-
 Republican","(1824)
 10
 (1825)",John C. Calhoun
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1829
 –
 March 4, 1837",Andrew Jackson,U.S. Senator,Democratic,"(1828)
 11
 (1829)",John C. Calhoun
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1829
 –
 March 4, 1837",Andrew Jackson,U.S. Senator,Democratic,"(1828)
 11
 (1829)",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1829
 –
 March 4, 1837",Andrew Jackson,U.S. Senator,Democratic,"(1832)
 12
 (1833)",Martin Van Buren
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1837
 –
 March 4, 1841",Martin Van Buren,"8th
 Vice President of the United States",Democratic,"(1836)
 13
 (1837)",Richard M. Johnson
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1841
 –
 April 4, 1841
 (Died in office)",William Henry Harrison,United States Minister to Colombia,Whig,"(1840)
 14
 (1841)
 (1841)
 [j]",John Tyler
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"April 4, 1841
 [k]
 –
 March 4, 1845",John Tyler,"10th
 Vice President of the United States",Whig,"(1840)
 14
 (1841)
 (1841)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"April 4, 1841
 [k]
 –
 March 4, 1845",John Tyler,"10th
 Vice President of the United States",Unaffiliated,"(1840)
 14
 (1841)
 (1841)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1845
 –
 March 4, 1849",James K. Polk,"9th
 Governor of Tennessee",Democratic,"(1844)
 15
 (1845)",George M. Dallas
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1849
 –
 July 9, 1850
 (Died in office)",Zachary Taylor,Major General,Whig,"(1848)
 16
 (1849)
 (1850)
 [j]",Millard Fillmore
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"July 9, 1850
 [m]
 –
 March 4, 1853",Millard Fillmore,"12th
 Vice President of the United States",Whig,"(1848)
 16
 (1849)
 (1850)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1853
 –
 March 4, 1857",Franklin Pierce,Brigadier General,Democratic,"(1852)
 17
 (1853)",William R. King
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1853
 –
 March 4, 1857",Franklin Pierce,Brigadier General,Democratic,"(1852)
 17
 (1853)",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1857
 –
 March 4, 1861",James Buchanan,United States Minister,Democratic,"(1856)
 18
 (1857)",John C. Breckinridge
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1861
 –
 April 15, 1865
 (Died in office)",Abraham Lincoln,U.S. Representative,Republican,"(1860)
 19
 (1861)",Hannibal Hamlin
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1861
 –
 April 15, 1865
 (Died in office)",Abraham Lincoln,U.S. Representative,Republican,"(1864)
 20
 (1865)
 (1865)
 [j]",Andrew Johnson
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"April 15, 1865
 –
 March 4, 1869",Andrew Johnson,"16th
 Vice President of the United States",National Union,"(1864)
 20
 (1865)
 (1865)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"April 15, 1865
 –
 March 4, 1869",Andrew Johnson,"16th
 Vice President of the United States",Democratic,"(1864)
 20
 (1865)
 (1865)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1869
 –
 March 4, 1877",Ulysses S. Grant,Commanding General of the U.S. Army,Republican,"(1868)
 21
 (1869)",Schuyler Colfax
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1869
 –
 March 4, 1877",Ulysses S. Grant,Commanding General of the U.S. Army,Republican,"(1872)
 22
 (1873)",Henry Wilson
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1869
 –
 March 4, 1877",Ulysses S. Grant,Commanding General of the U.S. Army,Republican,"(1872)
 22
 (1873)",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1877
 –
 March 4, 1881",Rutherford B. Hayes,"29th & 32nd
 Governor of Ohio",Republican,"(1876)
 23
 (1877)",William A. Wheeler
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1881
 –
 September 19, 1881
 (Died in office)",James A. Garfield,U.S. Representative,Republican,"(1880)
 24
 (1881)
 (1881)
 [j]",Chester A. Arthur
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"September 19, 1881
 [p]
 –
 March 4, 1885",Chester A. Arthur,"20th
 Vice President of the United States",Republican,"(1880)
 24
 (1881)
 (1881)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1885
 –
 March 4, 1889",Grover Cleveland,"28th
 Governor of New York",Democratic,"(1884)
 25
 (1885)",Thomas A. Hendricks
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1885
 –
 March 4, 1889",Grover Cleveland,"28th
 Governor of New York",Democratic,"(1884)
 25
 (1885)",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1889
 –
 March 4, 1893",Benjamin Harrison,U.S. Senator,Republican,"(1888)
 26
 (1889)",Levi P. Morton
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1893
 –
 March 4, 1897",Grover Cleveland,"22nd
 President of the United States",Democratic,"(1892)
 27
 (1893)",Adlai Stevenson
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1897
 –
 September 14, 1901
 (Died in office)",William McKinley,"39th
 Governor of Ohio",Republican,"(1896)
 28
 (1897)",Garret Hobart
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1897
 –
 September 14, 1901
 (Died in office)",William McKinley,"39th
 Governor of Ohio",Republican,"(1896)
 28
 (1897)",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1897
 –
 September 14, 1901
 (Died in office)",William McKinley,"39th
 Governor of Ohio",Republican,"(1900)
 29
 (1901)
 (1901)
 [j]",Theodore Roosevelt
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"September 14, 1901
 –
 March 4, 1909",Theodore Roosevelt,"25th
 Vice President of the United States",Republican,"(1900)
 29
 (1901)
 (1901)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"September 14, 1901
 –
 March 4, 1909",Theodore Roosevelt,"25th
 Vice President of the United States",Republican,"(1904)
 30
 (1905)",Charles W. Fairbanks
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1909
 –
 March 4, 1913",William Howard Taft,"42nd
 United States Secretary of War",Republican,"(1908)
 31
 (1909)",James S. Sherman
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1909
 –
 March 4, 1913",William Howard Taft,"42nd
 United States Secretary of War",Republican,"(1908)
 31
 (1909)",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1913
 –
 March 4, 1921",Woodrow Wilson,"34th
 Governor of New Jersey",Democratic,"(1912)
 32
 (1913)",Thomas R. Marshall
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1913
 –
 March 4, 1921",Woodrow Wilson,"34th
 Governor of New Jersey",Democratic,"(1916)
 33
 (1917)",Thomas R. Marshall
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1921
 –
 August 2, 1923
 (Died in office)",Warren G. Harding,U.S. Senator,Republican,"(1920)
 34
 (1921)
 (1923)
 [j]",Calvin Coolidge
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"August 2, 1923
 [q]
 –
 March 4, 1929",Calvin Coolidge,"29th
 Vice President of the United States",Republican,"(1920)
 34
 (1921)
 (1923)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"August 2, 1923
 [q]
 –
 March 4, 1929",Calvin Coolidge,"29th
 Vice President of the United States",Republican,"(1924)
 35
 (1925)",Charles G. Dawes
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1929
 –
 March 4, 1933",Herbert Hoover,"3rd
 United States Secretary of Commerce",Republican,"(1928)
 36
 (1929)",Charles Curtis
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1933
 –
 April 12, 1945
 (Died in office)",Franklin D. Roosevelt,"44th
 Governor of New York",Democratic,"(1932)
 37
 (1933)",John N. Garner
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1933
 –
 April 12, 1945
 (Died in office)",Franklin D. Roosevelt,"44th
 Governor of New York",Democratic,"(1936)
 38
 (1937)",John N. Garner
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1933
 –
 April 12, 1945
 (Died in office)",Franklin D. Roosevelt,"44th
 Governor of New York",Democratic,"(1940)
 39
 (1941)",Henry A. Wallace
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"March 4, 1933
 –
 April 12, 1945
 (Died in office)",Franklin D. Roosevelt,"44th
 Governor of New York",Democratic,"(1944)
 40
 (1945)
 (1945)
 [j]",Harry S. Truman
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"April 12, 1945
 –
 January 20, 1953",Harry S. Truman,"34th
 Vice President of the United States",Democratic,"(1944)
 40
 (1945)
 (1945)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"April 12, 1945
 –
 January 20, 1953",Harry S. Truman,"34th
 Vice President of the United States",Democratic,"(1948)
 41
 (1949)",Alben W. Barkley
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 1953
 –
 January 20, 1961",Dwight D. Eisenhower,Supreme Allied Commander Europe,Republican,"(1952)
 42
 (1953)",Richard Nixon
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 1953
 –
 January 20, 1961",Dwight D. Eisenhower,Supreme Allied Commander Europe,Republican,"(1956)
 43
 (1957)",Richard Nixon
