Table_1
url,State_Name,Date,Order,Pre-Statehood_Notes
https://www.50states.com/statehood.htm,Alabama,"Dec. 14, 1819",22 nd,"Territory by Act of March 3, 1817, effective Aug. 15, 1817."
https://www.50states.com/statehood.htm,Alaska,"Jan. 3, 1959",49 th,"A district from Oct. 18, 1867, until it became an organized territory Aug. 24, 1912."
https://www.50states.com/statehood.htm,Arizona,"Feb. 14, 1912",48 th,"This region was sometimes called Arizona before 1863, although it was still in the Territory of New Mexico."
https://www.50states.com/statehood.htm,Arkansas,"June 15, 1836",25 th,"The territory was larger than the state. After statehood the leftover area to the west had post offices that continued for some years to use an Arkansas abbreviation in the postmarks, although they were really in the ""Indian Country."""
https://www.50states.com/statehood.htm,California,"Sept. 9, 1850",31 st,"Ceded by Mexico by the Treaty of Guadalupe-Hidalgo, concluded Feb. 2, 1848, and proclaimed July 4, 1848. From then until statehood, California had a military government until Dec. 20, 1849, and then a local civil government. It never had a territorial form of government."
https://www.50states.com/statehood.htm,Colorado,"Aug. 1, 1876",38 th,.
https://www.50states.com/statehood.htm,Connecticut,"Jan. 9, 1788",5 th,The fifth of the original 13 colonies.
https://www.50states.com/statehood.htm,Delaware,"Dec. 7, 1787",1 st,The first of the original 13 colonies.
https://www.50states.com/statehood.htm,Florida,"March 3, 1845",27 th,.
https://www.50states.com/statehood.htm,Georgia,"Jan. 2, 1788",4 th,The fourth of the original 13 colonies
https://www.50states.com/statehood.htm,Hawaii,"Aug. 21, 1959",50 th,"The territorial date Aug. 12, 1898 is that of the formal transfer to the United States, with Sanford B. Dole as first Governor."
https://www.50states.com/statehood.htm,Idaho,"July 3, 1890",43 rd,.
https://www.50states.com/statehood.htm,Illinois,"Dec. 3, 1818",21 st,.
https://www.50states.com/statehood.htm,Indiana,"Dec. 11, 1816",19 th,"There was a residue of Indiana Territory that continued to exist under that name until Dec. 3, 1818, when it was attached to Michigan Territory."
https://www.50states.com/statehood.htm,Iowa,"Dec. 28, 1846",29 th,.
