Table_1
url,Country,Country_link,League,Affiliation,Competitions
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Austria,https://en.wikipedia.org/wiki/Austria,Österreichische Fußball Bundesliga,2005,"Bundesliga
 Erste Liga"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan,Azerbaijan Professional Football League,2013,"Premier League
 I Division
 Cup
 Super Cup"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Belgium,https://en.wikipedia.org/wiki/Belgium,Pro League,2005,"Pro League
 Super Cup"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Denmark,https://en.wikipedia.org/wiki/Denmark,Divionsforeningen,2005,"Superliga
 1. division
 2. division (Øst / Vest)"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,England,https://en.wikipedia.org/wiki/England,The Premier League,2005,Premier League
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Finland,https://en.wikipedia.org/wiki/Finland,The Finnish Football League Association,2005,"Veikkausliiga
 Liigacup"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,France,https://en.wikipedia.org/wiki/France,Ligue de Football Professionnel,2005,"Ligue 1
 Ligue 2
 Coupe de la Ligue
 Trophée des Champions"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Germany,https://en.wikipedia.org/wiki/Germany,DFL Deutsche Fußball Liga GmbH,2005,"Bundesliga
 2. Bundesliga"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Greece,https://en.wikipedia.org/wiki/Greece,Super League Greece,2005,Super League
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Israel,https://en.wikipedia.org/wiki/Israel,Israeli Professional Football Leagues,2014,"Premier League
 Liga Leumit"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Italy,https://en.wikipedia.org/wiki/Italy,Lega Nazionale Professionisti Serie A,2005[note 1],"Serie A
 Coppa
 Supercoppa"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan,Professional Football League of Kazakhstan,2015,"Premier League
 First League
 Cup
 Super Cup"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Norway,https://en.wikipedia.org/wiki/Norway,Norsk Toppfotball,2007,"Eliteserien
 1. divisjon"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Netherlands,https://en.wikipedia.org/wiki/Netherlands,Eredivisie CV,2005,Eredivisie
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Poland,https://en.wikipedia.org/wiki/Poland,Polish Professional Football League,2007,"Ekstraklasa
 Super Cup"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Portugal,https://en.wikipedia.org/wiki/Portugal,Liga Portuguesa de Futebol Profissional,2005,"Primeira Liga
 Segunda Liga
 Taça da Liga"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Romania,https://en.wikipedia.org/wiki/Romania,Liga Profesionistă de Fotbal,"(2009–2011)
 2014","Liga 1
 Cupa Ligii"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Russia,https://en.wikipedia.org/wiki/Russia,Russian Football Premier League,2007,"Championship
 Super Cup"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Scotland,https://en.wikipedia.org/wiki/Scotland,Scottish Professional Football League[note 2],2005,"Premiership
 Championship
 League 1
 League 2
 League Cup
 Challenge Cup"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Serbia,https://en.wikipedia.org/wiki/Serbia,Serbian Superliga,2010,Super Liga
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Spain,https://en.wikipedia.org/wiki/Spain,Liga Nacional de Fútbol Profesional,2005,"La Liga
 Segunda División"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Sweden,https://en.wikipedia.org/wiki/Sweden,Föreningen Svensk Elitfotboll,2005,"Allsvenskan
 Superettan"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Switzerland,https://en.wikipedia.org/wiki/Switzerland,Swiss Football League,2005,"Super League
 Challenge League"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,Ukraine,https://en.wikipedia.org/wiki/Ukraine,Ukrainian Premier League,2009,"Championship
 Super Cup"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,England,https://en.wikipedia.org/wiki/England,The Football League; The Football League,2006,"Championship
 One
 Two
 League Cup
 League Trophy"
https://en.wikipedia.org/wiki/European_Professional_Football_Leagues,France,https://en.wikipedia.org/wiki/France,Union des Clubs Professionnels de Football,2008,–
