US_Tax_Day
url,Weekday,Date,Year
https://www.timeanddate.com/holidays/us/tax-day,Thu,Apr 15,2010
https://www.timeanddate.com/holidays/us/tax-day,Mon,Apr 18,2011
https://www.timeanddate.com/holidays/us/tax-day,Tue,Apr 17,2012
https://www.timeanddate.com/holidays/us/tax-day,Mon,Apr 15,2013
https://www.timeanddate.com/holidays/us/tax-day,Tue,Apr 15,2014
https://www.timeanddate.com/holidays/us/tax-day,Wed,Apr 15,2015
https://www.timeanddate.com/holidays/us/tax-day,Mon,Apr 18,2016
https://www.timeanddate.com/holidays/us/tax-day,Tue,Apr 18,2017
https://www.timeanddate.com/holidays/us/tax-day,Tue,Apr 17,2018
https://www.timeanddate.com/holidays/us/tax-day,Mon,Apr 15,2019
https://www.timeanddate.com/holidays/us/tax-day,Wed,Apr 15,2020
