Mexican_Food_Glossary
url,Term,Definition
http://www.fiestajalapenos.com/glossary.html,Buñuelo,A thin fried pastry finished with a sweet topping.
http://www.fiestajalapenos.com/glossary.html,Burro/Burrito,"A large flour tortilla filled with meat, cheese, or beans."
http://www.fiestajalapenos.com/glossary.html,Camaron,Shrimp.
http://www.fiestajalapenos.com/glossary.html,Carne Asada,"Pieces of thin-cut beef that is grilled. Literally, ""roasted meat."""
http://www.fiestajalapenos.com/glossary.html,Carnita,A dish made with small pieces of pork.
http://www.fiestajalapenos.com/glossary.html,Chalupa,"A thick boat-shaped corn tortilla fried and filled with other ingredients. In Mexico, a chalupa is a small canoe."
http://www.fiestajalapenos.com/glossary.html,Charro Beans,"Simmered pinto beans with a bacon flavoring, mixed with onions and tomatoes. Charros are Mexican cowboys."
http://www.fiestajalapenos.com/glossary.html,Chile Con Queso,A melted cheese dip flavored with mild green chilies.
http://www.fiestajalapenos.com/glossary.html,Chile Relleno,"Cheese-stuffed mild green chilies, battered and fried until the outside is crisp and the cheese inside is melted. Literally, ""stuffed peppers."""
http://www.fiestajalapenos.com/glossary.html,Chimichanga,A burrito that is sealed closed and fried till crisp.
http://www.fiestajalapenos.com/glossary.html,Chipotle,"Dried, smoked jalapeño chilies."
http://www.fiestajalapenos.com/glossary.html,Chorizo,A Mexican sausage made with ground pork and spicy seasonings.
http://www.fiestajalapenos.com/glossary.html,Decebrada,"Shredded meat, usually beef."
http://www.fiestajalapenos.com/glossary.html,Enchilada,"A tortilla dipped in chili sauce, then filled with meat or cheese, rolled up, and baked. Usually served topped with salsa and cheese."
http://www.fiestajalapenos.com/glossary.html,Ensalada,A salad.
http://www.fiestajalapenos.com/glossary.html,Fajita,"Meat brought to the table on a metal platter, sizzling loudly, with tortillas and condiments served on the side."
http://www.fiestajalapenos.com/glossary.html,Flan,A rich custard dessert with a layer of soft caramel on top.
http://www.fiestajalapenos.com/glossary.html,Flauta/Flautita,"A small corn tortilla that has been stuffed with meat or beans, then sealed and deep-fried until crisp. Literally, ""flute""."
http://www.fiestajalapenos.com/glossary.html,Guacamole,"A dish made from mashed avacado and lime or lemon juice, with onions, chilies, and seasonings added. Often used as a condiment in Mexican dishes."
http://www.fiestajalapenos.com/glossary.html,Jalapeño,A medium-hot green chili pepper.
http://www.fiestajalapenos.com/glossary.html,Margarita,"A cocktail made with tequila, an orange-flavored liqueur, and lime juice."
http://www.fiestajalapenos.com/glossary.html,Masa,Dough made from dried corn.
http://www.fiestajalapenos.com/glossary.html,Mexican Rice,"White rice roasted in a skillet with garlic and onions until light brown, then steamed or simmered with tomato sauce and chicken stock."
http://www.fiestajalapenos.com/glossary.html,Mole,"A spicy, rich sauce consisting of nuts, seeds, spices, chilies and a small amount of chocolate."
http://www.fiestajalapenos.com/glossary.html,Nachos,"Crisp torilla chips topped with melted cheese and chopped chilies. Invented in 1943 by Ignacio ""Nacho"" Anaya in Piedras Negras, Mexico."
http://www.fiestajalapenos.com/glossary.html,Pico de Gallo,"An uncooked tomato, onion, and chili relish. Literally, ""beak of the rooster."""
http://www.fiestajalapenos.com/glossary.html,Poblano,A large mild green chile. Poblanos originated in the Mexican state of Puebla.
http://www.fiestajalapenos.com/glossary.html,Pollo,Chicken.
http://www.fiestajalapenos.com/glossary.html,Quesadilla,"A flour tortilla filled with meat and cheese, folded in half, and toasted."
http://www.fiestajalapenos.com/glossary.html,Queso,Cheese.
http://www.fiestajalapenos.com/glossary.html,Ranchero Sauce,"A spciy tomato-based sauce that includes onions, green chilies, and seasonings."
http://www.fiestajalapenos.com/glossary.html,Refried Beans,"Cooked red or pinto beans that are mashed, then fried."
http://www.fiestajalapenos.com/glossary.html,Salsa,A spicy tomato-based sauce used to dip or to accent dishes.
http://www.fiestajalapenos.com/glossary.html,Sincronizada,A grilled sandwich of cheese and other ingredients between two tortillas.
http://www.fiestajalapenos.com/glossary.html,Sope,A small circle or bowl of fried masa topped with some type of filling and a garnish or cheese.
http://www.fiestajalapenos.com/glossary.html,Suizo,"A creamy white sauce. Literally, ""Swiss."""
http://www.fiestajalapenos.com/glossary.html,Taco,"A corn tortilla filled with meat, cheese, or beans."
http://www.fiestajalapenos.com/glossary.html,Tamale,"Corn masa encasing some type of filling, usually pork. Traditionally steamed in corn husks. Don't eat the husks!"
http://www.fiestajalapenos.com/glossary.html,Tortilla,"A thin, round unleavened bread made of either corn flour or wheat flour and baked on a griddle."
http://www.fiestajalapenos.com/glossary.html,Tostada,"A toasted tortilla topped with meats, beans, or cheeses."
