Table_1
url,Generation_Name,Start,End,Youngest,Oldest
https://www.careerplanner.com/Career-Articles/Generations.cfm,"The Lost Generation -
 The Generation of 1914",1890,1915,103,128
https://www.careerplanner.com/Career-Articles/Generations.cfm,The Interbellum Generation,1901,1913,105,117
https://www.careerplanner.com/Career-Articles/Generations.cfm,The Greatest Generation,1910,1924,94,108
https://www.careerplanner.com/Career-Articles/Generations.cfm,The Silent Generation,1925,1945,73,93
https://www.careerplanner.com/Career-Articles/Generations.cfm,Baby Boomer Generation,1946,1964,54,72
https://www.careerplanner.com/Career-Articles/Generations.cfm,Generation X (Baby Bust),1965,1979,39,53
https://www.careerplanner.com/Career-Articles/Generations.cfm,Xennials -,1975,1985,33,43
https://www.careerplanner.com/Career-Articles/Generations.cfm,"Generation Y - 
 The Millennials - 
 Gen Next",1980,1994,24,38
https://www.careerplanner.com/Career-Articles/Generations.cfm,iGen / Gen Z,1995,2012,6,23
https://www.careerplanner.com/Career-Articles/Generations.cfm,Gen Alpha,2013,2025,1,5
