The_Tallest_Buildings_in_the_World
url,Rank,Building,Location,Height_in_Feet,Height_in_Meters,Year_Completed
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,1,Burj Khalifa,"Dubai, United Arab Emirates","2,717",828,2010
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,2,Shanghai Tower,"Shanghai, China","2,073",632,2015
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,3,Makkah Royal Clock Tower (Abraj Al Bait),"Mecca, Saudi Arabia","1,971",601,2012
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,4,Pang An International Financial Centre,"Shenzhen, China","1,965",599,2016
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,5,Lotte World Tower,"Seoul, South Korea","1,819",544.5,2017
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,6,One World Trade Center,"New York, United States","1,776",541.3,2014
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,7,Guangzhou CTF Fiance Centre,"Guangzhou, China","1,739",530,2016
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,8,Taipei 101,"Taipei, Taiwan","1,667",508,2004
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,9,Shanghai World Financial Centre,"Shanghai, China","1,614",492,2008
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,10,International Commerce Centre,Hong Kong,"1,588",484,2010
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,11,Petronas Twin Tower 1,"Kuala Lumpur, Malaysia","1,483",451.9,1998
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,12,Petronas Twin Tower 2,"Kuala Lumpur, Malaysia","1,483",451.9,1998
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,13,Zifeng Tower,"Nanjing, China","1,476",450,2010
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,14,Willis Tower (Sears Tower),"Chicago, United States","1,451",442.1,1974
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,15,KK100,"Shenzhen, China","1,449",441.8,2011
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,16,Guangzhou International Finance Center,"Guangzhou, China","1,439",438.6,2010
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,17,432 Park Avenue,"New York, United States","1,396",425.5,2015
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,18,Marina 101,"Dubai, United Arab Emirates","1,394",425,2017
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,19,Trump International Hotel and Tower,"Chicago, United States","1,389",423.2,2009
https://www.worldatlas.com/articles/10-tallest-buildings-in-the-world.html,20,Jin Mao Tower,"Shanghai, China","1,380",420.5,1999
