Table_1
url,Airport_ID,Depart_City_/_Airport_ID,Suggested_Time_of_Arrival,Terminal_and_Gate,Fly_By_Check-in,Fly_By_Security,Self_Tagging
https://www.southwest.com/html/air/airport-information.html,ALB,"Albany, NY - ALB","Domestic
90 Minutes
International
90 Minutes; Domestic; 90 Minutes; International; 90 Minutes","Terminal C; Gates C:2,3",yes,No,yes
https://www.southwest.com/html/air/airport-information.html,ABQ,"Albuquerque, NM - ABQ","Domestic
90 Minutes
International
90 Minutes; Domestic; 90 Minutes; International; 90 Minutes","Concourse A; Gates 5,7-11",yes,yes,yes
https://www.southwest.com/html/air/airport-information.html,AMA,"Amarillo, TX - AMA","Domestic
60 Minutes
International
90 Minutes; Domestic; 60 Minutes; International; 90 Minutes","Main Terminal; Gates 6,7",No,yes,No
https://www.southwest.com/html/air/airport-information.html,AUA,"Aruba, AW - AUA",180 Minutes; 180 Minutes,US Departures; Gates change daily,yes,No,No
https://www.southwest.com/html/air/airport-information.html,ATL,"Atlanta, GA - ATL","Domestic
120 Minutes
International
120 Minutes; Domestic; 120 Minutes; International; 120 Minutes","Concourse C; Gates C: 1-7,9,10,12-17,20-22",yes,yes,yes
https://www.southwest.com/html/air/airport-information.html,AUS,"Austin, TX - AUS","Domestic
120 Minutes
International
120 Minutes; Domestic; 120 Minutes; International; 120 Minutes",Main Terminal; Gates 7-12,yes,yes,yes
https://www.southwest.com/html/air/airport-information.html,BWI,"Baltimore/Washington, MD - BWI","Domestic
120 Minutes
International
180 Minutes; Domestic; 120 Minutes; International; 180 Minutes","Terminals A,B,&C; Gates A:1-11 B:2-15 C:9-14",yes,yes,yes
https://www.southwest.com/html/air/airport-information.html,BZE,"Belize City, Belize - BZE",180 Minutes; 180 Minutes,Terminal 1; Gate 2,yes,No,No
https://www.southwest.com/html/air/airport-information.html,BHM,"Birmingham, AL - BHM","Domestic
90 Minutes
International
90 Minutes; Domestic; 90 Minutes; International; 90 Minutes","Terminal C; Gates C:1,3,5",No,No,yes
https://www.southwest.com/html/air/airport-information.html,BOI,"Boise, ID - BOI","Domestic
90 Minutes
International
90 Minutes; Domestic; 90 Minutes; International; 90 Minutes","Concourse B; Gates 15,17",No,No,No
https://www.southwest.com/html/air/airport-information.html,BOS,"Boston Logan, MA - BOS","Domestic
120 Minutes
International
120 Minutes; Domestic; 120 Minutes; International; 120 Minutes",Terminal A; Gates 18-22,yes,yes,yes
https://www.southwest.com/html/air/airport-information.html,BUF,"Buffalo/Niagara, NY - BUF","Domestic
90 Minutes
International
90 Minutes; Domestic; 90 Minutes; International; 90 Minutes","Main Terminal; Gates 15,16,18",yes,yes,yes
https://www.southwest.com/html/air/airport-information.html,BUR,"Burbank, CA - BUR","Domestic
90 Minutes
International
90 Minutes; Domestic; 90 Minutes; International; 90 Minutes","Concourse A; Gates; A:1-4,6",yes,yes,No
https://www.southwest.com/html/air/airport-information.html,SJD,"Cabo/Los Cabos, Baja California Sur - SJD",120 Minutes; 120 Minutes,Terminal 2; Gates change daily,yes,No,No
https://www.southwest.com/html/air/airport-information.html,CUN,"Cancun, Quintana Roo - CUN",120 Minutes; 120 Minutes,Terminal 4; Gates change daily,yes,No,No
https://www.southwest.com/html/air/airport-information.html,CHS,"Charleston, SC - CHS","Domestic
90 Minutes
International
90 Minutes; Domestic; 90 Minutes; International; 90 Minutes",Main Concourse:; Gate B4,No,No,No
https://www.southwest.com/html/air/airport-information.html,CLT,"Charlotte, NC - CLT","Domestic
90 Minutes
International
90 Minutes; Domestic; 90 Minutes; International; 90 Minutes","Terminal A; Gate A: 6,8",yes,yes,No
https://www.southwest.com/html/air/airport-information.html,MDW,"Chicago (Midway), IL - MDW","Domestic
90 Minutes
International
120 Minutes; Domestic; 90 Minutes; International; 120 Minutes","Terminals A&B; Gates A:4a,4b, 9,11,12,14-19 B:1-3,5,7-12,14-26",yes,No,yes
https://www.southwest.com/html/air/airport-information.html,CVG,"Cincinnati, OH - CVG","Domestic
90 Minutes
International
90 Minutes; Domestic; 90 Minutes; International; 90 Minutes","Concourse A; Gates 3, 5",yes,yes,No
https://www.southwest.com/html/air/airport-information.html,CLE,"Cleveland, OH - CLE","Domestic
90 Minutes
International
90 Minutes; Domestic; 90 Minutes; International; 90 Minutes",Concourse B; Gates 7-11,yes,yes,yes
https://www.southwest.com/html/air/airport-information.html,CMH,"Columbus, OH - CMH","Domestic
60 Minutes
International
90 Minutes; Domestic; 60 Minutes; International; 90 Minutes",Concourse A; Gates A:2-6,yes,yes,yes
https://www.southwest.com/html/air/airport-information.html,CRP,"Corpus Christi, TX - CRP","Domestic
60 Minutes
International
90 Minutes; Domestic; 60 Minutes; International; 90 Minutes",Main Terminal; Gate 2,No,No,No
https://www.southwest.com/html/air/airport-information.html,DAL,"Dallas (Love Field), TX - DAL","Domestic
120 Minutes
International
120 Minutes; Domestic; 120 Minutes; International; 120 Minutes","Main Terminal; Gates A: 1-10,12,14-20",yes,yes,yes
https://www.southwest.com/html/air/airport-information.html,DEN,"Denver, CO - DEN","Domestic
120 Minutes
International
180 Minutes; Domestic; 120 Minutes; International; 180 Minutes","Concourse C; Gates C: 23-37,40-47,49,51",yes,yes,yes
https://www.southwest.com/html/air/airport-information.html,DSM,"Des Moines, IA - DSM","Domestic
90 Minutes
International
90 Minutes; Domestic; 90 Minutes; International; 90 Minutes",Terminal A; Gate A3,yes,No,No
https://www.southwest.com/html/air/airport-information.html,DTW,"Detroit, MI - DTW","Domestic
120 Minutes
International
120 Minutes; Domestic; 120 Minutes; International; 120 Minutes","North Terminal; Gates D:19-21,23",yes,yes,yes
https://www.southwest.com/html/air/airport-information.html,ELP,"El Paso, TX - ELP","Domestic
90 Minutes
International
90 Minutes; Domestic; 90 Minutes; International; 90 Minutes",Main Terminal; Gates B:3-6,No,yes,No
https://www.southwest.com/html/air/airport-information.html,FNT,"Flint, MI - FNT","Domestic
90 Minutes
International
90 Minutes; Domestic; 90 Minutes; International; 90 Minutes","Main Terminal; Gates 8,9",No,yes,No
https://www.southwest.com/html/air/airport-information.html,FLL,"Ft. Lauderdale, FL - FLL","Domestic
60 Minutes
International
120 Minutes; Domestic; 60 Minutes; International; 120 Minutes","Terminal 1; Gates A: 2-7,; Gates B: 2,4-9",yes,yes,yes
https://www.southwest.com/html/air/airport-information.html,RSW,"Ft. Myers, FL - RSW","Domestic
120 Minutes
International
120 Minutes; Domestic; 120 Minutes; International; 120 Minutes","Terminal B; Gates B:2,4,6,8",yes,yes,No
https://www.southwest.com/html/air/airport-information.html,GCM,"Grand Cayman Islands, KY - GCM",180 minutes; 180 minutes,Main Terminal; Gate 8,No,No,No
https://www.southwest.com/html/air/airport-information.html,GRR,"Grand Rapids, MI - GRR","Domestic
60 Minutes
International
90 Minutes; Domestic; 60 Minutes; International; 90 Minutes",Concourse B; Gates B4,yes,No,No
