Table_1
url,Team,Team_link,Coach,Season_Hired,Current_W,Current_L,Current_T,Current_W%,Career_W,Career_L,Career_T,Career_W%,Accomplishments
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Arizona Cardinals,https://en.wikipedia.org/wiki/Arizona_Cardinals,Steve Wilks,2018,0,0,0,–,0,0,0,–,
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Atlanta Falcons,https://en.wikipedia.org/wiki/Atlanta_Falcons,Dan Quinn,2015,29,19,0,.604,29,19,0,.604,"1 NFC Championship
 1 NFC South Championship
 2 Playoff Berths"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Baltimore Ravens,https://en.wikipedia.org/wiki/Baltimore_Ravens,John Harbaugh,2008,94,66,0,.588,94,66,0,.588,"1 Super Bowl Championship
 1 AFC Championship
 2 AFC North Championships
 6 Playoff Berths"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Buffalo Bills,https://en.wikipedia.org/wiki/Buffalo_Bills,Sean McDermott,2017,9,7,0,.563,9,7,0,.563,1 Playoff Berth
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Carolina Panthers,https://en.wikipedia.org/wiki/Carolina_Panthers,Ron Rivera,2011,64,47,1,.576,64,47,1,.576,"1 NFC Championship
 3 NFC South Championships
 4 Playoff Berths
 2 AP Coach of the Year Awards"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Chicago Bears,https://en.wikipedia.org/wiki/Chicago_Bears,Matt Nagy,2018,0,0,0,–,0,0,0,–,
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Cincinnati Bengals,https://en.wikipedia.org/wiki/Cincinnati_Bengals,Marvin Lewis,2003,123,112,3,.523,123,112,3,.523,"4 AFC North Championships
 7 Playoff Berths
 1 AP Coach of the Year Award"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Cleveland Browns,https://en.wikipedia.org/wiki/Cleveland_Browns,Hue Jackson,2016,1,31,0,.031,9,39,0,.188,
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Dallas Cowboys,https://en.wikipedia.org/wiki/Dallas_Cowboys,Jason Garrett,2010,66,52,0,.559,66,52,0,.559,"2 NFC East Championships
 2 Playoff Berths
 1 AP Coach of the Year Award"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Denver Broncos,https://en.wikipedia.org/wiki/Denver_Broncos,Vance Joseph,2017,5,11,0,.313,5,11,0,.313,
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Detroit Lions,https://en.wikipedia.org/wiki/Detroit_Lions,Matt Patricia,2018,0,0,0,–,0,0,0,–,
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Green Bay Packers,https://en.wikipedia.org/wiki/Green_Bay_Packers,Mike McCarthy,2006,121,70,1,.633,121,70,1,.633,"1 Super Bowl Championship
 1 NFC Championship
 6 NFC North Championships
 9 Playoff Berths"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Houston Texans,https://en.wikipedia.org/wiki/Houston_Texans,Bill O'Brien,2014,31,33,0,.484,31,33,0,.484,"2 AFC South Championships
 2 Playoff Berths"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Indianapolis Colts,https://en.wikipedia.org/wiki/Indianapolis_Colts,Frank Reich,2018,0,0,0,–,0,0,0,–,
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Jacksonville Jaguars,https://en.wikipedia.org/wiki/Jacksonville_Jaguars,Doug Marrone,2016,11,7,0,.611,26,24,0,.520,"1 AFC South Championship
 1 Playoff Berth"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Kansas City Chiefs,https://en.wikipedia.org/wiki/Kansas_City_Chiefs,Andy Reid,2013,53,27,0,.663,183,120,1,.604,"2 AFC West Championships
 4 Playoff Berths"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Los Angeles Chargers,https://en.wikipedia.org/wiki/Los_Angeles_Chargers,Anthony Lynn,2017,9,7,0,.563,9,8,0,.529,
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Los Angeles Rams,https://en.wikipedia.org/wiki/Los_Angeles_Rams,Sean McVay,2017,11,5,0,.688,11,5,0,.688,"1 NFC West Championship
 1 Playoff Berth
 1 AP Coach of the Year Award"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Miami Dolphins,https://en.wikipedia.org/wiki/Miami_Dolphins,Adam Gase,2016,16,16,0,.500,16,16,0,.500,1 Playoff Berth
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Minnesota Vikings,https://en.wikipedia.org/wiki/Minnesota_Vikings,Mike Zimmer,2014,39,25,0,.609,39,25,0,.609,"2 NFC North Championships
 2 Playoff Berths"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,New England Patriots,https://en.wikipedia.org/wiki/New_England_Patriots,Bill Belichick,2000,214,74,0,.743,250,118,0,.679,"5 Super Bowl Championships
 8 AFC Championships
 15 AFC East Championships
 15 Playoff Berths
 3 AP Coach of the Year Awards"
