Table_1
url,No._overall,No._in_season,Title,Directed_by,Written_by,Original_release_date,Description
https://en.wikipedia.org/wiki/Jessica_Jones_(season_2),14,1,"""AKA Start at the Beginning""",Anna Foerster,Melissa Rosenberg,"March 8, 2018","Super-powered private investigator Jessica Jones has become known as a vigilante hero around New York City since she killed her tormentor Kilgrave. Trish Walker, Jones's best friend and adopted sister, attempts to convince Jones to investigate her past and IGH, the company that gave her abilities, but Jones is not interested. Walker is dealing with declining ratings for her radio show Trish Talk, and sees her ex-boyfriend Will Simpson—who was also experimented on by IGH—following her. Pryce Cheng, another investigator, seeks to absorb Jones into his company at the request of lawyer Jeri Hogarth. When Jones attacks and injures Cheng, he plans to sue her with Hogarth, who is already facing a lawsuit from her former assistant and lover. Jones is approached by Robert Coleman, who also calls himself ""Whizzer"" and was given superspeed by IGH. When he is killed in an apparent construction accident, Jones traces his medication to an abandoned building which she remembers being taken to and experimented on."
https://en.wikipedia.org/wiki/Jessica_Jones_(season_2),15,2,"""AKA Freak Accident""",Minkie Spiro,Aïda Mashaka Croal,"March 8, 2018","Jones goes to the home of Miklos Kozlov, the IGH doctor who had experimented on Simpson. She finds a shiva for Kozlov, who has died in a ""freak accident"". One of Kozlov's army patients believes that Simpson is behind this, and Jones suspects that he also killed Coleman. Walker asks Malcolm Ducasse, Jones's neighbor and work partner, to help her rather than further involve the reluctant Jones. Walker confronts Maximilian Tatum, a director, about the sexual relationship they had when she was a child actress working for him, threatening to publicly reveal this unless he helps her get access to records at a hospital he has influence over. After Tatum refuses, Walker runs into Simpson. Jones also arrives, having tracked Walker down when she did not answer her phone. Simpson claims that someone else who was experimented on by IGH has killed Kozlov and Coleman, and that he is just there to protect Walker since she was noticed investigating IGH. This other person soon appears and kills Simpson while Jones gets Walker to safety."
https://en.wikipedia.org/wiki/Jessica_Jones_(season_2),16,3,"""AKA Sole Survivor""",Mairzee Almas,Lisa Randolph,"March 8, 2018","Hogarth is diagnosed with ALS, and her law-firm partners Steven Benowitz and Linda Chou plan to buy her out based on a clause in their contracts. Jones agrees to investigate the other partners to find blackmail material for Hogarth. Jones receives an eviction notice from her building's new superintendent Oscar Arocho, who fears Jones's abilities. She also discovers the name Leslie Hansen in the abandoned IGH building. Hansen was a doctor at the hospital where Jones was taken following the accident that killed her family. Jones and Walker find Hansen's apartment empty, and a charred human head in the basement. Walker uses her radio show to ask the public for information on Hansen, and receives a call from a woman claiming to be Hansen. Jones meets with her, and learns that she died after the accident but was brought back to life by IGH; the superpowers were a side-effect. Jones angers the woman who escapes using abilities similar to Jones'. DNA analysis shows that the charred head belongs to the real Leslie Hansen."
https://en.wikipedia.org/wiki/Jessica_Jones_(season_2),17,4,"""AKA God Help the Hobo""",Deborah Chow,Jack Kenny,"March 8, 2018","Hogarth looks into ways to painlessly end her life, which her doctor does not support. Cheng fires Hogarth for no longer prioritizing him and his lawsuit, and also offers Ducasse a job at his company; Ducasse turns down the role, and Jones promises to work with him better. Jones and Walker try to find out who the mysterious woman posing as Hansen was, and Jones scares Tatum into getting the IGH files from the hospital. In addition to Jones and Coleman, there is a file on Inez Green. They find her living on the streets, where she explains that she was a nurse at the hospital who was seriously injured by the mysterious woman. Jones and Walker promise to keep her safe. Cheng sends one of his men to steal all of Jones's research from her office, hoping to find something to use against her. The man is attacked by the mysterious woman, who tears him apart. When Jones arrives, she is arrested for the murder. Walker tries to help her using an IGH performance enhancer she took from Simpson, but is also arrested. Ducasse takes Green to safety."
https://en.wikipedia.org/wiki/Jessica_Jones_(season_2),18,5,"""AKA The Octopus""",Millicent Shelton,Jamie King,"March 8, 2018","Jones spends a day at the police station before Hogarth convinces her to tell the truth. Detective Eddy Costa believes Jones, and releases her with the promise that she will keep Costa informed of her investigation. Walker, bailed out by her mother, struggles with after-effects of using the IGH drug. Her new boyfriend Griffin Sinclair asks her to marry him, but Walker turns him down. She takes the IGH drug again. Ducasse takes Green to Hogarth, who agrees to protect her. Hogarth asks Green about IGH's experiments. Jones meets with David Kawecki, an inmate at a mental hospital serving time for the murder of Green's fellow nurse, who was actually killed by the mysterious woman. Jones learns of a shared interest in octopi that Kawecki has with an IGH doctor, and visits the aquarium. She recognizes the doctor, Karl Malus, in a new memory from after the accident. He meets with the mysterious woman, who upon discovering Jones surveilling them, smashes the glass enclosure of an aquarium in order to create a commotion to cover their escape."
https://en.wikipedia.org/wiki/Jessica_Jones_(season_2),19,6,"""AKA Facetime""",Jet Wilkinson,Raelle Tucker,"March 8, 2018","Walker becomes addicted to the IGH drug, and starts looking for criminals to attack. Security footage from outside the aquarium shows Malus drugging the woman and forcing her to leave with him, despite the pair appearing to be a loving couple before. Jones sends Ducasse to his old university—where he was suspended for his previous drug habit—to investigate Malus; they learn of Justis Ambrose, who attended university with Malus and appears to have been paying for all his personal expenses for years. Jones confronts Ambrose, who explains that his son Eric was born with a fatal genetic defect which Malus cured with his experimental treatments. Eric appears to have no special abilities, and Jones threatens him to gain Malus' location. Green realizes that Hogarth has ALS, and tells her that there was an IGH patient that could heal people by touching them, and he saved her life after the woman had attacked her. Jones goes to the location, where she finds Malus and the woman living together. The latter claims to be Jones's mother."
https://en.wikipedia.org/wiki/Jessica_Jones_(season_2),20,7,"""AKA I Want Your Cray Cray""",Jennifer Getzinger,Hilly Hicks Jr.,"March 8, 2018","Years earlier, after Brian Jones and his son Phillip are killed in an accident, his wife Alisa and daughter Jessica are rushed to hospital. Dr. Leslie Hansen secretly takes them to IGH. Jessica is saved and returned to hospital in 20 days, but Alisa's injuries are severe and her treatments take years, altering her looks and causing increased strength and extreme mood swings. Jessica is adopted by the Walkers, but grows away from her foster family over time especially after her adopted sister Trish becomes a drug addict at the beginning of her pop star career. Intent on seeing Jessica, Alisa escapes IGH by killing a nurse and severely injuring Green. She finds Jessica living with a new boyfriend, Stirling Adams, but sees him apparently attempt to exploit her and kills him in a fit of rage. Returning to IGH, Malus promises Alisa that he will cure her of the side effects. Adams' death leads to Jessica re-connecting with Trish, helping her become sober. Now, Jessica refuses to forgive Alisa and attacks her; Malus renders Jessica unconscious with a sedative."
https://en.wikipedia.org/wiki/Jessica_Jones_(season_2),21,8,"""AKA Ain't We Got Fun""",Zetna Fuentes,Gabe Fonseca,"March 8, 2018","Trish sleeps with Ducasse, and he notices that she has become addicted to the IGH drug. When she refuses to admit this, he leaves and decides to continue Jessica's investigation into Hogarth's partners. He discovers that Benowitz is secretly gay, and frequents a gay bar unbeknownst to his wife. Ducasse tells Benowitz that Chou had hired him, and Benowitz gives Ducasse blackmail material that he has on her. Outside of the gay bar, Ducasse is attacked by homophobic thugs. Trish rescues him, and gives him some of the IGH drug to help him heal, but it is too much for Ducasse and he runs off. Hogarth visits Shane Ryback, the man who can heal people with his hands. He is in prison, but she takes him on as a client. Jessica calls the police to Malus' house, and he flees. Alisa decides to stay with Jessica and hopes to prove that she is the same person who raised Jessica, despite looking different and having extreme mood swings. They go to Jessica's apartment, where they are shot at from outside. Jessica is hit, enraging Alisa."
https://en.wikipedia.org/wiki/Jessica_Jones_(season_2),22,9,"""AKA Shark in the Bathtub, Monster in the Bed""",Rosemary Rodriguez,Jenny Klein,"March 8, 2018","Wanting revenge for the death of his man, Cheng tries to kill Alisa. Shooting at her from across the street, he only hits Jessica. Alisa races to find and kill Cheng, but Jessica is able to render him unconscious first, and convinces Alisa to find a solution other than murder. Ryback is released from prison, and attempts to heal Hogarth, but cannot promise that it will work. During a live broadcast of her radio show, Trish, under the influence of the IGH drug, rails against the superficiality of her show's programming and quits. She is offered a desirable job on television, but realizes that she has run out of the drug. Arocho, whose relationship with Jessica has become less hostile and more romantic, comes to Jessica when his ex-wife kidnaps their son Vido. Jessica and Alisa race to save Vido, using their abilities for good. Alisa sees the potential of a life with Jessica doing good like this, but still wants to protect Jessica by killing Cheng and running away. Jessica frees Cheng, and when Alisa gives chase she is confronted by police, and surrenders to them."
https://en.wikipedia.org/wiki/Jessica_Jones_(season_2),23,10,"""AKA Pork Chop""",Neasa Hardiman; Neasa Hardiman,Aïda Mashaka Croal,"March 8, 2018","Hogarth arranges a plea deal for Alisa, where she can avoid the Raft, a superhuman prison, if she gives up Malus. Alisa agrees when Jessica promises to keep Malus safe. Trish struggles with withdrawals during her television audition, where she overhears that the super-powered killer has been caught. Jessica explains everything to Trish and Ducasse, but tells them to stay away. She finds Malus and convinces him to go to a country with no extradition so Alisa can talk about him without fear of him being caught. He first waits for a new passport provided by Arocho, and also tells Jessica that he never treated Ryback. Hogarth does not believe Jessica when she says this, but arrives home to find Green and Ryback have robbed her (and thus realizes she was not cured). Trish and Ducasse decide to track down Malus themselves, while Jessica discovers that Alisa is being tormented by one of her guards, Dale Holiday. Investigating him, Jessica finds evidence that he has murdered inmates before. He attacks her, and she accidentally kills him in self-defense."
