Table_1
url,State,Portrait,Portrait_alt,Governor,Party,Prior_public_experience,Inaugration,End_of_term
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Alabama,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Portrait-Governor-Kay-Ivey_%28cropped%29.jpg/100px-Portrait-Governor-Kay-Ivey_%28cropped%29.jpg,Portrait-Governor-Kay-Ivey (cropped).jpg,Kay Ivey,Republican,"Lieutenant Governor, Treasurer","April 10, 2017",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Alaska,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Bill_Walker.jpg/100px-Bill_Walker.jpg,Bill Walker.jpg,Bill Walker,Independent,"Mayor of Valdez, Valdez City Council","December 1, 2014",2018
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Arizona,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Doug_Ducey_by_Gage_Skidmore_2.jpg/100px-Doug_Ducey_by_Gage_Skidmore_2.jpg,Doug Ducey by Gage Skidmore 2.jpg,Doug Ducey,Republican,Treasurer,"January 5, 2015",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Arkansas,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Asa_Hutchinson.jpg/100px-Asa_Hutchinson.jpg,Asa Hutchinson.jpg,Asa Hutchinson,Republican,"Under Secretary of Homeland Security for Border & Transportation Security,
 Administrator of the Drug Enforcement Administration, U.S. House, U.S. Attorney","January 13, 2015",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,California,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Edmund_G_Brown_Jr_%28cropped%29.jpg/100px-Edmund_G_Brown_Jr_%28cropped%29.jpg,Edmund G Brown Jr (cropped).jpg,Jerry Brown,Democratic,"Governor (1975–1983), Attorney General,
 Mayor of Oakland, Secretary of State","January 3, 2011",2019 (term limits)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Colorado,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Governor_John_Hickenlooper_2015.jpg/100px-Governor_John_Hickenlooper_2015.jpg,Governor John Hickenlooper 2015.jpg,John Hickenlooper,Democratic,Mayor of Denver,"January 11, 2011",2019 (term limits)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Connecticut,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Dannel_Malloy_2016.jpg/100px-Dannel_Malloy_2016.jpg,Dannel Malloy 2016.jpg,Dannel Malloy,Democratic,Mayor of Stamford,"January 5, 2011",2019 (retiring)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Delaware,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/John_C._Carney_Jr._official_portrait_112th_Congress.jpg/100px-John_C._Carney_Jr._official_portrait_112th_Congress.jpg,John C. Carney Jr. official portrait 112th Congress.jpg,John Carney,Democratic,"U.S. House, Lieutenant Governor of Delaware","January 17, 2017",2021
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Florida,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Rick_Scott_%28cropped%29.jpg/100px-Rick_Scott_%28cropped%29.jpg,Rick Scott (cropped).jpg,Rick Scott,Republican,No prior public experience,"January 4, 2011",2019 (term limits)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Georgia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Nathan_Deal%2C_official_110th_Congress_photo.jpg/100px-Nathan_Deal%2C_official_110th_Congress_photo.jpg,"Nathan Deal, official 110th Congress photo.jpg",Nathan Deal,Republican,"U.S. House, Georgia Senate","January 10, 2011",2019 (term limits)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Hawaii,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Governor_David_Ige.jpg/100px-Governor_David_Ige.jpg,Governor David Ige.jpg,David Ige,Democratic,"Hawaii Senate, Hawaii House","December 1, 2014",2018
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Idaho,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Butchotter.jpg/100px-Butchotter.jpg,Butchotter.jpg,Butch Otter,Republican,"U.S. House, Lieutenant Governor, Idaho House","January 1, 2007",2019 (retiring)
