Table_1
url,Color_Name,Hex_Code,Decimal_Code
https://www.ascii-code.com/html-color-names.php,white,#FFFFFF,"255,255,255"
https://www.ascii-code.com/html-color-names.php,gray,#808080,"128,128,128"
https://www.ascii-code.com/html-color-names.php,silver,#C0C0C0,"192,192,192"
https://www.ascii-code.com/html-color-names.php,black,#000000,"0,0,0"
https://www.ascii-code.com/html-color-names.php,maroon,#800000,"128,0,0"
https://www.ascii-code.com/html-color-names.php,red,#FF0000,"255,0,0"
https://www.ascii-code.com/html-color-names.php,purple,#800080,"128,0,128"
https://www.ascii-code.com/html-color-names.php,fuchsia,#FF00FF,"255,0,255"
https://www.ascii-code.com/html-color-names.php,green,#008000,"0,128,0"
https://www.ascii-code.com/html-color-names.php,lime,#00FF00,"0,255,0"
https://www.ascii-code.com/html-color-names.php,olive,#808000,"128,128,0"
https://www.ascii-code.com/html-color-names.php,yellow,#FFFF00,"255,255,0"
https://www.ascii-code.com/html-color-names.php,navy,#000080,"0,0,128"
https://www.ascii-code.com/html-color-names.php,blue,#0000FF,"0,0,255"
https://www.ascii-code.com/html-color-names.php,teal,#008080,"0,128,128"
https://www.ascii-code.com/html-color-names.php,aqua,#00FFFF,"0,255,255"
https://www.ascii-code.com/html-color-names.php,orange,#FFA500,"255,165,0"
