Table_1
url,State,State_link,Abbreviation,Statehood_Year,Capital,Capital_Since,Area_(sq._mi),Population:_Municipal,Population:_Metropolitan,Population:_Rank_in_State,Population:_Rank_in_US,Notes
https://en.wikipedia.org/wiki/List_of_capitals_in_the_United_States,Alabama,https://en.wikipedia.org/wiki/Alabama,AL,1819,Montgomery,1846,155.4,"205,764","374,536",2,115,Birmingham is the state's largest city.
https://en.wikipedia.org/wiki/List_of_capitals_in_the_United_States,Alaska,https://en.wikipedia.org/wiki/Alaska,AK,1959,Juneau,1906,2716.7,"31,275",,3,,Largest capital by municipal land area. Anchorage is the state's largest city.
https://en.wikipedia.org/wiki/List_of_capitals_in_the_United_States,Arizona,https://en.wikipedia.org/wiki/Arizona,AZ,1912,Phoenix,1889,474.9,"1,445,632","4,192,887",1,5,Most populous U.S. state capital and the only capital with more than 1 million citizens.
https://en.wikipedia.org/wiki/List_of_capitals_in_the_United_States,Arkansas,https://en.wikipedia.org/wiki/Arkansas,AR,1836,Little Rock,1821,116.2,"193,524","877,091",1,117,
https://en.wikipedia.org/wiki/List_of_capitals_in_the_United_States,California,https://en.wikipedia.org/wiki/California,CA,1850,Sacramento,1854,97.2,"466,488","2,527,123",6,35,Supreme Court of California is headquartered in San Francisco. The state's largest city is Los Angeles.
https://en.wikipedia.org/wiki/List_of_capitals_in_the_United_States,Colorado,https://en.wikipedia.org/wiki/Colorado,CO,1876,Denver,1867,153.4,"600,158","2,552,195",1,19,Denver was called Denver City until 1882.
https://en.wikipedia.org/wiki/List_of_capitals_in_the_United_States,Connecticut,https://en.wikipedia.org/wiki/Connecticut,CT,1788,Hartford,1875,17.3,"124,775","1,212,381",3,221,"Bridgeport is the state's largest city. Hartford, however, is the state's largest Metro area. Hartford was also formerly the state's largest city."
https://en.wikipedia.org/wiki/List_of_capitals_in_the_United_States,Delaware,https://en.wikipedia.org/wiki/Delaware,DE,1787,Dover,1777,22.4,"36,047","162,310",2,,Longest-serving capital in terms of statehood. Wilmington is the state's largest city.
https://en.wikipedia.org/wiki/List_of_capitals_in_the_United_States,Florida,https://en.wikipedia.org/wiki/Florida,FL,1845,Tallahassee,1824,95.7,"190,894","379,627",7,126,Jacksonville is the largest city. Miami is the largest metropolitan area.
https://en.wikipedia.org/wiki/List_of_capitals_in_the_United_States,Georgia,https://en.wikipedia.org/wiki/Georgia_(U.S._state),GA,1788,Atlanta,1868,131.7,"420,003","5,789,700",1,38,State capital with the most populous metro area in the U.S.
