The_Life_Span_of_Animals
url,Animal,Life_Expectancy
http://www.sonic.net/~petdoc/lifespan.htm,African Grey Parrot,73
http://www.sonic.net/~petdoc/lifespan.htm,Amazon Parrot,104
http://www.sonic.net/~petdoc/lifespan.htm,American Alligator,56
http://www.sonic.net/~petdoc/lifespan.htm,American Box Turtle,123
http://www.sonic.net/~petdoc/lifespan.htm,American Newt,3
http://www.sonic.net/~petdoc/lifespan.htm,American Toad,15
http://www.sonic.net/~petdoc/lifespan.htm,Angleworm,15
http://www.sonic.net/~petdoc/lifespan.htm,Anole,3
http://www.sonic.net/~petdoc/lifespan.htm,Ant --Queen,3
http://www.sonic.net/~petdoc/lifespan.htm,Ant -- Worker,1/2
http://www.sonic.net/~petdoc/lifespan.htm,Banksian Cockatoo,29.3
http://www.sonic.net/~petdoc/lifespan.htm,Bat,24
http://www.sonic.net/~petdoc/lifespan.htm,Bear,40
http://www.sonic.net/~petdoc/lifespan.htm,Beaver,20
http://www.sonic.net/~petdoc/lifespan.htm,Bee -- Queen,5
http://www.sonic.net/~petdoc/lifespan.htm,Bee -- Worker,1
http://www.sonic.net/~petdoc/lifespan.htm,Binturong,18
http://www.sonic.net/~petdoc/lifespan.htm,Blackbird(redwinged),15.8
http://www.sonic.net/~petdoc/lifespan.htm,Boa Constrictor,23
http://www.sonic.net/~petdoc/lifespan.htm,Budgerigar,29
http://www.sonic.net/~petdoc/lifespan.htm,Bull,28
http://www.sonic.net/~petdoc/lifespan.htm,Bull Frog,16
http://www.sonic.net/~petdoc/lifespan.htm,Bull Snake,18
http://www.sonic.net/~petdoc/lifespan.htm,Caiman,28
http://www.sonic.net/~petdoc/lifespan.htm,Camel,50
http://www.sonic.net/~petdoc/lifespan.htm,Canada Goose,24.3
http://www.sonic.net/~petdoc/lifespan.htm,Canary,24
http://www.sonic.net/~petdoc/lifespan.htm,Canvasback duck,22.4
http://www.sonic.net/~petdoc/lifespan.htm,Capybara,12
http://www.sonic.net/~petdoc/lifespan.htm,Carp,100
http://www.sonic.net/~petdoc/lifespan.htm,Cat,25
http://www.sonic.net/~petdoc/lifespan.htm,Chicken,14
http://www.sonic.net/~petdoc/lifespan.htm,Chinchilla,20
http://www.sonic.net/~petdoc/lifespan.htm,Civet,13
http://www.sonic.net/~petdoc/lifespan.htm,Cockatiel,35
http://www.sonic.net/~petdoc/lifespan.htm,Common Goldeneye,14.3
http://www.sonic.net/~petdoc/lifespan.htm,Congo Eel,27
http://www.sonic.net/~petdoc/lifespan.htm,Conure,22.5
http://www.sonic.net/~petdoc/lifespan.htm,Cottonmouth Mocassin,21
http://www.sonic.net/~petdoc/lifespan.htm,Cow,22
http://www.sonic.net/~petdoc/lifespan.htm,Crocodile,45
http://www.sonic.net/~petdoc/lifespan.htm,Deer,26.8
http://www.sonic.net/~petdoc/lifespan.htm,Dog,22
http://www.sonic.net/~petdoc/lifespan.htm,Domestic Pigeon,18
http://www.sonic.net/~petdoc/lifespan.htm,Donkey,45
http://www.sonic.net/~petdoc/lifespan.htm,Eclectus Parrot,30
http://www.sonic.net/~petdoc/lifespan.htm,Egyptian Goose,25.5
http://www.sonic.net/~petdoc/lifespan.htm,Elephant,70
http://www.sonic.net/~petdoc/lifespan.htm,Fence Lizard,4
http://www.sonic.net/~petdoc/lifespan.htm,Ferret,12
http://www.sonic.net/~petdoc/lifespan.htm,Flying Squirrel,14
http://www.sonic.net/~petdoc/lifespan.htm,Fox,14
http://www.sonic.net/~petdoc/lifespan.htm,Galah,27.2
http://www.sonic.net/~petdoc/lifespan.htm,Galapagos Land Tortoise,193
http://www.sonic.net/~petdoc/lifespan.htm,Gerbil,5
http://www.sonic.net/~petdoc/lifespan.htm,Goat,15
http://www.sonic.net/~petdoc/lifespan.htm,Golden Hamster,4
http://www.sonic.net/~petdoc/lifespan.htm,Gouldian finch,14
http://www.sonic.net/~petdoc/lifespan.htm,Grey Cheeked Parrot,15
http://www.sonic.net/~petdoc/lifespan.htm,Grey Squirrel,20
http://www.sonic.net/~petdoc/lifespan.htm,Grouse (blue),14
http://www.sonic.net/~petdoc/lifespan.htm,Guinea Pig,8
http://www.sonic.net/~petdoc/lifespan.htm,Hare,10
http://www.sonic.net/~petdoc/lifespan.htm,Hellbender,29
http://www.sonic.net/~petdoc/lifespan.htm,Hippopotamus,45
http://www.sonic.net/~petdoc/lifespan.htm,Hog,18
http://www.sonic.net/~petdoc/lifespan.htm,Horse,40
http://www.sonic.net/~petdoc/lifespan.htm,Kangaroo,9
http://www.sonic.net/~petdoc/lifespan.htm,Koala,8
http://www.sonic.net/~petdoc/lifespan.htm,Leopard Frog,6
http://www.sonic.net/~petdoc/lifespan.htm,Lion,35
http://www.sonic.net/~petdoc/lifespan.htm,Macaw,64
http://www.sonic.net/~petdoc/lifespan.htm,Mallard,29
http://www.sonic.net/~petdoc/lifespan.htm,Mongoose,12
http://www.sonic.net/~petdoc/lifespan.htm,Mouse,4
http://www.sonic.net/~petdoc/lifespan.htm,Muscrat,6
http://www.sonic.net/~petdoc/lifespan.htm,Mudpuppy,9
http://www.sonic.net/~petdoc/lifespan.htm,Mynah,25
http://www.sonic.net/~petdoc/lifespan.htm,Norwegian Rat,4
http://www.sonic.net/~petdoc/lifespan.htm,Nutria,15
http://www.sonic.net/~petdoc/lifespan.htm,Opossum,4
http://www.sonic.net/~petdoc/lifespan.htm,Ox,20
http://www.sonic.net/~petdoc/lifespan.htm,Painted Turtle,11
http://www.sonic.net/~petdoc/lifespan.htm,Pea Fowl,23.2
http://www.sonic.net/~petdoc/lifespan.htm,Pheasant,27
http://www.sonic.net/~petdoc/lifespan.htm,Pig -- wild,25
http://www.sonic.net/~petdoc/lifespan.htm,Pionus Parrot,40
http://www.sonic.net/~petdoc/lifespan.htm,Platypus,10
http://www.sonic.net/~petdoc/lifespan.htm,Porcupine,20
http://www.sonic.net/~petdoc/lifespan.htm,Prarie Dog,10
http://www.sonic.net/~petdoc/lifespan.htm,Quail (California),6.9
http://www.sonic.net/~petdoc/lifespan.htm,Rabbit,9
http://www.sonic.net/~petdoc/lifespan.htm,Rainbow Lorikeet,15
http://www.sonic.net/~petdoc/lifespan.htm,Rat Snake,23
http://www.sonic.net/~petdoc/lifespan.htm,Rattlesnake,22
http://www.sonic.net/~petdoc/lifespan.htm,Red Eared Turtle,30.5
http://www.sonic.net/~petdoc/lifespan.htm,Ring-necked Duck,20.4
http://www.sonic.net/~petdoc/lifespan.htm,Rhinoceros,40
http://www.sonic.net/~petdoc/lifespan.htm,Rosella,15.4
http://www.sonic.net/~petdoc/lifespan.htm,Sheep,15
http://www.sonic.net/~petdoc/lifespan.htm,Snapping Turtle,57
http://www.sonic.net/~petdoc/lifespan.htm,South African Clawed Toad,15
http://www.sonic.net/~petdoc/lifespan.htm,Sulphur Crested Cockatoo,80
http://www.sonic.net/~petdoc/lifespan.htm,Superb Parrot,36
http://www.sonic.net/~petdoc/lifespan.htm,Tapir,30
http://www.sonic.net/~petdoc/lifespan.htm,Tasmanian Tiger,7
http://www.sonic.net/~petdoc/lifespan.htm,Teal,22.3
http://www.sonic.net/~petdoc/lifespan.htm,Tiger,22
http://www.sonic.net/~petdoc/lifespan.htm,Tiger Salamander,11
http://www.sonic.net/~petdoc/lifespan.htm,Toucan,20
http://www.sonic.net/~petdoc/lifespan.htm,Tree Frog,14
http://www.sonic.net/~petdoc/lifespan.htm,Trumpeter Swan,33
http://www.sonic.net/~petdoc/lifespan.htm,Wood Duck,22.5
http://www.sonic.net/~petdoc/lifespan.htm,Wombat,15
http://www.sonic.net/~petdoc/lifespan.htm,Wolf,18
http://www.sonic.net/~petdoc/lifespan.htm,Woodchuck,15
http://www.sonic.net/~petdoc/lifespan.htm,Zebra Finch,12
