Table_1
url,Meters,Feet,Feet_and_Inches
https://www.thecalculatorsite.com/articles/units/how-many-feet-in-a-metre.php,1,3.2808 ft,"3 ft, 3.37 in"
https://www.thecalculatorsite.com/articles/units/how-many-feet-in-a-metre.php,2,6.5617 ft,"6 ft, 6.74 in"
https://www.thecalculatorsite.com/articles/units/how-many-feet-in-a-metre.php,3,9.8425 ft,"9 ft, 10.11 in"
https://www.thecalculatorsite.com/articles/units/how-many-feet-in-a-metre.php,4,13.1234 ft,"13 ft, 1.48 in"
https://www.thecalculatorsite.com/articles/units/how-many-feet-in-a-metre.php,5,16.4042 ft,"16 ft, 4.85 in"
https://www.thecalculatorsite.com/articles/units/how-many-feet-in-a-metre.php,6,19.685 ft,"19 ft, 8.22 in"
https://www.thecalculatorsite.com/articles/units/how-many-feet-in-a-metre.php,7,22.9659 ft,"22 ft, 11.59 in"
https://www.thecalculatorsite.com/articles/units/how-many-feet-in-a-metre.php,8,26.2467 ft,"26 ft, 2.96 in"
https://www.thecalculatorsite.com/articles/units/how-many-feet-in-a-metre.php,9,29.5276 ft,"29 ft, 6.33 in"
https://www.thecalculatorsite.com/articles/units/how-many-feet-in-a-metre.php,10,32.8084 ft,"32 ft, 9.7 in"
