Groundhog_Day_Release_Info
url,Country,Release_date,Notes
https://www.imdb.com/title/tt0107048/releaseinfo,USA,4 February 1993,"(Westwood, California) (premiere)"
https://www.imdb.com/title/tt0107048/releaseinfo,USA,12 February 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Argentina,4 March 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Sweden,2 April 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Australia,8 April 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Italy,8 April 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Germany,29 April 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Austria,30 April 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Finland,30 April 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Norway,6 May 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,UK,7 May 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Ireland,7 May 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Denmark,18 June 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Spain,25 June 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Greece,25 June 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,France,28 July 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Czech Republic,6 August 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Hungary,27 August 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Uruguay,3 September 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Portugal,10 September 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Brazil,17 September 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Japan,23 October 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,South Korea,4 December 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Hong Kong,9 December 1993,
https://www.imdb.com/title/tt0107048/releaseinfo,Estonia,28 January 1994,
https://www.imdb.com/title/tt0107048/releaseinfo,Netherlands,31 March 1994,
https://www.imdb.com/title/tt0107048/releaseinfo,UK,8 November 2014,
