Computer_Science:_Abbreviations
url,Abbreviation,Full_Name
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,A/D,Analog-to-Digital
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,ABC,Atanasoff Berry Computer
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,ACM,Association for Computing Machinery
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,AI,Artificial Intelligence
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,ALGOL,Algorithic Language
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,ALU,Arithmetic Logic Unit
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,AMD,Advanced Micro Devices
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,APRANET,Advanced Research Project Agency Network
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,ASCII,American Standard Code for Information Interchange
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,BASIC,Beginners All-purpose Symbolic Instruction Code
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,BCD,Binary Coded Decimal
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,BIOS,Basic Inpute Output System
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,BIPS,Billions of Instructions Per Second
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,BPI,Bytes Per Inch
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,CAD,Computer Aided Design
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,CAE,Computer Aided Engineering
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,CAN,Campus Area Network
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,CASE,Computer Aided Software Engineering
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,CD,Compact Disk
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,CDC,Control Data Corporation
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,CD-R,CD-Recordable
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,CD-ROM,Compact Disk Read Only Memory
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,CD-RW,CD Read/Write
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,CL,Command Language
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,CLI,Command Line Interface
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,COBOL,Common Business Oriented
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,CODASYL,Conference On Data Systems
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,CPU,Central Processing Unit
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,CRT,Cathode Ray Tube
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,D/A,Digital-to-Analog
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,DAT,Digital Audio Tape
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,DBMS,Data Base Management System
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,DBS,Demand Based Switching
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,DDL,Data Definition Language
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,DDS,Digital Data Storage
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,DEC,Digital Equipment Corporation
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,DMA,Direct Memory Access
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,DNA,Digital Network Architecture
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,DPI,Dots Per Inch
