+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| url     | Analyti | Analyti | Analyti | Indexed | Biz_Nam | Biz_Nam | Off_Scr | Off_Scr | Review |
|         | cs_Imag | cs_Imag | cs_Imag | _Biz    | e_Click | e_Click | een     | een_alt | _Count |
|         | e       | e_alt   | e_link  |         |         | _link   |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | https:/ | Mon Ami | https:/ | 1       | Mon Ami | https:/ | https:/ | 4.0     | 7735 r |
| /www.ye | /s3-med | Gabi    | /www.ye |         | Gabi    | /www.ye | /s3-med | star    | eviews |
| lp.com/ | ia3.fl. |         | lp.com/ |         |         | lp.com/ | ia2.fl. | rating  |        |
| search? | yelpcdn |         | biz/mon |         |         | biz/mon | yelpcdn |         |        |
| find_de | .com/bp |         | -ami-   |         |         | -ami-   | .com/as |         |        |
| sc=&fin | hoto/8Q |         | gabi-   |         |         | gabi-   | sets/sr |         |        |
| d_loc=L | ULBxrkg |         | las-    |         |         | las-    | v0/yelp |         |        |
| as+Vega | i8d_ieE |         | vegas-2 |         |         | vegas-2 | _design |         |        |
| s%2C+NV | awGJAQ/ |         |         |         |         |         | _web/9b |         |        |
| &ns=1   | 90s.jpg |         |         |         |         |         | 34e39cc |         |        |
|         |         |         |         |         |         |         | beb/ass |         |        |
|         |         |         |         |         |         |         | ets/img |         |        |
|         |         |         |         |         |         |         | /stars/ |         |        |
|         |         |         |         |         |         |         | stars.p |         |        |
|         |         |         |         |         |         |         | ng      |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | https:/ | Earl of | https:/ | 2       | Earl of | https:/ | https:/ | 4.5     | 4924 r |
| /www.ye | /s3-med | Sandwic | /www.ye |         | Sandwic | /www.ye | /s3-med | star    | eviews |
| lp.com/ | ia4.fl. | h       | lp.com/ |         | h       | lp.com/ | ia2.fl. | rating  |        |
| search? | yelpcdn |         | biz/ear |         |         | biz/ear | yelpcdn |         |        |
| find_de | .com/bp |         | l-of-sa |         |         | l-of-sa | .com/as |         |        |
| sc=&fin | hoto/z4 |         | ndwich- |         |         | ndwich- | sets/sr |         |        |
| d_loc=L | 44WzW6t |         | las-    |         |         | las-    | v0/yelp |         |        |
| as+Vega | 2Ve1vSP |         | vegas   |         |         | vegas   | _design |         |        |
