+-----------+------+-----------+-----------+-----------+----------+----------+----------+----------+
| url       | Rank | Rank_link | Poster    | Poster_al | Poster_l | Name     | Name_lin | Airing   |
|           |      |           |           | t         | ink      |          | k        |          |
+-----------+------+-----------+-----------+-----------+----------+----------+----------+----------+
| http://ww | 1    | http://ww | http://c- | Dancing   | http://w | Dancing  | http://w | Monday,  |
| w.tvguide |      | w.tvguide | 7npsfqifv | with the  | ww.tvgui | with the | ww.tvgui | May 7 at |
| .com/tvsh |      | .com/tvsh | t34x24tub | Stars     | de.com/t | Stars:   | de.com/t | 8:00 pm  |
| ows/      |      | ows/danci | ujdx2euwh |           | vshows/d | Athletes | vshows/d | | ABC    |
|           |      | ng-with-  | deox2eofu |           | ancing-  |          | ancing-  |          |
|           |      | the-stars | .g00.tvgu |           | with-    |          | with-    |          |
|           |      | /191470/  | ide.com/g |           | the-star |          | the-star |          |
|           |      |           | 00/3_c-7x |           | s/191470 |          | s/191470 |          |
|           |      |           | 78x78x78. |           | /        |          | /        |          |
|           |      |           | uwhvjef.d |           |          |          |          |          |
|           |      |           | pn_/c-7NP |           |          |          |          |          |
|           |      |           | SFQIFVT34 |           |          |          |          |          |
|           |      |           | x24iuuqx3 |           |          |          |          |          |
|           |      |           | ax2fx2ftu |           |          |          |          |          |
|           |      |           | bujd.uwhd |           |          |          |          |          |
|           |      |           | eo.ofux2f |           |          |          |          |          |
|           |      |           | gffex2f2x |           |          |          |          |          |
|           |      |           | 2f676x2fu |           |          |          |          |          |
|           |      |           | ivnctx2f2 |           |          |          |          |          |
|           |      |           | 29412676_ |           |          |          |          |          |
|           |      |           | 211y244.k |           |          |          |          |          |
|           |      |           | qhx3fj21d |           |          |          |          |          |
|           |      |           | .nbslx3dj |           |          |          |          |          |
|           |      |           | nbhf_$/$/ |           |          |          |          |          |
|           |      |           | $/$/$/$   |           |          |          |          |          |
+-----------+------+-----------+-----------+-----------+----------+----------+----------+----------+
| http://ww | 2    | http://ww | http://c- | 13        | http://w | 13       | http://w | Not      |
| w.tvguide |      | w.tvguide | 7npsfqifv | Reasons   | ww.tvgui | Reasons  | ww.tvgui | airing   |
| .com/tvsh |      | .com/tvsh | t34x24tub | Why       | de.com/t | Why      | de.com/t | in the   |
| ows/      |      | ows/13-re | ujdx2euwh |           | vshows/1 |          | vshows/1 | next 14  |
|           |      | asons-why | deox2eofu |           | 3-reason |          | 3-reason | days     |
|           |      | /1032508/ | .g00.tvgu |           | s-why/10 |          | s-why/10 |          |
|           |      |           | ide.com/g |           | 32508/   |          | 32508/   |          |
|           |      |           | 00/3_c-7x |           |          |          |          |          |
|           |      |           | 78x78x78. |           |          |          |          |          |
|           |      |           | uwhvjef.d |           |          |          |          |          |
|           |      |           | pn_/c-7NP |           |          |          |          |          |
|           |      |           | SFQIFVT34 |           |          |          |          |          |
|           |      |           | x24iuuqx3 |           |          |          |          |          |
|           |      |           | ax2fx2ftu |           |          |          |          |          |
|           |      |           | bujd.uwhd |           |          |          |          |          |
|           |      |           | eo.ofux2f |           |          |          |          |          |
|           |      |           | gffex2f2x |           |          |          |          |          |
|           |      |           | 2f64x2fui |           |          |          |          |          |
|           |      |           | vnctx2f22 |           |          |          |          |          |
|           |      |           | 8356164_2 |           |          |          |          |          |
|           |      |           | 11y244.kq |           |          |          |          |          |
|           |      |           | hx3fj21d. |           |          |          |          |          |
|           |      |           | nbslx3djn |           |          |          |          |          |
|           |      |           | bhf_$/$/$ |           |          |          |          |          |
|           |      |           | /$/$/$    |           |          |          |          |          |
+-----------+------+-----------+-----------+-----------+----------+----------+----------+----------+
| http://ww | 3    | http://ww | http://c- | Westworld | http://w | Westworl | http://w | Tuesday, |
| w.tvguide |      | w.tvguide | 7npsfqifv |           | ww.tvgui | d        | ww.tvgui | May 1 at |
| .com/tvsh |      | .com/tvsh | t34x24tub |           | de.com/t |          | de.com/t | 5:00 pm  |
| ows/      |      | ows/westw | ujdx2euwh |           | vshows/w |          | vshows/w | | HBO2   |
|           |      | orld/7241 | deox2eofu |           | estworld |          | estworld |          |
|           |      | 10/       | .g00.tvgu |           | /724110/ |          | /724110/ |          |
|           |      |           | ide.com/g |           |          |          |          |          |
|           |      |           | 00/3_c-7x |           |          |          |          |          |
|           |      |           | 78x78x78. |           |          |          |          |          |
|           |      |           | uwhvjef.d |           |          |          |          |          |
|           |      |           | pn_/c-7NP |           |          |          |          |          |
|           |      |           | SFQIFVT34 |           |          |          |          |          |
|           |      |           | x24iuuqx3 |           |          |          |          |          |
|           |      |           | ax2fx2ftu |           |          |          |          |          |
|           |      |           | bujd.uwhd |           |          |          |          |          |
|           |      |           | eo.ofux2f |           |          |          |          |          |
|           |      |           | gffex2f2x |           |          |          |          |          |
|           |      |           | 2f256x2fu |           |          |          |          |          |
|           |      |           | ivnctx2f2 |           |          |          |          |          |
|           |      |           | 29375256_ |           |          |          |          |          |
|           |      |           | 211y244.k |           |          |          |          |          |
|           |      |           | qhx3fj21d |           |          |          |          |          |
|           |      |           | .nbslx3dj |           |          |          |          |          |
|           |      |           | nbhf_$/$/ |           |          |          |          |          |
|           |      |           | $/$/$/$   |           |          |          |          |          |
+-----------+------+-----------+-----------+-----------+----------+----------+----------+----------+
| http://ww | 4    | http://ww | http://c- | Fear the  | http://w | Fear the | http://w | Friday,  |
| w.tvguide |      | w.tvguide | 7npsfqifv | Walking   | ww.tvgui | Walking  | ww.tvgui | May 4 at |
| .com/tvsh |      | .com/tvsh | t34x24tub | Dead      | de.com/t | Dead     | de.com/t | 11:00 pm |
| ows/      |      | ows/fear- | ujdx2euwh |           | vshows/f |          | vshows/f | | AMC    |
|           |      | the-      | deox2eofu |           | ear-the- |          | ear-the- |          |
|           |      | walking-d | .g00.tvgu |           | walking- |          | walking- |          |
|           |      | ead/78456 | ide.com/g |           | dead/784 |          | dead/784 |          |
|           |      | 6/        | 00/3_c-7x |           | 566/     |          | 566/     |          |
|           |      |           | 78x78x78. |           |          |          |          |          |
|           |      |           | uwhvjef.d |           |          |          |          |          |
|           |      |           | pn_/c-7NP |           |          |          |          |          |
|           |      |           | SFQIFVT34 |           |          |          |          |          |
|           |      |           | x24iuuqx3 |           |          |          |          |          |
|           |      |           | ax2fx2ftu |           |          |          |          |          |
|           |      |           | bujd.uwhd |           |          |          |          |          |
|           |      |           | eo.ofux2f |           |          |          |          |          |
|           |      |           | gffex2f2x |           |          |          |          |          |
|           |      |           | 2f029x2fu |           |          |          |          |          |
|           |      |           | ivnctx2f2 |           |          |          |          |          |
|           |      |           | 29340029_ |           |          |          |          |          |
|           |      |           | 211y244.k |           |          |          |          |          |
|           |      |           | qhx3fj21d |           |          |          |          |          |
|           |      |           | .nbslx3dj |           |          |          |          |          |
|           |      |           | nbhf_$/$/ |           |          |          |          |          |
|           |      |           | $/$/$/$   |           |          |          |          |          |
+-----------+------+-----------+-----------+-----------+----------+----------+----------+----------+
| http://ww | 5    | http://ww | http://c- | American  | http://w | American | http://w | Sunday,  |
| w.tvguide |      | w.tvguide | 7npsfqifv | Idol      | ww.tvgui | Idol     | ww.tvgui | May 6 at |
| .com/tvsh |      | .com/tvsh | t34x24tub |           | de.com/t |          | de.com/t | 8:00 pm  |
| ows/      |      | ows/ameri | ujdx2euwh |           | vshows/a |          | vshows/a | | ABC    |
|           |      | can-idol/ | deox2eofu |           | merican- |          | merican- |          |
|           |      | 1065124/  | .g00.tvgu |           | idol/106 |          | idol/106 |          |
|           |      |           | ide.com/g |           | 5124/    |          | 5124/    |          |
|           |      |           | 00/3_c-7x |           |          |          |          |          |
|           |      |           | 78x78x78. |           |          |          |          |          |
|           |      |           | uwhvjef.d |           |          |          |          |          |
|           |      |           | pn_/c-7NP |           |          |          |          |          |
|           |      |           | SFQIFVT34 |           |          |          |          |          |
|           |      |           | x24iuuqx3 |           |          |          |          |          |
|           |      |           | ax2fx2ftu |           |          |          |          |          |
|           |      |           | bujd.uwhd |           |          |          |          |          |
|           |      |           | eo.ofux2f |           |          |          |          |          |
|           |      |           | gffex2f2x |           |          |          |          |          |
|           |      |           | 2f486x2fu |           |          |          |          |          |
|           |      |           | ivnctx2f2 |           |          |          |          |          |
|           |      |           | 29257486_ |           |          |          |          |          |
|           |      |           | 211y244.k |           |          |          |          |          |
|           |      |           | qhx3fj21d |           |          |          |          |          |
|           |      |           | .nbslx3dj |           |          |          |          |          |
|           |      |           | nbhf_$/$/ |           |          |          |          |          |
|           |      |           | $/$/$/$   |           |          |          |          |          |
+-----------+------+-----------+-----------+-----------+----------+----------+----------+----------+
| http://ww | 6    | http://ww | http://c- | Marvel's  | http://w | Marvel's | http://w | Friday,  |
| w.tvguide |      | w.tvguide | 7npsfqifv | Agents of | ww.tvgui | Agents   | ww.tvgui | May 4 at |
| .com/tvsh |      | .com/tvsh | t34x24tub | S.H.I.E.L | de.com/t | of S.H.I | de.com/t | 9:01 pm  |
| ows/      |      | ows/marve | ujdx2euwh | .D.       | vshows/m | .E.L.D.  | vshows/m | | ABC    |
|           |      | ls-       | deox2eofu |           | arvels-  |          | arvels-  |          |
|           |      | agents-   | .g00.tvgu |           | agents-  |          | agents-  |          |
|           |      | of-shield | ide.com/g |           | of-shiel |          | of-shiel |          |
|           |      | /555470/  | 00/3_c-7x |           | d/555470 |          | d/555470 |          |
|           |      |           | 78x78x78. |           | /        |          | /        |          |
|           |      |           | uwhvjef.d |           |          |          |          |          |
|           |      |           | pn_/c-7NP |           |          |          |          |          |
|           |      |           | SFQIFVT34 |           |          |          |          |          |
|           |      |           | x24iuuqx3 |           |          |          |          |          |
|           |      |           | ax2fx2ftu |           |          |          |          |          |
|           |      |           | bujd.uwhd |           |          |          |          |          |
|           |      |           | eo.ofux2f |           |          |          |          |          |
|           |      |           | gffex2f2x |           |          |          |          |          |
|           |      |           | 2f888x2fu |           |          |          |          |          |
|           |      |           | ivnctx2f2 |           |          |          |          |          |
|           |      |           | 28070888_ |           |          |          |          |          |
|           |      |           | 211y244.k |           |          |          |          |          |
|           |      |           | qhx3fj21d |           |          |          |          |          |
|           |      |           | .nbslx3dj |           |          |          |          |          |
|           |      |           | nbhf_$/$/ |           |          |          |          |          |
|           |      |           | $/$/$/$   |           |          |          |          |          |
+-----------+------+-----------+-----------+-----------+----------+----------+----------+----------+
| http://ww | 7    | http://ww | http://c- | The Handm | http://w | The Hand | http://w | Not      |
| w.tvguide |      | w.tvguide | 7npsfqifv | aid's     | ww.tvgui | maid's   | ww.tvgui | airing   |
| .com/tvsh |      | .com/tvsh | t34x24tub | Tale      | de.com/t | Tale     | de.com/t | in the   |
| ows/      |      | ows/the-h | ujdx2euwh |           | vshows/t |          | vshows/t | next 14  |
