+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| url     | Analyti | Analyti | Analyti | Search_ | Biz_Nam | Biz_Nam | Off_Scr | Off_Scr | Review |
|         | cs_Imag | cs_Imag | cs_Imag | Result  | e_Click | e_Click | een     | een_alt | _Count |
|         | e       | e_alt   | e_link  |         |         | _link   |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | https:/ | Mattres | https:/ | Ad      | Mattres | https:/ | https:/ | 5.0     | 5 revi |
| /www.ye | /s3-med | s Liqui | /www.ye |         | s Liqui | /www.ye | /s3-med | star    | ews    |
| lp.com/ | ia4.fl. | dators  | lp.com/ |         | dators  | lp.com/ | ia2.fl. | rating  |        |
| search? | yelpcdn |         | adredir |         |         | adredir | yelpcdn |         |        |
| find_de | .com/bp |         | ?ad_bus |         |         | ?ad_bus | .com/as |         |        |
| sc=Anti | hoto/ZZ |         | iness_i |         |         | iness_i | sets/sr |         |        |
| que+Sto | 0vofDS7 |         | d=d8tJ_ |         |         | d=d8tJ_ | v0/yelp |         |        |
| res&fin | pnF4BMX |         | 7DA75ra |         |         | 7DA75ra | _design |         |        |
| d_loc=R | ktkKUQ/ |         | 0I_C64q |         |         | 0I_C64q | _web/9b |         |        |
| ichmond | 90s.jpg |         | w7g&cam |         |         | w7g&cam | 34e39cc |         |        |
| %2C+VA  |         |         | paign_i |         |         | paign_i | beb/ass |         |        |
|         |         |         | d=K8AMC |         |         | d=K8AMC | ets/img |         |        |
|         |         |         | D9B2lX6 |         |         | D9B2lX6 | /stars/ |         |        |
|         |         |         | pJ7P8PB |         |         | pJ7P8PB | stars.p |         |        |
|         |         |         | e5Q&cli |         |         | e5Q&cli | ng      |         |        |
|         |         |         | ck_orig |         |         | ck_orig |         |         |        |
|         |         |         | in=sear |         |         | in=sear |         |         |        |
|         |         |         | ch_resu |         |         | ch_resu |         |         |        |
|         |         |         | lts&pla |         |         | lts&pla |         |         |        |
|         |         |         | cement= |         |         | cement= |         |         |        |
|         |         |         | above_s |         |         | above_s |         |         |        |
|         |         |         | earch&r |         |         | earch&r |         |         |        |
|         |         |         | edirect |         |         | edirect |         |         |        |
|         |         |         | _url=ht |         |         | _url=ht |         |         |        |
|         |         |         | tps%3A% |         |         | tps%3A% |         |         |        |
|         |         |         | 2F%2Fww |         |         | 2F%2Fww |         |         |        |
|         |         |         | w.yelp. |         |         | w.yelp. |         |         |        |
|         |         |         | com%2Fb |         |         | com%2Fb |         |         |        |
|         |         |         | iz%2Fma |         |         | iz%2Fma |         |         |        |
|         |         |         | ttress- |         |         | ttress- |         |         |        |
|         |         |         | liquida |         |         | liquida |         |         |        |
|         |         |         | tors-ri |         |         | tors-ri |         |         |        |
|         |         |         | chmond- |         |         | chmond- |         |         |        |
|         |         |         | 2&reque |         |         | 2&reque |         |         |        |
|         |         |         | st_id=9 |         |         | st_id=9 |         |         |        |
|         |         |         | b41ec08 |         |         | b41ec08 |         |         |        |
|         |         |         | 42f9b01 |         |         | 42f9b01 |         |         |        |
|         |         |         | 4&signa |         |         | 4&signa |         |         |        |
|         |         |         | ture=8a |         |         | ture=8a |         |         |        |
|         |         |         | 4c2271d |         |         | 4c2271d |         |         |        |
|         |         |         | 64211fb |         |         | 64211fb |         |         |        |
