+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| url     | Country | Country | Populat | Yearly_ | Net_Cha | Density | Land_Ar | Migrant | Fert_R |
|         |         | _link   | ion     | Change  | nge     | _Pk_M   | ea_(km) | s_Net   | ate    |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | China   | http:// | 1,415,0 | 0.39 %  | 5,528,5 | 151     | 9,388,2 | -339,69 | 1.600  |
| www.wor |         | www.wor | 45,928  |         | 31      |         | 11      | 0       |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/chi |         |         |         |         |         |         |        |
| ulation |         | na-popu |         |         |         |         |         |         |        |
| -by-cou |         | lation/ |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | India   | http:// | 1,354,0 | 1.11 %  | 14,871, | 455     | 2,973,1 | -515,64 | 2.400  |
| www.wor |         | www.wor | 51,854  |         | 727     |         | 90      | 3       |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/ind |         |         |         |         |         |         |        |
| ulation |         | ia-popu |         |         |         |         |         |         |        |
| -by-cou |         | lation/ |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | U.S.    | http:// | 326,766 | 0.71 %  | 2,307,2 | 36      | 9,147,4 | 900,000 | 1.900  |
| www.wor |         | www.wor | ,748    |         | 85      |         | 20      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/us- |         |         |         |         |         |         |        |
| ulation |         | populat |         |         |         |         |         |         |        |
