+-------------+---------+-------------+-------------+------------+-------+------------+------------+
| url         | Ranking | Car         | Car_link    | Review_sni | Score | Msrp       | Mpg        |
|             |         |             |             | ppet       |       |            |            |
+-------------+---------+-------------+-------------+------------+-------+------------+------------+
| https://car | #1      | 2018 Toyota | https://car | With more  | 9.300 | $23,645 -  | 28 City /  |
| s.usnews.co |         | Camry       | s.usnews.co | safety     |       | $35,100    | 39 Hwy     |
| m/cars-truc |         |             | m/cars-truc | features,  |       |            |            |
| ks/rankings |         |             | ks/toyota/c | better tec |       |            |            |
| /midsize-   |         |             | amry        | hnology,   |       |            |            |
| cars        |         |             |             | and        |       |            |            |
|             |         |             |             | improved   |       |            |            |
|             |         |             |             | handling   |       |            |            |
|             |         |             |             | dynamics,  |       |            |            |
|             |         |             |             | the        |       |            |            |
|             |         |             |             | redesigned |       |            |            |
|             |         |             |             | 2018       |       |            |            |
|             |         |             |             | Toyota     |       |            |            |
|             |         |             |             | Camry      |       |            |            |
|             |         |             |             | earns a    |       |            |            |
|             |         |             |             | place near |       |            |            |
|             |         |             |             | the top of |       |            |            |
|             |         |             |             | our        |       |            |            |
|             |         |             |             | rankings.  |       |            |            |
|             |         |             |             | Read full  |       |            |            |
|             |         |             |             | review »   |       |            |            |
+-------------+---------+-------------+-------------+------------+-------+------------+------------+
| https://car | #2      | 2018 Honda  | https://car | The        | 9.100 | $23,570 -  | 30 City /  |
| s.usnews.co |         | Accord      | s.usnews.co | completely |       | $35,800    | 38 Hwy     |
| m/cars-truc |         |             | m/cars-truc | redesigned |       |            |            |
| ks/rankings |         |             | ks/honda/ac | Honda      |       |            |            |
| /midsize-   |         |             | cord        | Accord is  |       |            |            |
| cars        |         |             |             | a          |       |            |            |
|             |         |             |             | practical  |       |            |            |
|             |         |             |             | family car |       |            |            |
|             |         |             |             | that’s     |       |            |            |
|             |         |             |             | enjoyable  |       |            |            |
|             |         |             |             | to drive.  |       |            |            |
|             |         |             |             | It fits    |       |            |            |
|             |         |             |             | the bill   |       |            |            |
|             |         |             |             | for many   |       |            |            |
|             |         |             |             | drivers    |       |            |            |
|             |         |             |             | and has    |       |            |            |
|             |         |             |             | few flaws, |       |            |            |
|             |         |             |             | ... Read   |       |            |            |
|             |         |             |             | full       |       |            |            |
|             |         |             |             | review »   |       |            |            |
+-------------+---------+-------------+-------------+------------+-------+------------+------------+
| https://car | #3      | 2018 Toyota | https://car | The Toyota | 9     | $27,800 -  | 51 City /  |
| s.usnews.co |         | Camry       | s.usnews.co | Camry      |       | $32,250    | 53 Hwy     |
| m/cars-truc |         | Hybrid      | m/cars-truc | Hybrid is  |       |            |            |
