+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| url     | Charact | Actor   | Actor_l | Rank1   | Rank2   | Rank2_l | Role1   | Role2   | Role2_ |
|         | er      |         | ink     |         |         | ink     |         |         | link   |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Hawkeye | Alan    | https:/ | Captain | Captain | https:/ | Chief   | Chief   | https: |
| /en.wik | Pierce; | Alda    | /en.wik |         |         | /en.wik | surgeon | surgeon | //en.w |
| ipedia. | Hawkeye |         | ipedia. |         |         | ipedia. |         |         | ikiped |
| org/wik | Pierce  |         | org/wik |         |         | org/wik |         |         | ia.org |
| i/M*A*S |         |         | i/Alan_ |         |         | i/Capta |         |         | /wiki/ |
| *H_(TV_ |         |         | Alda    |         |         | in_(Uni |         |         | Surger |
| series) |         |         |         |         |         | ted_Sta |         |         | y      |
|         |         |         |         |         |         | tes_O-3 |         |         |        |
|         |         |         |         |         |         | )       |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Margare | Loretta | https:/ | Major   | Major   | https:/ | Head    | nurse;  | https: |
| /en.wik | t "Hot  | Swit    | /en.wik |         |         | /en.wik | nurse,  | adjutan | //en.w |
| ipedia. | Lips" H |         | ipedia. |         |         | ipedia. |  tempor | t       | ikiped |
| org/wik | oulihan |         | org/wik |         |         | org/wik | ary adj |         | ia.org |
| i/M*A*S | ; Marga |         | i/Loret |         |         | i/Major | utant   |         | /wiki/ |
| *H_(TV_ | ret     |         | ta_Swit |         |         | _(Unite |         |         | Nurse; |
| series) | "Hot    |         |         |         |         | d_State |         |         | https: |
|         | Lips" H |         |         |         |         | s)      |         |         | //en.w |
|         | oulihan |         |         |         |         |         |         |         | ikiped |
|         |         |         |         |         |         |         |         |         | ia.org |
|         |         |         |         |         |         |         |         |         | /wiki/ |
|         |         |         |         |         |         |         |         |         | Adjuta |
|         |         |         |         |         |         |         |         |         | nt     |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Max     | Jamie   | https:/ | Corpora | Corpora | https:/ | Corpsma |         |        |
| /en.wik | Klinger | Farr    | /en.wik | l,      | l; serg | /en.wik | n,      |         |        |
| ipedia. |  (Recur |         | ipedia. |  later  | eant    | ipedia. |  later  |         |        |
| org/wik | ring    |         | org/wik | sergean |         | org/wik | company |         |        |
| i/M*A*S | seasons |         | i/Jamie | t       |         | i/Corpo | clerk   |         |        |
| *H_(TV_ | 1–3,    |         | _Farr   |         |         | ral; ht |         |         |        |
| series) | regular |         |         |         |         | tps://e |         |         |        |
|         | 4–11);  |         |         |         |         | n.wikip |         |         |        |
|         | Max Kli |         |         |         |         | edia.or |         |         |        |
|         | nger; ( |         |         |         |         | g/wiki/ |         |         |        |
|         | Recurri |         |         |         |         | Sergean |         |         |        |
|         | ng      |         |         |         |         | t       |         |         |        |
|         | seasons |         |         |         |         |         |         |         |        |
|         | 1–3,    |         |         |         |         |         |         |         |        |
|         | regular |         |         |         |         |         |         |         |        |
|         | 4–11)   |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Father  | William | https:/ | First l | First l | https:/ | Chaplai | Chaplai | https: |
| /en.wik | Mulcahy | Christo | /en.wik | ieutena | ieutena | /en.wik | n       | n       | //en.w |
| ipedia. |  (recur | pher    | ipedia. | nt,     | nt;     | ipedia. |         |         | ikiped |
| org/wik | ring    |         | org/wik |  later  | captain | org/wik |         |         | ia.org |
| i/M*A*S | seasons |         | i/Willi | captain |         | i/First |         |         | /wiki/ |
| *H_(TV_ | 1–4,    |         | am_Chri |         |         | _lieute |         |         | Chapla |
| series) | regular |         | stopher |         |         | nant; h |         |         | in     |
|         | 5–11);  |         |         |         |         | ttps:// |         |         |        |
|         | Father  |         |         |         |         | en.wiki |         |         |        |
|         | Mulcahy |         |         |         |         | pedia.o |         |         |        |
|         | ; (recu |         |         |         |         | rg/wiki |         |         |        |
|         | rring   |         |         |         |         | /Captai |         |         |        |
|         | seasons |         |         |         |         | n_(Unit |         |         |        |
|         | 1–4,    |         |         |         |         | ed_Stat |         |         |        |
|         | regular |         |         |         |         | es_O-3) |         |         |        |
|         | 5–11)   |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Trapper | Wayne   | https:/ | Captain |         |         | Surgeon |         |        |
