+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| url      | State    | Portrait | Portrait | Governor | Party    | Prior_pu | Inaugrat | End_of_t |
|          |          |          | _alt     |          |          | blic_exp | ion      | erm      |
|          |          |          |          |          |          | erience  |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Alabama  | https:// | Portrait | Kay Ivey | Republic | Lieutena | April    | 2019     |
| en.wikip |          | upload.w | -Governo |          | an       | nt Gover | 10, 2017 |          |
| edia.org |          | ikimedia | r-Kay-   |          |          | nor, Tre |          |          |
| /wiki/Li |          | .org/wik | Ivey (cr |          |          | asurer   |          |          |
| st_of_cu |          | ipedia/c | opped).j |          |          |          |          |          |
| rrent_Un |          | ommons/t | pg       |          |          |          |          |          |
| ited_Sta |          | humb/e/e |          |          |          |          |          |          |
| tes_gove |          | 3/Portra |          |          |          |          |          |          |
| rnors    |          | it-Gover |          |          |          |          |          |          |
|          |          | nor-Kay- |          |          |          |          |          |          |
|          |          | Ivey_%28 |          |          |          |          |          |          |
|          |          | cropped% |          |          |          |          |          |          |
|          |          | 29.jpg/1 |          |          |          |          |          |          |
|          |          | 00px-Por |          |          |          |          |          |          |
|          |          | trait-Go |          |          |          |          |          |          |
|          |          | vernor-  |          |          |          |          |          |          |
|          |          | Kay-Ivey |          |          |          |          |          |          |
|          |          | _%28crop |          |          |          |          |          |          |
|          |          | ped%29.j |          |          |          |          |          |          |
|          |          | pg       |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Alaska   | https:// | Bill Wal | Bill     | Independ | Mayor of | December | 2018     |
| en.wikip |          | upload.w | ker.jpg  | Walker   | ent      | Valdez,  | 1, 2014  |          |
| edia.org |          | ikimedia |          |          |          | Valdez   |          |          |
| /wiki/Li |          | .org/wik |          |          |          | City     |          |          |
| st_of_cu |          | ipedia/c |          |          |          | Council  |          |          |
| rrent_Un |          | ommons/t |          |          |          |          |          |          |
| ited_Sta |          | humb/f/f |          |          |          |          |          |          |
| tes_gove |          | c/Bill_W |          |          |          |          |          |          |
| rnors    |          | alker.jp |          |          |          |          |          |          |
|          |          | g/100px- |          |          |          |          |          |          |
|          |          | Bill_Wal |          |          |          |          |          |          |
|          |          | ker.jpg  |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Arizona  | https:// | Doug     | Doug     | Republic | Treasure | January  | 2019     |
| en.wikip |          | upload.w | Ducey by | Ducey    | an       | r        | 5, 2015  |          |
| edia.org |          | ikimedia | Gage     |          |          |          |          |          |
| /wiki/Li |          | .org/wik | Skidmore |          |          |          |          |          |
| st_of_cu |          | ipedia/c | 2.jpg    |          |          |          |          |          |
| rrent_Un |          | ommons/t |          |          |          |          |          |          |
| ited_Sta |          | humb/5/5 |          |          |          |          |          |          |
| tes_gove |          | f/Doug_D |          |          |          |          |          |          |
| rnors    |          | ucey_by_ |          |          |          |          |          |          |
|          |          | Gage_Ski |          |          |          |          |          |          |
|          |          | dmore_2. |          |          |          |          |          |          |
|          |          | jpg/100p |          |          |          |          |          |          |
|          |          | x-Doug_D |          |          |          |          |          |          |
|          |          | ucey_by_ |          |          |          |          |          |          |
|          |          | Gage_Ski |          |          |          |          |          |          |
|          |          | dmore_2. |          |          |          |          |          |          |
|          |          | jpg      |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Arkansas | https:// | Asa Hutc | Asa Hutc | Republic | Under Se | January  | 2019     |
| en.wikip |          | upload.w | hinson.j | hinson   | an       | cretary  | 13, 2015 |          |
| edia.org |          | ikimedia | pg       |          |          | of       |          |          |
| /wiki/Li |          | .org/wik |          |          |          | Homeland |          |          |
| st_of_cu |          | ipedia/c |          |          |          | Security |          |          |
| rrent_Un |          | ommons/t |          |          |          | for      |          |          |
| ited_Sta |          | humb/b/b |          |          |          | Border & |          |          |
| tes_gove |          | 8/Asa_Hu |          |          |          | Transpor |          |          |
| rnors    |          | tchinson |          |          |          | tation S |          |          |
|          |          | .jpg/100 |          |          |          | ecurity, |          |          |
|          |          | px-Asa_H |          |          |          |  Adminis |          |          |
|          |          | utchinso |          |          |          | trator   |          |          |
|          |          | n.jpg    |          |          |          | of the   |          |          |
|          |          |          |          |          |          | Drug Enf |          |          |
|          |          |          |          |          |          | orcement |          |          |
|          |          |          |          |          |          | Administ |          |          |
|          |          |          |          |          |          | ration,  |          |          |
|          |          |          |          |          |          | U.S.     |          |          |
|          |          |          |          |          |          | House,   |          |          |
|          |          |          |          |          |          | U.S.     |          |          |
|          |          |          |          |          |          | Attorney |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Californ | https:// | Edmund G | Jerry    | Democrat | Governor | January  | 2019     |
| en.wikip | ia       | upload.w | Brown Jr | Brown    | ic       | (1975–19 | 3, 2011  | (term    |
| edia.org |          | ikimedia | (cropped |          |          | 83),     |          | limits)  |
| /wiki/Li |          | .org/wik | ).jpg    |          |          | Attorney |          |          |
| st_of_cu |          | ipedia/c |          |          |          | General, |          |          |
| rrent_Un |          | ommons/t |          |          |          |  Mayor   |          |          |
| ited_Sta |          | humb/5/5 |          |          |          | of       |          |          |
| tes_gove |          | 9/Edmund |          |          |          | Oakland, |          |          |
| rnors    |          | _G_Brown |          |          |          | Secretar |          |          |
|          |          | _Jr_%28c |          |          |          | y of     |          |          |
|          |          | ropped%2 |          |          |          | State    |          |          |
|          |          | 9.jpg/10 |          |          |          |          |          |          |
|          |          | 0px-Edmu |          |          |          |          |          |          |
|          |          | nd_G_Bro |          |          |          |          |          |          |
|          |          | wn_Jr_%2 |          |          |          |          |          |          |
|          |          | 8cropped |          |          |          |          |          |          |
|          |          | %29.jpg  |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Colorado | https:// | Governor | John Hic | Democrat | Mayor of | January  | 2019     |
| en.wikip |          | upload.w | John Hic | kenloope | ic       | Denver   | 11, 2011 | (term    |
| edia.org |          | ikimedia | kenloope | r        |          |          |          | limits)  |
| /wiki/Li |          | .org/wik | r        |          |          |          |          |          |
| st_of_cu |          | ipedia/c | 2015.jpg |          |          |          |          |          |
| rrent_Un |          | ommons/t |          |          |          |          |          |          |
| ited_Sta |          | humb/2/2 |          |          |          |          |          |          |
| tes_gove |          | 5/Govern |          |          |          |          |          |          |
| rnors    |          | or_John_ |          |          |          |          |          |          |
|          |          | Hickenlo |          |          |          |          |          |          |
|          |          | oper_201 |          |          |          |          |          |          |
|          |          | 5.jpg/10 |          |          |          |          |          |          |
|          |          | 0px-Gove |          |          |          |          |          |          |
|          |          | rnor_Joh |          |          |          |          |          |          |
|          |          | n_Hicken |          |          |          |          |          |          |
|          |          | looper_2 |          |          |          |          |          |          |
|          |          | 015.jpg  |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Connecti | https:// | Dannel   | Dannel   | Democrat | Mayor of | January  | 2019 (re |
| en.wikip | cut      | upload.w | Malloy   | Malloy   | ic       | Stamford | 5, 2011  | tiring)  |
| edia.org |          | ikimedia | 2016.jpg |          |          |          |          |          |
| /wiki/Li |          | .org/wik |          |          |          |          |          |          |
