+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| url     | State   | State_l | Abbrevi | Stateho | Capital | Capital | Area_(s | Populat | Popula |
|         |         | ink     | ation   | od_Year |         | _Since  | q._mi)  | ion:_Mu | tion:_ |
|         |         |         |         |         |         |         |         | nicipal | Metrop |
|         |         |         |         |         |         |         |         |         | olitan |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Alabama | https:/ | AL      | 1819    | Montgom | 1846    | 155.400 | 205,764 | 374,53 |
| /en.wik |         | /en.wik |         |         | ery     |         |         |         | 6      |
| ipedia. |         | ipedia. |         |         |         |         |         |         |        |
| org/wik |         | org/wik |         |         |         |         |         |         |        |
| i/List_ |         | i/Alaba |         |         |         |         |         |         |        |
| of_capi |         | ma      |         |         |         |         |         |         |        |
| tals_in |         |         |         |         |         |         |         |         |        |
| _the_Un |         |         |         |         |         |         |         |         |        |
| ited_St |         |         |         |         |         |         |         |         |        |
| ates    |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Alaska  | https:/ | AK      | 1959    | Juneau  | 1906    | 2716.70 | 31,275  |        |
| /en.wik |         | /en.wik |         |         |         |         | 0       |         |        |
| ipedia. |         | ipedia. |         |         |         |         |         |         |        |
| org/wik |         | org/wik |         |         |         |         |         |         |        |
| i/List_ |         | i/Alask |         |         |         |         |         |         |        |
| of_capi |         | a       |         |         |         |         |         |         |        |
| tals_in |         |         |         |         |         |         |         |         |        |
| _the_Un |         |         |         |         |         |         |         |         |        |
| ited_St |         |         |         |         |         |         |         |         |        |
| ates    |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Arizona | https:/ | AZ      | 1912    | Phoenix | 1889    | 474.900 | 1,445,6 | 4,192, |
| /en.wik |         | /en.wik |         |         |         |         |         | 32      | 887    |
| ipedia. |         | ipedia. |         |         |         |         |         |         |        |
| org/wik |         | org/wik |         |         |         |         |         |         |        |
| i/List_ |         | i/Arizo |         |         |         |         |         |         |        |
| of_capi |         | na      |         |         |         |         |         |         |        |
| tals_in |         |         |         |         |         |         |         |         |        |
| _the_Un |         |         |         |         |         |         |         |         |        |
| ited_St |         |         |         |         |         |         |         |         |        |
| ates    |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Arkansa | https:/ | AR      | 1836    | Little  | 1821    | 116.200 | 193,524 | 877,09 |
| /en.wik | s       | /en.wik |         |         | Rock    |         |         |         | 1      |
| ipedia. |         | ipedia. |         |         |         |         |         |         |        |
| org/wik |         | org/wik |         |         |         |         |         |         |        |
| i/List_ |         | i/Arkan |         |         |         |         |         |         |        |
| of_capi |         | sas     |         |         |         |         |         |         |        |
| tals_in |         |         |         |         |         |         |         |         |        |
| _the_Un |         |         |         |         |         |         |         |         |        |
| ited_St |         |         |         |         |         |         |         |         |        |
| ates    |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Califor | https:/ | CA      | 1850    | Sacrame | 1854    | 97.200  | 466,488 | 2,527, |
| /en.wik | nia     | /en.wik |         |         | nto     |         |         |         | 123    |
| ipedia. |         | ipedia. |         |         |         |         |         |         |        |
| org/wik |         | org/wik |         |         |         |         |         |         |        |
| i/List_ |         | i/Calif |         |         |         |         |         |         |        |
| of_capi |         | ornia   |         |         |         |         |         |         |        |
| tals_in |         |         |         |         |         |         |         |         |        |
| _the_Un |         |         |         |         |         |         |         |         |        |
| ited_St |         |         |         |         |         |         |         |         |        |
| ates    |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Colorad | https:/ | CO      | 1876    | Denver  | 1867    | 153.400 | 600,158 | 2,552, |
| /en.wik | o       | /en.wik |         |         |         |         |         |         | 195    |
| ipedia. |         | ipedia. |         |         |         |         |         |         |        |
| org/wik |         | org/wik |         |         |         |         |         |         |        |
| i/List_ |         | i/Color |         |         |         |         |         |         |        |
| of_capi |         | ado     |         |         |         |         |         |         |        |
| tals_in |         |         |         |         |         |         |         |         |        |
| _the_Un |         |         |         |         |         |         |         |         |        |
| ited_St |         |         |         |         |         |         |         |         |        |
| ates    |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Connect | https:/ | CT      | 1788    | Hartfor | 1875    | 17.300  | 124,775 | 1,212, |
| /en.wik | icut    | /en.wik |         |         | d       |         |         |         | 381    |
| ipedia. |         | ipedia. |         |         |         |         |         |         |        |
| org/wik |         | org/wik |         |         |         |         |         |         |        |
| i/List_ |         | i/Conne |         |         |         |         |         |         |        |
| of_capi |         | cticut  |         |         |         |         |         |         |        |
| tals_in |         |         |         |         |         |         |         |         |        |
| _the_Un |         |         |         |         |         |         |         |         |        |
| ited_St |         |         |         |         |         |         |         |         |        |
| ates    |         |         |         |         |         |         |         |         |        |
