+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| url     | Product | Product | Product | Regular | Product | Product | Cooling | Noise   | NVIDIA |
|         | _Image  | _Image_ | _Image_ | _Price  | _Name   | _Name_l | _Capaci |         |        |
|         |         | alt     | link    |         |         | ink     | ty      |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | https:/ | Acceler | https:/ | USD     | Acceler | https:/ | 300W    | 0.3     | Titan  |
| /www.ar | /static | o       | /www.ar | 119.99  | o       | /www.ar |         | Sone    | Xp,    |
| ctic.ac | .arctic | Hybrid  | ctic.ac |         | Hybrid  | ctic.ac |         |         | Titan  |
| /us_en/ | .ac/med | III-120 | /us_en/ |         | III-120 | /us_en/ |         |         | X(Pasc |
| product | ia/cata |         | acceler |         |         | acceler |         |         | al),   |
| s/cooli | log/pro |         | o-      |         |         | o-      |         |         | GTX 10 |
| ng/vga. | duct/ca |         | hybrid- |         |         | hybrid- |         |         | 80(Ti) |
| html    | che/4/s |         | iii-120 |         |         | iii-120 |         |         | , 1070 |
|         | mall_im |         | .html   |         |         | .html   |         |         | (Ti),  |
|         | age/300 |         |         |         |         |         |         |         | 1060;  |
|         | x150/9d |         |         |         |         |         |         |         | ,      |
|         | f78eab3 |         |         |         |         |         |         |         | Titan  |
|         | 3525d08 |         |         |         |         |         |         |         | X, 980 |
|         | d6e5fb8 |         |         |         |         |         |         |         | (Ti),  |
|         | d27136e |         |         |         |         |         |         |         | 970,   |
|         | 95/a/c/ |         |         |         |         |         |         |         | 960, T |
|         | acceler |         |         |         |         |         |         |         | itan(B |
|         | o_hybri |         |         |         |         |         |         |         | lack), |
|         | d_iii_1 |         |         |         |         |         |         |         | 780(Ti |
|         | 20_b00. |         |         |         |         |         |         |         | ),     |
|         | png     |         |         |         |         |         |         |         | 770,;  |
|         |         |         |         |         |         |         |         |         | ...    |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | https:/ | Acceler | https:/ | USD     | Acceler | https:/ | 300W    | 0.4     | Titan  |
| /www.ar | /static | o       | /www.ar | 89.99   | o       | /www.ar |         | Sone @  | Xp,    |
| ctic.ac | .arctic | Xtreme  | ctic.ac |         | Xtreme  | ctic.ac |         | 2,000   | Titan  |
| /us_en/ | .ac/med | IV      | /us_en/ |         | IV      | /us_en/ |         | RPM     | X(Pasc |
| product | ia/cata |         | acceler |         |         | acceler |         |         | al),   |
| s/cooli | log/pro |         | o-      |         |         | o-      |         |         | GTX 10 |
| ng/vga. | duct/ca |         | xtreme- |         |         | xtreme- |         |         | 80(Ti) |
| html    | che/4/s |         | iv.html |         |         | iv.html |         |         | , 1070 |
|         | mall_im |         |         |         |         |         |         |         | (Ti),  |
|         | age/300 |         |         |         |         |         |         |         | 1060;  |
|         | x150/9d |         |         |         |         |         |         |         | ,      |
|         | f78eab3 |         |         |         |         |         |         |         | Titan  |
|         | 3525d08 |         |         |         |         |         |         |         | X, 980 |
|         | d6e5fb8 |         |         |         |         |         |         |         | (Ti),  |
|         | d27136e |         |         |         |         |         |         |         | 970,   |
|         | 95/a/c/ |         |         |         |         |         |         |         | Titan  |
|         | acceler |         |         |         |         |         |         |         | (Black |
|         | o_xtrem |         |         |         |         |         |         |         | ), 780 |
|         | e_iv_b0 |         |         |         |         |         |         |         | (Ti),  |
|         | 0_3.png |         |         |         |         |         |         |         | 770,;  |
|         |         |         |         |         |         |         |         |         | …      |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | https:/ | Acceler | https:/ | USD     | Acceler | https:/ | 300W    | 0.4     | Titan  |
| /www.ar | /static | o       | /www.ar | 89.99   | o       | /www.ar |         | Sone @  | Xp,    |
| ctic.ac | .arctic | Xtreme  | ctic.ac |         | Xtreme  | ctic.ac |         | 2,000   | Titan  |
| /us_en/ | .ac/med | IV      | /us_en/ |         | IV      | /us_en/ |         | RPM     | X(Pasc |
| product | ia/cata | 280(X)  | acceler |         | 280(X)  | acceler |         |         | al),   |
| s/cooli | log/pro |         | o-      |         |         | o-      |         |         | GTX 10 |
| ng/vga. | duct/ca |         | xtreme- |         |         | xtreme- |         |         | 80(Ti) |
| html    | che/4/s |         | iv-280- |         |         | iv-280- |         |         | , 1070 |
|         | mall_im |         | x.html  |         |         | x.html  |         |         | (Ti),  |
|         | age/300 |         |         |         |         |         |         |         | 1060;  |
|         | x150/9d |         |         |         |         |         |         |         | ,      |
|         | f78eab3 |         |         |         |         |         |         |         | Titan  |
|         | 3525d08 |         |         |         |         |         |         |         | X, 980 |
|         | d6e5fb8 |         |         |         |         |         |         |         | (Ti),  |
|         | d27136e |         |         |         |         |         |         |         | 970,   |
|         | 95/a/c/ |         |         |         |         |         |         |         | Titan  |
|         | acceler |         |         |         |         |         |         |         | (Black |
|         | o_xtrem |         |         |         |         |         |         |         | ), 780 |
|         | e_iv_28 |         |         |         |         |         |         |         | (Ti),  |
|         | 0x_b00_ |         |         |         |         |         |         |         | 770,   |
|         | 1.png   |         |         |         |         |         |         |         | 760,;  |
|         |         |         |         |         |         |         |         |         | ...;   |
|         |         |         |         |         |         |         |         |         | RX     |
|         |         |         |         |         |         |         |         |         | 580,   |
|         |         |         |         |         |         |         |         |         | 570,   |
|         |         |         |         |         |         |         |         |         | 480,   |
|         |         |         |         |         |         |         |         |         | 470,   |
|         |         |         |         |         |         |         |         |         | R9 390 |
|         |         |         |         |         |         |         |         |         | (X), 3 |
|         |         |         |         |         |         |         |         |         | 80(X), |
|         |         |         |         |         |         |         |         |         | 370X,  |
|         |         |         |         |         |         |         |         |         | 290(X) |
|         |         |         |         |         |         |         |         |         | , 285, |
|         |         |         |         |         |         |         |         |         | 280(X) |
|         |         |         |         |         |         |         |         |         | ,270(X |
|         |         |         |         |         |         |         |         |         | ), R7  |
|         |         |         |         |         |         |         |         |         | 370,   |
|         |         |         |         |         |         |         |         |         | 265,   |
|         |         |         |         |         |         |         |         |         | HD     |
|         |         |         |         |         |         |         |         |         | 8970,  |
