+-----+-----+-----+-----+-----+-----+-----+-----+-----+----+----+----+----+----+----+----+----+----+
| Coo | Car | Cro | Loc | Oth | Mai | Tot | Wid | Hei | Lo | Cl | Cl | De | Co | Op | Da | To | Un |
| rdi | rie | sse | ale | er  | nta | al  | th  | ght | ng | ea | ea | si | ns | en | il | ll | na |
| nat | s   | s   |     | nam | ine | len |     |     | es | ra | ra | gn | tr | ed | y  |    | me |
| es  |     |     |     | e(s | d   | gth |     |     | t  | nc | nc | er | uc |    | tr |    | d: |
|     |     |     |     | )   | by  |     |     |     | sp | e  | e  |    | ti |    | af |    | 18 |
|     |     |     |     |     |     |     |     |     | an | ab | be |    | on |    | fi |    |    |
|     |     |     |     |     |     |     |     |     |    | ov | lo |    | st |    | c; |    |    |
|     |     |     |     |     |     |     |     |     |    | e  | w  |    | ar |    | Da |    |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    | t  |    | il |    |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    | y  |    |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    | tr |    |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    | af |    |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    | fi |    |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    | c  |    |    |
+-----+-----+-----+-----+-----+-----+-----+-----+-----+----+----+----+----+----+----+----+----+----+
| 40° | 13  | The | New | Ver | MTA | 13, | 103 | 649 | 4, | 15 | 22 | Ot | Au | No | 18 | As | Ve |
| 36′ | lan | Nar | Yor | raz | Bri | 700 | fee | .68 | 26 | fe | 8  | hm | gu | ve | 9, | of | rr |
| 23″ | es  | row | k C | ano | dge | fee | t   | fee | 0  | et | fe | ar | st | mb | 96 | Ma | az |
| N 7 | of  | s;  | ity | Nar | s   | t ( | (31 | t ( | fe | (4 | et | Am | 13 | er | 2  | rc | an |
| 4°0 | I-2 | The | (St | row | and | 4,1 | m)  | 198 | et | .5 | (6 | ma | ,  | 21 | (2 | h  | o- |
| 2′4 | 78  | Nar | ate | s B | Tun | 76  |     | m)  | (1 | 7  | 9. | nn | 19 | ,  | 00 | 19 | Na |
