+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| url        | Rank | Title     | Title_lin | Type | Opening_D | Closing_D | Performan | Comment   |
|            |      |           | k         |      | ate_2     | ate_2     | ces       |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 1    | The       | https://e | M    | January   |           | 12,590    | Currently |
| .wikipedia |      | Phantom   | n.wikiped |      | 26, 1988  |           |           | running   |
| .org/wiki/ |      | of the    | ia.org/wi |      |           |           |           | at the    |
| List_of_th |      | Opera     | ki/The_Ph |      |           |           |           | Majestic  |
| e_longest- |      |           | antom_of_ |      |           |           |           | Theatre   |
| running_Br |      |           | the_Opera |      |           |           |           |  7 Tony   |
| oadway_sho |      |           | _(1986_mu |      |           |           |           | Awards in |
| ws         |      |           | sical)    |      |           |           |           | 1988,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  7 Drama  |
|            |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 1988      |
|            |      |           |           |      |           |           |           |  Broadway |
|            |      |           |           |      |           |           |           | 's        |
|            |      |           |           |      |           |           |           | longest-  |
|            |      |           |           |      |           |           |           | running   |
|            |      |           |           |      |           |           |           | show and  |
|            |      |           |           |      |           |           |           | musical   |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 2    | Chicago   | https://e | M    | November  |           | 8,915     | Currently |
| .wikipedia |      |           | n.wikiped |      | 14, 1996  |           |           | running   |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | at the Am |
| List_of_th |      |           | ki/Chicag |      |           |           |           | bassador  |
| e_longest- |      |           | o_(musica |      |           |           |           | Theatre   |
| running_Br |      |           | l)        |      |           |           |           |  Revival  |
| oadway_sho |      |           |           |      |           |           |           |  6 Tony   |
| ws         |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 1997,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Revival   |
|            |      |           |           |      |           |           |           | of a      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  6 Drama  |
|            |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 1997,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng        |
|            |      |           |           |      |           |           |           | Revival   |
|            |      |           |           |      |           |           |           | of a      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           | Show      |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 1998      |
|            |      |           |           |      |           |           |           |  Original |
|            |      |           |           |      |           |           |           | productio |
|            |      |           |           |      |           |           |           | n in 1975 |
|            |      |           |           |      |           |           |           | (936 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           |  Broadway |
|            |      |           |           |      |           |           |           | 's        |
|            |      |           |           |      |           |           |           | longest-  |
|            |      |           |           |      |           |           |           | running   |
|            |      |           |           |      |           |           |           | revival   |
|            |      |           |           |      |           |           |           |  Longest  |
|            |      |           |           |      |           |           |           | running   |
|            |      |           |           |      |           |           |           | show to   |
|            |      |           |           |      |           |           |           | have      |
|            |      |           |           |      |           |           |           | premiered |
|            |      |           |           |      |           |           |           | on        |
|            |      |           |           |      |           |           |           | Broadway  |
|            |      |           |           |      |           |           |           |  Broadway |
|            |      |           |           |      |           |           |           | 's        |
|            |      |           |           |      |           |           |           | longest   |
|            |      |           |           |      |           |           |           | running   |
|            |      |           |           |      |           |           |           | American  |
|            |      |           |           |      |           |           |           | show      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 3    | The Lion  | https://e | M    | November  |           | 8,518     | Currently |
| .wikipedia |      | King      | n.wikiped |      | 13, 1997  |           |           | running   |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | at the    |
| List_of_th |      |           | ki/The_Li |      |           |           |           | Minskoff  |
| e_longest- |      |           | on_King_( |      |           |           |           | Theatre   |
| running_Br |      |           | musical)  |      |           |           |           |  6 Tony   |
| oadway_sho |      |           |           |      |           |           |           | Awards in |
| ws         |      |           |           |      |           |           |           | 1998,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  8 Drama  |
|            |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 1998      |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           | Show      |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 1999      |
|            |      |           |           |      |           |           |           |  Longest- |
|            |      |           |           |      |           |           |           | running   |
|            |      |           |           |      |           |           |           | Disney Th |
|            |      |           |           |      |           |           |           | eatrical  |
|            |      |           |           |      |           |           |           | Productio |
|            |      |           |           |      |           |           |           | ns show   |
|            |      |           |           |      |           |           |           |  Highest- |
|            |      |           |           |      |           |           |           | grossing  |
|            |      |           |           |      |           |           |           | Broadway  |
|            |      |           |           |      |           |           |           | show in   |
|            |      |           |           |      |           |           |           | history   |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 4    | Cats      | https://e | M    | October   | September | 7,485     | 7 Tony    |
| .wikipedia |      |           | n.wikiped |      | 7, 1982   | 10, 2000  |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1983,     |
| List_of_th |      |           | ki/Cats_( |      |           |           |           | including |
| e_longest- |      |           | musical)  |      |           |           |           | Best      |
| running_Br |      |           |           |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  3 Drama  |
| ws         |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 1983      |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best Cast |
|            |      |           |           |      |           |           |           | Show      |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 1984      |
|            |      |           |           |      |           |           |           |  Revival  |
|            |      |           |           |      |           |           |           | in 2016   |
|            |      |           |           |      |           |           |           | (593 perf |
|            |      |           |           |      |           |           |           | ormances) |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 5    | Les Misér | https://e | M    | March 12, | May 18,   | 6,680     | 8 Tony    |
| .wikipedia |      | ables     | n.wikiped |      | 1987      | 2003      |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1987,     |
| List_of_th |      |           | ki/Les_Mi |      |           |           |           | including |
| e_longest- |      |           | s%C3%A9ra |      |           |           |           | Best      |
| running_Br |      |           | bles_(mus |      |           |           |           | Musical   |
| oadway_sho |      |           | ical)     |      |           |           |           |  5 Drama  |
| ws         |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 1987,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng        |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           | Cast Show |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 1988      |
|            |      |           |           |      |           |           |           |  Revivals |
|            |      |           |           |      |           |           |           | in 2006   |
|            |      |           |           |      |           |           |           | (463 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | and 2014  |
|            |      |           |           |      |           |           |           | (1,024 pe |
|            |      |           |           |      |           |           |           | rformance |
|            |      |           |           |      |           |           |           | s)        |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 6    | A Chorus  | https://e | M    | July 25,  | April 28, | 6,137     | 9 Tony    |
| .wikipedia |      | Line      | n.wikiped |      | 1975      | 1990      |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1976,     |
| List_of_th |      |           | ki/A_Chor |      |           |           |           | including |
| e_longest- |      |           | us_Line   |      |           |           |           | Best      |
| running_Br |      |           |           |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  5 Drama  |
| ws         |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 1976,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng        |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  A        |
|            |      |           |           |      |           |           |           | Special   |
|            |      |           |           |      |           |           |           | Tony      |
|            |      |           |           |      |           |           |           | Award in  |
|            |      |           |           |      |           |           |           | 1984 for  |
|            |      |           |           |      |           |           |           | becoming  |
|            |      |           |           |      |           |           |           | Broadway' |
|            |      |           |           |      |           |           |           | s         |
|            |      |           |           |      |           |           |           | longest-  |
|            |      |           |           |      |           |           |           | running   |
|            |      |           |           |      |           |           |           | musical   |
|            |      |           |           |      |           |           |           |  Pulitzer |
|            |      |           |           |      |           |           |           | Prize for |
|            |      |           |           |      |           |           |           | Drama in  |
|            |      |           |           |      |           |           |           | 1976      |
|            |      |           |           |      |           |           |           |  Revival  |
|            |      |           |           |      |           |           |           | in 2006   |
|            |      |           |           |      |           |           |           | (759 perf |
|            |      |           |           |      |           |           |           | ormances) |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 7    | Wicked    | https://e | M    | October   |           | 6,053     | Currently |
| .wikipedia |      |           | n.wikiped |      | 30, 2003  |           |           | running   |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | at the    |
| List_of_th |      |           | ki/Wicked |      |           |           |           | Gershwin  |
| e_longest- |      |           | _(musical |      |           |           |           | Theatre   |
| running_Br |      |           | )         |      |           |           |           |  3 Tony   |
| oadway_sho |      |           |           |      |           |           |           | Awards in |
| ws         |      |           |           |      |           |           |           | 2004      |
|            |      |           |           |      |           |           |           |  7 Drama  |
|            |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 2004,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng        |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           | Show      |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 2005      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 8    | Oh!       | https://e | R    | September | August 6, | 5,959     | Revival   |
| .wikipedia |      | Calcutta! | n.wikiped |      | 24, 1976  | 1989      |           |  Original |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | productio |
| List_of_th |      |           | ki/Oh!_Ca |      |           |           |           | n in 1969 |
| e_longest- |      |           | lcutta!   |      |           |           |           | (1314 per |
| running_Br |      |           |           |      |           |           |           | formances |
| oadway_sho |      |           |           |      |           |           |           | )         |
| ws         |      |           |           |      |           |           |           |  First    |
|            |      |           |           |      |           |           |           | revival   |
|            |      |           |           |      |           |           |           | to match  |
|            |      |           |           |      |           |           |           | its       |
|            |      |           |           |      |           |           |           | original  |
|            |      |           |           |      |           |           |           | for 1000+ |
|            |      |           |           |      |           |           |           | performan |
|            |      |           |           |      |           |           |           | ces       |
|            |      |           |           |      |           |           |           |  Broadway |
|            |      |           |           |      |           |           |           | 's        |
|            |      |           |           |      |           |           |           | longest-  |
|            |      |           |           |      |           |           |           | running   |
|            |      |           |           |      |           |           |           | revue     |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 9    | Mamma     | https://e | M    | October   | September | 5,758     | Longest-  |
| .wikipedia |      | Mia!      | n.wikiped |      | 18, 2001  | 12, 2015  |           | running   |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | "jukebox  |
| List_of_th |      |           | ki/Mamma_ |      |           |           |           | musical"  |
| e_longest- |      |           | Mia!      |      |           |           |           | on        |
| running_Br |      |           |           |      |           |           |           | Broadway  |
| oadway_sho |      |           |           |      |           |           |           |           |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 10   | Beauty    | https://e | M    | April 18, | July 29,  | 5,461     | A Tony    |
| .wikipedia |      | and the   | n.wikiped |      | 1994      | 2007      |           | Award in  |
| .org/wiki/ |      | Beast     | ia.org/wi |      |           |           |           | 1994      |
| List_of_th |      |           | ki/Beauty |      |           |           |           |           |
| e_longest- |      |           | _and_the_ |      |           |           |           |           |
| running_Br |      |           | Beast_(mu |      |           |           |           |           |
| oadway_sho |      |           | sical)    |      |           |           |           |           |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 11   | Rent      | https://e | M    | April 29, | September | 5,123     | 4 Tony    |
| .wikipedia |      |           | n.wikiped |      | 1996      | 7, 2008   |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1996,     |
| List_of_th |      |           | ki/Rent_( |      |           |           |           | including |
| e_longest- |      |           | musical)  |      |           |           |           | Best      |
| running_Br |      |           |           |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  6 Drama  |
| ws         |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 1996,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng        |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  Pulitzer |
|            |      |           |           |      |           |           |           | Prize for |
|            |      |           |           |      |           |           |           | Drama in  |
|            |      |           |           |      |           |           |           | 1996      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 12   | Jersey    | https://e | M    | November  | January   | 4,642     | 4 Tony    |
| .wikipedia |      | Boys      | n.wikiped |      | 6, 2005   | 15, 2017  |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 2006,     |
| List_of_th |      |           | ki/Jersey |      |           |           |           | including |
| e_longest- |      |           | _Boys     |      |           |           |           | Best      |
| running_Br |      |           |           |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  2 Drama  |
| ws         |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 2006      |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           | Show      |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 2007      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 13   | Miss      | https://e | M    | April 11, | January   | 4,092     | 3 Tony    |
