+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| url  | Numb | Pres | Pres | Pres | Pres | Date | Live | Prio | Par | Par | Beg | Ter | End | Vic |
|      | er   | iden | iden | iden | iden | s_bi | d    | r_of | ty  | ty_ | in_ | m_n | _te | e_P |
|      |      | cy_- | cy_- | t    | t_li | rth_ |      | fice |     | lin | ter | umb | rm  | res |
|      |      | _beg | _end |      | nk   | and_ |      |      |     | k   | m   | er  |     | ide |
|      |      | in   |      |      |      | deat |      |      |     |     |     |     |     | nt  |
|      |      |      |      |      |      | h    |      |      |     |     |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 1    | Apri | Marc | Geor | http | 1732 | (Liv | Comm |     |     | (17 | 1   | (17 | Joh |
| s:// |      | l    | h 4, | ge W | s:// | –179 | ed:  | ande |     |     | 88– |     | 89) | n A |
| en.w |      | 30,  | 1797 | ashi | en.w | 9    | 67 y | r-   |     |     | 89) |     |     | dam |
| ikip |      | 1789 |      | ngto | ikip |      | ears | in-C |     |     |     |     |     | s   |
| edia |      |      |      | n    | edia |      | )    | hief |     |     |     |     |     |  [f |
| .org |      |      |      |      | .org |      |      |  of  |     |     |     |     |     | ][g |
| /wik |      |      |      |      | /wik |      |      | the  |     |     |     |     |     | ]   |
| i/Li |      |      |      |      | i/Ge |      |      |  Con |     |     |     |     |     |     |
| st_o |      |      |      |      | orge |      |      | tine |     |     |     |     |     |     |
| f_Pr |      |      |      |      | _Was |      |      | ntal |     |     |     |     |     |     |
| esid |      |      |      |      | hing |      |      | Army |     |     |     |     |     |     |
| ents |      |      |      |      | ton  |      |      |  (17 |     |     |     |     |     |     |
| _of_ |      |      |      |      |      |      |      | 75–1 |     |     |     |     |     |     |
| the_ |      |      |      |      |      |      |      | 783) |     |     |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 1    | Apri | Marc | Geor | http | 1732 | (Liv | Comm |     |     | (17 | 2   | (17 | Joh |
| s:// |      | l    | h 4, | ge W | s:// | –179 | ed:  | ande |     |     | 92) |     | 93) | n A |
| en.w |      | 30,  | 1797 | ashi | en.w | 9    | 67 y | r-   |     |     |     |     |     | dam |
| ikip |      | 1789 |      | ngto | ikip |      | ears | in-C |     |     |     |     |     | s   |
| edia |      |      |      | n    | edia |      | )    | hief |     |     |     |     |     |  [f |
| .org |      |      |      |      | .org |      |      |  of  |     |     |     |     |     | ][g |
| /wik |      |      |      |      | /wik |      |      | the  |     |     |     |     |     | ]   |
| i/Li |      |      |      |      | i/Ge |      |      |  Con |     |     |     |     |     |     |
| st_o |      |      |      |      | orge |      |      | tine |     |     |     |     |     |     |
| f_Pr |      |      |      |      | _Was |      |      | ntal |     |     |     |     |     |     |
| esid |      |      |      |      | hing |      |      | Army |     |     |     |     |     |     |
| ents |      |      |      |      | ton  |      |      |  (17 |     |     |     |     |     |     |
