+---------------------+---------------------+---------------------+--------------------+-----------+
| url                 | Fruit               | Fruit_link          | Amount             | Calories  |
+---------------------+---------------------+---------------------+--------------------+-----------+
| https://www.popsuga | Apples              | http://www.caloriek | 2 extra small      | 105       |
| r.com/fitness/Calor |                     | ing.com/foods/calor |                    |           |
| ies-Fresh-          |                     | ies-in-fresh-       |                    |           |
| Fruit-8500460       |                     | fruits-apples-with- |                    |           |
|                     |                     | skin-raw_f-Y2lkPTM3 |                    |           |
|                     |                     | MDY4JmJpZD0xJmZpZD0 |                    |           |
|                     |                     | 2Mzg3OCZlaWQ9NTU5Mj |                    |           |
|                     |                     | U4ODQ4JnBvcz0xJnBhc |                    |           |
|                     |                     | j0ma2V5PWFwcGxlcw.h |                    |           |
|                     |                     | tml                 |                    |           |
+---------------------+---------------------+---------------------+--------------------+-----------+
| https://www.popsuga | Apricots            | http://www.caloriek | 6 whole            | 101       |
| r.com/fitness/Calor |                     | ing.com/foods/calor |                    |           |
| ies-Fresh-          |                     | ies-in-fresh-       |                    |           |
| Fruit-8500460       |                     | fruits-apricots-raw |                    |           |
|                     |                     | _f-Y2lkPTM3MDY4JmJp |                    |           |
|                     |                     | ZD0xJmZpZD02Mzg3NCZ |                    |           |
|                     |                     | laWQ9NTU5MjU5ODQzJn |                    |           |
|                     |                     | Bvcz0zJnBhcj0ma2V5P |                    |           |
|                     |                     | UFwcmljb3Rz.html    |                    |           |
+---------------------+---------------------+---------------------+--------------------+-----------+
| https://www.popsuga | Bananas             | http://www.caloriek | 1 medium           | 105       |
| r.com/fitness/Calor |                     | ing.com/foods/calor |                    |           |
| ies-Fresh-          |                     | ies-in-fresh-       |                    |           |
| Fruit-8500460       |                     | fruits-banana-raw_f |                    |           |
|                     |                     | -Y2lkPTM3MDY4JmJpZD |                    |           |
|                     |                     | 0xJmZpZD03MzMyOSZla |                    |           |
|                     |                     | WQ9NTU5MjYwMTIzJnBv |                    |           |
|                     |                     | cz0xJnBhcj0ma2V5PUJ |                    |           |
|                     |                     | hbmFuYXM.html       |                    |           |
+---------------------+---------------------+---------------------+--------------------+-----------+
