+---------+------+---------+---------+-------+--------+--------+--------+--------+--------+--------+
| url     | Rank | Name    | Review_ | Price | Catego | Neighb | Addres | Addres | Phone_ | Snippe |
|         |      |         | Count   |       | ry_Lis | orhood | s_1    | s_2    | Number | t      |
|         |      |         |         |       | t_Text |        |        |        |        |        |
+---------+------+---------+---------+-------+--------+--------+--------+--------+--------+--------+
| https:/ | Ad   | Tucanos | 313     | $$    | Buffet | St Cha | 1520 S | St. Ch | (636)  | I was  |
| /www.ye |      | Brazili | reviews |       | s, Bra | rles   | 5th St | arles, | 724-44 | very h |
| lp.com/ |      | an      |         |       | zilian |        |        | MO     | 99     | esitan |
| search? |      | Grill   |         |       |        |        |        | 63303  |        | t to   |
| find_de |      |         |         |       |        |        |        |        |        | go     |
| sc=Vega |      |         |         |       |        |        |        |        |        | here   |
| n+Resta |      |         |         |       |        |        |        |        |        | so     |
| urants& |      |         |         |       |        |        |        |        |        | soon   |
| find_lo |      |         |         |       |        |        |        |        |        | after  |
| c=St+Ch |      |         |         |       |        |        |        |        |        | they   |
| arles%2 |      |         |         |       |        |        |        |        |        | opened |
| C+Saint |      |         |         |       |        |        |        |        |        | after  |
| +Louis% |      |         |         |       |        |        |        |        |        | readin |
| 2C+MO   |      |         |         |       |        |        |        |        |        | g all  |
|         |      |         |         |       |        |        |        |        |        | the re |
|         |      |         |         |       |        |        |        |        |        | views  |
|         |      |         |         |       |        |        |        |        |        | but de |
|         |      |         |         |       |        |        |        |        |        | cided  |
|         |      |         |         |       |        |        |        |        |        | to     |
|         |      |         |         |       |        |        |        |        |        | take a |
|         |      |         |         |       |        |        |        |        |        | chance |
|         |      |         |         |       |        |        |        |        |        | last F |
|         |      |         |         |       |        |        |        |        |        | riday. |
|         |      |         |         |       |        |        |        |        |        | We did |
|         |      |         |         |       |        |        |        |        |        | not    |
|         |      |         |         |       |        |        |        |        |        | have r |
|         |      |         |         |       |        |        |        |        |        | eserva |
|         |      |         |         |       |        |        |        |        |        | tions  |
|         |      |         |         |       |        |        |        |        |        | and    |
|         |      |         |         |       |        |        |        |        |        | were   |
|         |      |         |         |       |        |        |        |        |        | told   |
|         |      |         |         |       |        |        |        |        |        | it     |
|         |      |         |         |       |        |        |        |        |        | would… |
|         |      |         |         |       |        |        |        |        |        | read   |
