+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| url    | Rank | Mounta | Height | Height | Promi | Range | Coord | Paren | First | Ascen | Count |
|        |      | in     | _[m]   | _[ft]  | nence |       | inate | t_Mou | _Asce | ts_(f | ry    |
|        |      |        |        |        | _[m]  |       | s     | ntain | nt    | ailed |       |
|        |      |        |        |        |       |       |       |       |       | _atte |       |
|        |      |        |        |        |       |       |       |       |       | mpts) |       |
|        |      |        |        |        |       |       |       |       |       | _bef. |       |
|        |      |        |        |        |       |       |       |       |       | _2004 |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 1    | Mount  | 8,848[ | 29,029 | 8,848 | Mahal | 27°59 | none  | 1953  | >>145 | Nepal |
| //en.w |      | Everes | 8]     |        |       | angur | ′17″N |       |       | (121) | •     |
| ikiped |      | t /    |        |        |       | Himal | 86°55 |       |       |       | China |
| ia.org |      |  Sagar |        |        |       | aya   | ′31″E |       |       |       |       |
| /wiki/ |      | matha  |        |        |       |       | / 27. |       |       |       |       |
| List_o |      | /      |        |        |       |       | 98806 |       |       |       |       |
| f_high |      |  Chomo |        |        |       |       | °N 86 |       |       |       |       |
| est_mo |      | lungma |        |        |       |       | .9252 |       |       |       |       |
| untain |      |        |        |        |       |       | 8°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 27.98 |       |       |       |       |
| arth   |      |        |        |        |       |       | 806;  |       |       |       |       |
|        |      |        |        |        |       |       | 86.92 |       |       |       |       |
|        |      |        |        |        |       |       | 528   |       |       |       |       |
|        |      |        |        |        |       |       | (1.   |       |       |       |       |
|        |      |        |        |        |       |       | Mount |       |       |       |       |
|        |      |        |        |        |       |       | Evere |       |       |       |       |
|        |      |        |        |        |       |       | st /  |       |       |       |       |
|        |      |        |        |        |       |       | Sagar |       |       |       |       |
|        |      |        |        |        |       |       | matha |       |       |       |       |
|        |      |        |        |        |       |       | / Cho |       |       |       |       |
|        |      |        |        |        |       |       | molun |       |       |       |       |
|        |      |        |        |        |       |       | gma   |       |       |       |       |
|        |      |        |        |        |       |       | (8848 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 2    | K2 /   | 8,611  | 28,251 | 4,020 | Balto | 35°52 | Mount | 1954  | 45    | Pakis |
| //en.w |      | Qogir  |        |        |       | ro Ka | ′53″N | Evere |       | (44)  | tan[d |
| ikiped |      | /      |        |        |       | rakor | 76°30 | st    |       |       | p 1]  |
| ia.org |      | Godwin |        |        |       | am    | ′48″E |       |       |       | • Chi |
| /wiki/ |      | Austen |        |        |       |       | / 35. |       |       |       | na[dp |
| List_o |      |        |        |        |       |       | 88139 |       |       |       | 2]    |
| f_high |      |        |        |        |       |       | °N 76 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .5133 |       |       |       |       |
| untain |      |        |        |        |       |       | 3°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.88 |       |       |       |       |
| arth   |      |        |        |        |       |       | 139;  |       |       |       |       |
|        |      |        |        |        |       |       | 76.51 |       |       |       |       |
|        |      |        |        |        |       |       | 333   |       |       |       |       |
|        |      |        |        |        |       |       | (2.   |       |       |       |       |
|        |      |        |        |        |       |       | K2 /  |       |       |       |       |
|        |      |        |        |        |       |       | Qogir |       |       |       |       |
