+--------------+--------+--------------+--------------+--------------+--------------+--------------+
| url          | Date   | Date_link    | Location     | Location_lin | City         | City_link    |
|              |        |              |              | k            |              |              |
+--------------+--------+--------------+--------------+--------------+--------------+--------------+
| https://redp | May 12 | https://www. | Estadio      | https://www. | Guadalajara, | https://www. |
| illbluestour |        | bandsintown. | Akron        | bandsintown. | Mexico       | bandsintown. |
| .maroon5.com |        | com/e/219461 |              | com/e/219461 |              | com/e/219461 |
| /            |        | 92?app_id=js |              | 92?app_id=js |              | 92?app_id=js |
|              |        | _redpillblue |              | _redpillblue |              | _redpillblue |
|              |        | stour.maroon |              | stour.maroon |              | stour.maroon |
|              |        | 5.com&came_f |              | 5.com&came_f |              | 5.com&came_f |
|              |        | rom=242&affi |              | rom=242&affi |              | rom=242&affi |
|              |        | l_code=js_re |              | l_code=js_re |              | l_code=js_re |
|              |        | dpillbluesto |              | dpillbluesto |              | dpillbluesto |
|              |        | ur.maroon5.c |              | ur.maroon5.c |              | ur.maroon5.c |
|              |        | om           |              | om           |              | om           |
+--------------+--------+--------------+--------------+--------------+--------------+--------------+
| https://redp | May 30 | https://www. | Tacoma Dome  | https://www. | Tacoma, WA   | https://www. |
| illbluestour |        | bandsintown. |              | bandsintown. |              | bandsintown. |
| .maroon5.com |        | com/e/202440 |              | com/e/202440 |              | com/e/202440 |
| /            |        | 47?app_id=js |              | 47?app_id=js |              | 47?app_id=js |
|              |        | _redpillblue |              | _redpillblue |              | _redpillblue |
|              |        | stour.maroon |              | stour.maroon |              | stour.maroon |
|              |        | 5.com&came_f |              | 5.com&came_f |              | 5.com&came_f |
|              |        | rom=242&affi |              | rom=242&affi |              | rom=242&affi |
|              |        | l_code=js_re |              | l_code=js_re |              | l_code=js_re |
|              |        | dpillbluesto |              | dpillbluesto |              | dpillbluesto |
|              |        | ur.maroon5.c |              | ur.maroon5.c |              | ur.maroon5.c |
|              |        | om           |              | om           |              | om           |
+--------------+--------+--------------+--------------+--------------+--------------+--------------+
| https://redp | Jun 01 | https://www. | Oracle Arena | https://www. | Oakland, CA  | https://www. |
| illbluestour |        | bandsintown. |              | bandsintown. |              | bandsintown. |
| .maroon5.com |        | com/e/202440 |              | com/e/202440 |              | com/e/202440 |
| /            |        | 49?app_id=js |              | 49?app_id=js |              | 49?app_id=js |
|              |        | _redpillblue |              | _redpillblue |              | _redpillblue |
|              |        | stour.maroon |              | stour.maroon |              | stour.maroon |
|              |        | 5.com&came_f |              | 5.com&came_f |              | 5.com&came_f |
|              |        | rom=242&affi |              | rom=242&affi |              | rom=242&affi |
|              |        | l_code=js_re |              | l_code=js_re |              | l_code=js_re |
|              |        | dpillbluesto |              | dpillbluesto |              | dpillbluesto |
|              |        | ur.maroon5.c |              | ur.maroon5.c |              | ur.maroon5.c |
|              |        | om           |              | om           |              | om           |
+--------------+--------+--------------+--------------+--------------+--------------+--------------+
| https://redp | Jun 02 | https://www. | Golden 1     | https://www. | Sacramento,  | https://www. |
| illbluestour |        | bandsintown. | Center       | bandsintown. | CA           | bandsintown. |
| .maroon5.com |        | com/e/202440 |              | com/e/202440 |              | com/e/202440 |
| /            |        | 50?app_id=js |              | 50?app_id=js |              | 50?app_id=js |
|              |        | _redpillblue |              | _redpillblue |              | _redpillblue |
|              |        | stour.maroon |              | stour.maroon |              | stour.maroon |
|              |        | 5.com&came_f |              | 5.com&came_f |              | 5.com&came_f |
|              |        | rom=242&affi |              | rom=242&affi |              | rom=242&affi |
|              |        | l_code=js_re |              | l_code=js_re |              | l_code=js_re |
|              |        | dpillbluesto |              | dpillbluesto |              | dpillbluesto |
|              |        | ur.maroon5.c |              | ur.maroon5.c |              | ur.maroon5.c |
|              |        | om           |              | om           |              | om           |
+--------------+--------+--------------+--------------+--------------+--------------+--------------+
| https://redp | Jun 04 | https://www. | The Forum    | https://www. | Inglewood,   | https://www. |
| illbluestour |        | bandsintown. |              | bandsintown. | CA           | bandsintown. |
| .maroon5.com |        | com/e/202440 |              | com/e/202440 |              | com/e/202440 |
| /            |        | 51?app_id=js |              | 51?app_id=js |              | 51?app_id=js |
|              |        | _redpillblue |              | _redpillblue |              | _redpillblue |
|              |        | stour.maroon |              | stour.maroon |              | stour.maroon |
|              |        | 5.com&came_f |              | 5.com&came_f |              | 5.com&came_f |
|              |        | rom=242&affi |              | rom=242&affi |              | rom=242&affi |
|              |        | l_code=js_re |              | l_code=js_re |              | l_code=js_re |
|              |        | dpillbluesto |              | dpillbluesto |              | dpillbluesto |
|              |        | ur.maroon5.c |              | ur.maroon5.c |              | ur.maroon5.c |
|              |        | om           |              | om           |              | om           |
+--------------+--------+--------------+--------------+--------------+--------------+--------------+
| https://redp | Jun 05 | https://www. | The Forum    | https://www. | Inglewood,   | https://www. |
| illbluestour |        | bandsintown. |              | bandsintown. | CA           | bandsintown. |
| .maroon5.com |        | com/e/203608 |              | com/e/203608 |              | com/e/203608 |
| /            |        | 31?app_id=js |              | 31?app_id=js |              | 31?app_id=js |
|              |        | _redpillblue |              | _redpillblue |              | _redpillblue |
|              |        | stour.maroon |              | stour.maroon |              | stour.maroon |
|              |        | 5.com&came_f |              | 5.com&came_f |              | 5.com&came_f |
|              |        | rom=242&affi |              | rom=242&affi |              | rom=242&affi |
|              |        | l_code=js_re |              | l_code=js_re |              | l_code=js_re |
|              |        | dpillbluesto |              | dpillbluesto |              | dpillbluesto |
|              |        | ur.maroon5.c |              | ur.maroon5.c |              | ur.maroon5.c |
|              |        | om           |              | om           |              | om           |
+--------------+--------+--------------+--------------+--------------+--------------+--------------+
| https://redp | Jun 07 | https://www. | Talking      | https://www. | Phoenix, AZ  | https://www. |
| illbluestour |        | bandsintown. | Stick Resort | bandsintown. |              | bandsintown. |
| .maroon5.com |        | com/e/202440 | Arena        | com/e/202440 |              | com/e/202440 |
| /            |        | 52?app_id=js |              | 52?app_id=js |              | 52?app_id=js |
|              |        | _redpillblue |              | _redpillblue |              | _redpillblue |
|              |        | stour.maroon |              | stour.maroon |              | stour.maroon |
|              |        | 5.com&came_f |              | 5.com&came_f |              | 5.com&came_f |
|              |        | rom=242&affi |              | rom=242&affi |              | rom=242&affi |
|              |        | l_code=js_re |              | l_code=js_re |              | l_code=js_re |
|              |        | dpillbluesto |              | dpillbluesto |              | dpillbluesto |
|              |        | ur.maroon5.c |              | ur.maroon5.c |              | ur.maroon5.c |
|              |        | om           |              | om           |              | om           |
+--------------+--------+--------------+--------------+--------------+--------------+--------------+
| https://redp | Jun 09 | https://www. | American     | https://www. | Dallas, TX   | https://www. |
| illbluestour |        | bandsintown. | Airlines     | bandsintown. |              | bandsintown. |
| .maroon5.com |        | com/e/202433 | Arena        | com/e/202433 |              | com/e/202433 |
| /            |        | 07?app_id=js |              | 07?app_id=js |              | 07?app_id=js |
|              |        | _redpillblue |              | _redpillblue |              | _redpillblue |
|              |        | stour.maroon |              | stour.maroon |              | stour.maroon |
|              |        | 5.com&came_f |              | 5.com&came_f |              | 5.com&came_f |
|              |        | rom=242&affi |              | rom=242&affi |              | rom=242&affi |
|              |        | l_code=js_re |              | l_code=js_re |              | l_code=js_re |
|              |        | dpillbluesto |              | dpillbluesto |              | dpillbluesto |
