+---------+---------+---------+---------+---------+---------+--------+---------+---------+---------+
| url     | Image   | Image_a | Image_l | Name    | Descrip | Rating | Rating_ | Rating_ | Actor   |
|         |         | lt      | ink     |         | tion    |        | Count   | Count_l |         |
|         |         |         |         |         |         |        |         | ink     |         |
+---------+---------+---------+---------+---------+---------+--------+---------+---------+---------+
| http:// | https:/ | Cloverf | http:// | Cloverf | A group | 7      | 332,340 | http:// | Lizzy   |
| www.imd | /images | ield    | www.imd | ield    | of      |        |         | www.imd | Caplan; |
| b.com/t | -       | Poster; | b.com/t | (2008)  | friends |        |         | b.com/t | Jessica |
| itle/tt | na.ssl- | Trailer | itle/tt |         | venture |        |         | itle/tt | Lucas;  |
| 1060277 | images- | ; ;     | 1060277 |         | deep    |        |         | 1060277 | T.J.    |
| /       | amazon. | Search  | /mediav |         | into    |        |         | /rating | Miller; |
|         | com/ima | for "Cl | iewer/r |         | the     |        |         | s?ref_= | Michael |
|         | ges/M/M | overfie | m282251 |         | streets |        |         | tt_ov_r | Stahl-  |
|         | V5BZDNh | ld" on  | 0848?re |         | of New  |        |         | t       | David;  |
|         | NDJlNDk | Amazon. | f_=tt_o |         | York on |        |         |         | Mike    |
|         | tZDI4OC | com;    | v_i; ht |         | a       |        |         |         | Vogel;  |
|         | 00OTE3L | Odette  | tp://ww |         | rescue  |        |         |         | Odette  |
|         | WI2M2Ut | Annable | w.imdb. |         | mission |        |         |         | Annable |
|         | OThkNTF | and Ben | com/vid |         | during  |        |         |         | ; Anjul |
|         | kNjBjYz | Feldman | eo/imdb |         | a rampa |        |         |         | Nigam;  |
|         | RmXkEyX | in Clov | /vi7877 |         | ging    |        |         |         | Margot  |
|         | kFqcGde | erfield | 4553?pl |         | monster |        |         |         | Farley; |
|         | QXVyNTA | (2008); | aylistI |         | attack. |        |         |         | Theo    |
|         | 4NzY1Mz | Mike    | d=tt106 |         | ; Clove |        |         |         | Rossi;  |
|         | Y@._V1_ | Vogel   | 0277&re |         | rfield  |        |         |         | Brian K |
|         | UX182_C | and     | f_=tt_o |         | follows |        |         |         | lugman; |
|         | R0,0,18 | Michael | v_vi; h |         | five    |        |         |         | Kelvin  |
|         | 2,268_A | Stahl-  | ttp://w |         | New     |        |         |         | Yu;     |
|         | L_.jpg; | David   | ww.imdb |         | Yorkers |        |         |         | Liza    |
|         | https:/ | in Clov | .com/os |         | from    |        |         |         | Lapira; |
|         | /images | erfield | cars/20 |         | the per |        |         |         | Lili Mi |
|         | -       | (2008); | 18-red- |         | spectiv |        |         |         | rojnick |
|         | na.ssl- | Michael | carpet- |         | e of a  |        |         |         | ; Ben F |
|         | images- | Stahl-  | photos/ |         | hand-   |        |         |         | eldman; |
|         | amazon. | David   | rg11011 |         | held    |        |         |         | Elena   |
|         | com/ima | in Clov | 75552/m |         | video   |        |         |         | Caruso  |
|         | ges/M/M | erfield | ediavie |         | camera. |        |         |         |         |
|         | V5BMTQz | (2008); | wer/rm1 |         | The     |        |         |         |         |
|         | MDI2OTk | Cloverf | 9733107 |         | movie   |        |         |         |         |
|         | 5NF5BMl | ield    | 20?pf_r |         | is      |        |         |         |         |
|         | 5BanBnX | (2008); | d_m=A2F |         | exactly |        |         |         |         |
|         | kFtZTgw | J.J.    | GELUUNO |         | the     |        |         |         |         |
|         | ODI1Nzc | Abrams  | QJNL&pf |         | length  |        |         |         |         |
|         | yMzE@._ | and     | _rd_p=0 |         | of a DV |        |         |         |         |
|         | V1_UX47 | Lizzy   | dc5c36b |         | Tape    |        |         |         |         |
|         | 7_CR0,0 | Caplan  | -4b30-4 |         | and a   |        |         |         |         |
|         | ,477,26 | in Clov | 6c2-92f |         | sub-    |        |         |         |         |
|         | 8_AL_.j | erfield | 4-be2f2 |         | plot is |        |         |         |         |
|         | pg; htt | (2008); | cecde6d |         | establi |        |         |         |         |
|         | ps://im | Lizzy   | &pf_rd_ |         | shed by |        |         |         |         |
