+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| url   | Count | Count | Popul | Yearl | Net_C | Densi | Land_ | Migr | Fert | Med_ | Urba | Worl |
|       | ry    | ry_li | ation | y_Cha | hange | ty_Pk | Area_ | ants | _Rat | Age  | n_Po | d_Sh |
|       |       | nk    |       | nge   |       | _M    | (km)  | _Net | e    |      | p    | are  |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| http: | China | http: | 1,415 | 0.39  | 5,528 | 151   | 9,388 | -339 | 1.60 | 37   | 58 % | 18.5 |
| //www |       | //www | ,045, | %     | ,531  |       | ,211  | ,690 | 0    |      |      | 4 %  |
| .worl |       | .worl | 928   |       |       |       |       |      |      |      |      |      |
| domet |       | domet |       |       |       |       |       |      |      |      |      |      |
| ers.i |       | ers.i |       |       |       |       |       |      |      |      |      |      |
| nfo/w |       | nfo/w |       |       |       |       |       |      |      |      |      |      |
| orld- |       | orld- |       |       |       |       |       |      |      |      |      |      |
| popul |       | popul |       |       |       |       |       |      |      |      |      |      |
| ation |       | ation |       |       |       |       |       |      |      |      |      |      |
| /popu |       | /chin |       |       |       |       |       |      |      |      |      |      |
| latio |       | a-pop |       |       |       |       |       |      |      |      |      |      |
| n-by- |       | ulati |       |       |       |       |       |      |      |      |      |      |
| count |       | on/   |       |       |       |       |       |      |      |      |      |      |
| ry/   |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| http: | India | http: | 1,354 | 1.11  | 14,87 | 455   | 2,973 | -515 | 2.40 | 27   | 32 % | 17.7 |
| //www |       | //www | ,051, | %     | 1,727 |       | ,190  | ,643 | 0    |      |      | 4 %  |
| .worl |       | .worl | 854   |       |       |       |       |      |      |      |      |      |
| domet |       | domet |       |       |       |       |       |      |      |      |      |      |
| ers.i |       | ers.i |       |       |       |       |       |      |      |      |      |      |
| nfo/w |       | nfo/w |       |       |       |       |       |      |      |      |      |      |
| orld- |       | orld- |       |       |       |       |       |      |      |      |      |      |
