+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| url        | Product    | Product_li | Price     | Store     | Reviews   | Reviews_l | Descripti |
|            |            | nk         |           |           |           | ink       | on        |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://ww | Original   | https://ww | $12.99    | from 2    |           |           | Will your |
| w.google.c | Fallout    | w.google.c |           | stores    |           |           | character |
| om/search? | Post       | om/shoppin |           |           |           |           | stand up  |
| q=where+ca | Nuclear    | g/product/ |           |           |           |           | to        |
| n+I+but+Fa | (RPG PC    | 1268502342 |           |           |           |           | thepost   |
| llout%3F&s | Game)      | 8233258684 |           |           |           |           | nuclear   |
| ource=lnms |            | ?q=where+c |           |           |           |           | test? The |
| &tbm=shop& |            | an+I+but+F |           |           |           |           | bombs     |
| sa=X&ved=0 |            | allout?biw |           |           |           |           | dropped   |
| ahUKEwistd |            | =1291&bih= |           |           |           |           | 80 years  |
| nFz8TaAhUs |            | 610&prds=p |           |           |           |           | ago. -    |
| Ut8KHZqDCC |            | aur:ClkAsK |           |           |           |           | Survivors |
| gQ_AUICigB |            | raX-gFbSwg |           |           |           |           | huddle in |
| &biw=1291& |            | 4OEmSpFT_L |           |           |           |           | an underg |
| bih=610    |            | MjdYdwUlQo |           |           |           |           | round ... |
|            |            | U2vwWSpssk |           |           |           |           |           |
|            |            | PK9Ie4jw06 |           |           |           |           |           |
|            |            | TGFzN-9pfN |           |           |           |           |           |
|            |            | tJhfsDSZHD |           |           |           |           |           |
|            |            | nmQUY10M1I |           |           |           |           |           |
|            |            | k8qRwnUYBI |           |           |           |           |           |
|            |            | tSo2ZE9z6V |           |           |           |           |           |
|            |            | r1WjbX8-3K |           |           |           |           |           |
|            |            | 4k3NNhIZAF |           |           |           |           |           |
|            |            | PVH72ydtrU |           |           |           |           |           |
|            |            | kWrGMZ47wL |           |           |           |           |           |
|            |            | LhwbY_aHnV |           |           |           |           |           |
|            |            | vA&sa=X&ve |           |           |           |           |           |
|            |            | d=0ahUKEwi |           |           |           |           |           |
|            |            | 12O3h0MTaA |           |           |           |           |           |
|            |            | hURi6wKHVJ |           |           |           |           |           |
|            |            | CAZkQ8wII- |           |           |           |           |           |
|            |            | gI         |           |           |           |           |           |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://ww | OGX Anti-  | https://ww | $5.99     | from 10+  | 106       | https://w | Beauty    |
| w.google.c | Hair       | w.google.c |           | stores    | product   | ww.google | pure and  |
| om/search? | Fallout    | om/shoppin |           |           | reviews   | .com/shop | simple.   |
| q=where+ca | Niacin3 &  | g/product/ |           |           |           | ping/prod | Stimulate |
| n+I+but+Fa | Caffeine C | 9886163611 |           |           |           | uct/98861 | your      |
| llout%3F&s | onditioner | 487871133? |           |           |           | 636114878 | scalp by  |
| ource=lnms | - 13 oz    | q=where+ca |           |           |           | 71133?q=w | massaging |
| &tbm=shop& | bottle     | n+I+but+Fa |           |           |           | here+can+ | this      |
| sa=X&ved=0 |            | llout?biw= |           |           |           | I+but+Fal | powerful  |
| ahUKEwistd |            | 1291&bih=6 |           |           |           | lout?biw= | blend     |
| nFz8TaAhUs |            | 10&prds=pa |           |           |           | 1291&bih= | with      |
| Ut8KHZqDCC |            | ur:ClkAsKr |           |           |           | 610&prds= | niacin3 + |
| gQ_AUICigB |            | aX530iEnfS |           |           |           | hsec:revi | caffeine, |
| &biw=1291& |            | 8PvBiy9fDN |           |           |           | ews,paur: | alpha     |
