+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| url       | Number | Number_li | Presiden | Name     | Prior_of | Party    | Term     | Vice_Pre |
|           |        | nk        | cy       |          | fice     |          |          | sident   |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 1      | https://e | April    | George W | Commande | Unaffili | (1788–89 | John     |
| n.wikiped |        | n.wikiped | 30, 1789 | ashingto | r-in-    | ated     | )        | Adams    |
| ia.org/wi |        | ia.org/wi |  [e]     | n        | Chief    |  [2]     |  1       |  [f][g]  |
| ki/List_o |        | ki/Presid |  –       |  1732–17 |  of the  |          |  (1789)  |          |
| f_Preside |        | ency_of_G |  March   | 99       |  Contine |          |          |          |
| nts_of_th |        | eorge_Was | 4, 1797  |  (Lived: | ntal     |          |          |          |
| e_United_ |        | hington   |          | 67       | Army     |          |          |          |
| States#Pr |        |           |          | years)   |  (1775–1 |          |          |          |
| esidents  |        |           |          |  [3][4][ | 783)     |          |          |          |
|           |        |           |          | 5]       |          |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 1      | https://e | April    | George W | Commande |          | (1792)   | John     |
| n.wikiped |        | n.wikiped | 30, 1789 | ashingto | r-in-    |          |  2       | Adams    |
| ia.org/wi |        | ia.org/wi |  [e]     | n        | Chief    |          |  (1793)  |  [f][g]  |
| ki/List_o |        | ki/Presid |  –       |  1732–17 |  of the  |          |          |          |
| f_Preside |        | ency_of_G |  March   | 99       |  Contine |          |          |          |
| nts_of_th |        | eorge_Was | 4, 1797  |  (Lived: | ntal     |          |          |          |
| e_United_ |        | hington   |          | 67       | Army     |          |          |          |
| States#Pr |        |           |          | years)   |  (1775–1 |          |          |          |
| esidents  |        |           |          |  [3][4][ | 783)     |          |          |          |
|           |        |           |          | 5]       |          |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 2      | https://e | March 4, | John     | 1st      | Federali | (1796)   | Thomas J |
| n.wikiped |        | n.wikiped | 1797     | Adams    |  Vice Pr | st       |  3       | efferson |
| ia.org/wi |        | ia.org/wi |  –       |  1735–18 | esident  |          |  (1797)  |  [h]     |
| ki/List_o |        | ki/Presid |  March   | 26       | of the   |          |          |          |
| f_Preside |        | ency_of_J | 4, 1801  |  (Lived: | United   |          |          |          |
| nts_of_th |        | ohn_Adams |          | 90       | States;  |          |          |          |
| e_United_ |        |           |          | years)   | 1st      |          |          |          |
