+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| url   | Rank | Mall_ | Mall_ | Locat | Locat | Metro | Metro | Retai | Stor | Anch | Year | Owne |
|       |      | Name  | Name_ | ion   | ion_l | _Area | _Area | l_Spa | es   | or_S | _Ope | rshi |
|       |      |       | link  |       | ink   |       | _link | ce_(s |      | tore | ned  | p    |
|       |      |       |       |       |       |       |       | q._ft |      | s/En |      |      |
|       |      |       |       |       |       |       |       | _/_m^ |      | tert |      |      |
|       |      |       |       |       |       |       |       | s)    |      | ainm |      |      |
|       |      |       |       |       |       |       |       |       |      | ent_ |      |      |
|       |      |       |       |       |       |       |       |       |      | Venu |      |      |
|       |      |       |       |       |       |       |       |       |      | es   |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 1    | King  | https | King  | https | Phila | https | 2,900 | 450; | Macy | 1963 | King |
| ://en |      | of Pr | ://en | of Pr | ://en | delph | ://en | ,000  | 450  | 's,  |      | of P |
| .wiki |      | ussia | .wiki | ussia | .wiki | ia    | .wiki | squar |      | Nord |      | russ |
| pedia |      |       | pedia | , Pen | pedia |       | pedia | e     |      | stro |      | ia A |
| .org/ |      |       | .org/ | nsylv | .org/ |       | .org/ | feet  |      | m, P |      | ssoc |
| wiki/ |      |       | wiki/ | ania  | wiki/ |       | wiki/ | (270, |      | rima |      | iate |
| List_ |      |       | King_ |       | King_ |       | Phila | 000 m |      | rk,  |      | s, S |
| of_la |      |       | of_Pr |       | of_Pr |       | delph |       |      | Dick |      | imon |
| rgest |      |       | ussia |       | ussia |       | ia    |       |      | 's S |      | Prop |
| _shop |      |       | _Mall |       | ,_Pen |       |       |       |      | port |      | erty |
| ping_ |      |       |       |       | nsylv |       |       |       |      | ing  |      | Grou |
| malls |      |       |       |       | ania  |       |       |       |      | Good |      | p    |
| _in_t |      |       |       |       |       |       |       |       |      | s, B |      |      |
| he_Un |      |       |       |       |       |       |       |       |      | loom |      |      |
| ited_ |      |       |       |       |       |       |       |       |      | ingd |      |      |
| State |      |       |       |       |       |       |       |       |      | ale' |      |      |
| s     |      |       |       |       |       |       |       |       |      | s,   |      |      |
|       |      |       |       |       |       |       |       |       |      | Lord |      |      |
|       |      |       |       |       |       |       |       |       |      | & Ta |      |      |
|       |      |       |       |       |       |       |       |       |      | ylor |      |      |
|       |      |       |       |       |       |       |       |       |      | , Ne |      |      |
|       |      |       |       |       |       |       |       |       |      | iman |      |      |
|       |      |       |       |       |       |       |       |       |      | Marc |      |      |
|       |      |       |       |       |       |       |       |       |      | us   |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 2    | Avent | https | Avent | https | Miami | https | 2,700 | 300+ | Nord | 1983 | Turn |
| ://en |      | ura   | ://en | ura,  | ://en |       | ://en | ,000  | [3]; | stro |      | berr |
| .wiki |      | Mall  | .wiki | Flori | .wiki |       | .wiki | squar | 300+ | m, B |      | y As |
| pedia |      |       | pedia | da    | pedia |       | pedia | e     |      | loom |      | soci |
| .org/ |      |       | .org/ |       | .org/ |       | .org/ | feet  |      | ingd |      | ates |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (250, |      | ale’ |      | , Si |
| List_ |      |       | Avent |       | Avent |       | Miami | 000 m |      | s, M |      | mon  |
| of_la |      |       | ura_M |       | ura,_ |       |       |       |      | acy' |      | Prop |
| rgest |      |       | all   |       | Flori |       |       |       |      | s (2 |      | erty |
| _shop |      |       |       |       | da    |       |       |       |      | Stor |      | Grou |
| ping_ |      |       |       |       |       |       |       |       |      | es), |      | p    |
| malls |      |       |       |       |       |       |       |       |      | JCPe |      |      |
| _in_t |      |       |       |       |       |       |       |       |      | nney |      |      |
| he_Un |      |       |       |       |       |       |       |       |      | ,    |      |      |
| ited_ |      |       |       |       |       |       |       |       |      | AMC  |      |      |
| State |      |       |       |       |       |       |       |       |      | Thea |      |      |
| s     |      |       |       |       |       |       |       |       |      | ters |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 3    | Mall  | https | Bloom | https | Minne | https | 2,500 | 500; | Macy | 1992 | Trip |
| ://en |      | of Am | ://en | ingto | ://en | apoli | ://en | ,000  | 500  | 's,  |      | le   |
| .wiki |      | erica | .wiki | n, Mi | .wiki | s     | .wiki | squar |      | Sear |      | Five |
| pedia |      |       | pedia | nneso | pedia |       | pedia | e     |      | s, N |      | Grou |
| .org/ |      |       | .org/ | ta    | .org/ |       | .org/ | feet  |      | ords |      | p    |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (230, |      | trom |      |      |
| List_ |      |       | Mall_ |       | Bloom |       | Minne | 000 m |      | (Rac |      |      |
| of_la |      |       | of_Am |       | ingto |       | apoli |       |      | k),  |      |      |
| rgest |      |       | erica |       | n,_Mi |       | s     |       |      | Best |      |      |
| _shop |      |       |       |       | nneso |       |       |       |      | Buy, |      |      |
| ping_ |      |       |       |       | ta    |       |       |       |      | Fore |      |      |
| malls |      |       |       |       |       |       |       |       |      | ver2 |      |      |
| _in_t |      |       |       |       |       |       |       |       |      | 1, M |      |      |
| he_Un |      |       |       |       |       |       |       |       |      | arsh |      |      |
| ited_ |      |       |       |       |       |       |       |       |      | all' |      |      |
| State |      |       |       |       |       |       |       |       |      | s, N |      |      |
| s     |      |       |       |       |       |       |       |       |      | icke |      |      |
|       |      |       |       |       |       |       |       |       |      | lode |      |      |
|       |      |       |       |       |       |       |       |       |      | on U |      |      |
|       |      |       |       |       |       |       |       |       |      | nive |      |      |
|       |      |       |       |       |       |       |       |       |      | rse, |      |      |
|       |      |       |       |       |       |       |       |       |      | LEGO |      |      |
|       |      |       |       |       |       |       |       |       |      | Worl |      |      |
|       |      |       |       |       |       |       |       |       |      | d, A |      |      |
|       |      |       |       |       |       |       |       |       |      | meri |      |      |
|       |      |       |       |       |       |       |       |       |      | can  |      |      |
|       |      |       |       |       |       |       |       |       |      | Girl |      |      |
|       |      |       |       |       |       |       |       |       |      | ,    |      |      |
|       |      |       |       |       |       |       |       |       |      | Sea  |      |      |
|       |      |       |       |       |       |       |       |       |      | Life |      |      |
|       |      |       |       |       |       |       |       |       |      | Minn |      |      |
|       |      |       |       |       |       |       |       |       |      | esot |      |      |
|       |      |       |       |       |       |       |       |       |      | a Aq |      |      |
|       |      |       |       |       |       |       |       |       |      | uari |      |      |
|       |      |       |       |       |       |       |       |       |      | um,  |      |      |
|       |      |       |       |       |       |       |       |       |      | FlyO |      |      |
|       |      |       |       |       |       |       |       |       |      | ver  |      |      |
|       |      |       |       |       |       |       |       |       |      | Amer |      |      |
|       |      |       |       |       |       |       |       |       |      | ica, |      |      |
|       |      |       |       |       |       |       |       |       |      | JW M |      |      |
|       |      |       |       |       |       |       |       |       |      | arri |      |      |
|       |      |       |       |       |       |       |       |       |      | ott, |      |      |
|       |      |       |       |       |       |       |       |       |      | Radi |      |      |
|       |      |       |       |       |       |       |       |       |      | sson |      |      |
|       |      |       |       |       |       |       |       |       |      | Blu  |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 4    | South | https | Costa | https | Los A | https | 2,600 | 280; | Macy | 1967 | Sege |
| ://en |      | Coast | ://en | Mesa, | ://en | ngele | ://en | ,000  | 280  | 's   |      | rstr |
| .wiki |      | Plaza | .wiki | Calif | .wiki | s     | .wiki | squar |      | (3 s |      | om f |
| pedia |      |       | pedia | ornia | pedia |       | pedia | e     |      | tore |      | amil |
| .org/ |      |       | .org/ |       | .org/ |       | .org/ | feet  |      | s –  |      | y    |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (240, |      | Main |      |      |
| List_ |      |       | South |       | Costa |       | Los_A | 000 m |      | , Me |      |      |
| of_la |      |       | _Coas |       | _Mesa |       | ngele |       |      | n's, |      |      |
| rgest |      |       | t_Pla |       | ,_Cal |       | s     |       |      | Home |      |      |
| _shop |      |       | za    |       | iforn |       |       |       |      | ), S |      |      |
| ping_ |      |       |       |       | ia    |       |       |       |      | ears |      |      |
| malls |      |       |       |       |       |       |       |       |      | , No |      |      |
| _in_t |      |       |       |       |       |       |       |       |      | rdst |      |      |
| he_Un |      |       |       |       |       |       |       |       |      | rom, |      |      |
| ited_ |      |       |       |       |       |       |       |       |      | Saks |      |      |
| State |      |       |       |       |       |       |       |       |      | Fift |      |      |
| s     |      |       |       |       |       |       |       |       |      | h Av |      |      |
|       |      |       |       |       |       |       |       |       |      | enue |      |      |
|       |      |       |       |       |       |       |       |       |      | , Bl |      |      |
|       |      |       |       |       |       |       |       |       |      | oomi |      |      |
|       |      |       |       |       |       |       |       |       |      | ngda |      |      |
|       |      |       |       |       |       |       |       |       |      | le's |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 5    | Del   | https | Torra | https | Los A | https | 2,600 | 200+ | Nord | 1961 | Simo |
| ://en |      | Amo F | ://en | nce,  | ://en | ngele | ://en | ,000  | ;    | stro |      | n Pr |
| .wiki |      | ashio | .wiki | Calif | .wiki | s     | .wiki | squar | 200+ | m, M |      | oper |
| pedia |      | n Cen | pedia | ornia | pedia |       | pedia | e     |      | acy' |      | ty G |
| .org/ |      | ter   | .org/ |       | .org/ |       | .org/ | feet  |      | s (2 |      | roup |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (240, |      | stor |      |      |
| List_ |      |       | Del_A |       | Torra |       | Los_A | 000 m |      | es – |      |      |
| of_la |      |       | mo_Fa |       | nce,_ |       | ngele |       |      | Main |      |      |
| rgest |      |       | shion |       | Calif |       | s_Cou |       |      | and  |      |      |
| _shop |      |       | _Cent |       | ornia |       | nty   |       |      | Men, |      |      |
| ping_ |      |       | er    |       |       |       |       |       |      | Home |      |      |
| malls |      |       |       |       |       |       |       |       |      | ,    |      |      |
| _in_t |      |       |       |       |       |       |       |       |      | and  |      |      |
| he_Un |      |       |       |       |       |       |       |       |      | Furn |      |      |
| ited_ |      |       |       |       |       |       |       |       |      | itur |      |      |
| State |      |       |       |       |       |       |       |       |      | e),  |      |      |
| s     |      |       |       |       |       |       |       |       |      | JCPe |      |      |
|       |      |       |       |       |       |       |       |       |      | nney |      |      |
|       |      |       |       |       |       |       |       |       |      | , Se |      |      |
|       |      |       |       |       |       |       |       |       |      | ars, |      |      |
|       |      |       |       |       |       |       |       |       |      | T.J. |      |      |
|       |      |       |       |       |       |       |       |       |      | Maxx |      |      |
|       |      |       |       |       |       |       |       |       |      | , Ma |      |      |
|       |      |       |       |       |       |       |       |       |      | rsha |      |      |
|       |      |       |       |       |       |       |       |       |      | lls, |      |      |
|       |      |       |       |       |       |       |       |       |      | Burl |      |      |
|       |      |       |       |       |       |       |       |       |      | ingt |      |      |
|       |      |       |       |       |       |       |       |       |      | on   |      |      |
|       |      |       |       |       |       |       |       |       |      | Coat |      |      |
|       |      |       |       |       |       |       |       |       |      | Fact |      |      |
|       |      |       |       |       |       |       |       |       |      | ory, |      |      |
|       |      |       |       |       |       |       |       |       |      | JO-  |      |      |
|       |      |       |       |       |       |       |       |       |      | ANN  |      |      |
|       |      |       |       |       |       |       |       |       |      | Fabr |      |      |
|       |      |       |       |       |       |       |       |       |      | ic   |      |      |
|       |      |       |       |       |       |       |       |       |      | and  |      |      |
|       |      |       |       |       |       |       |       |       |      | Craf |      |      |
|       |      |       |       |       |       |       |       |       |      | t,   |      |      |
|       |      |       |       |       |       |       |       |       |      | AMC  |      |      |
|       |      |       |       |       |       |       |       |       |      | Thea |      |      |
|       |      |       |       |       |       |       |       |       |      | ters |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 6    | Desti | https | Syrac | https | Syrac | https | 2,450 | 250+ | Macy | 1990 | The  |
| ://en |      | ny    | ://en | use,  | ://en | use   | ://en | ,000  | ;    | 's,  | (exp | Pyra |
| .wiki |      | USA   | .wiki | New   | .wiki |       | .wiki | squar | 250+ | JCPe | ande | mid  |
| pedia |      |       | pedia | York  | pedia |       | pedia | e     |      | nney | d in | Comp |
| .org/ |      |       | .org/ |       | .org/ |       | .org/ | feet  |      | ,    | 2012 | anie |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (228, |      | Best | whic | s    |
| List_ |      |       | Desti |       | Syrac |       | Syrac | 000 m |      | Buy, | h ad |      |
| of_la |      |       | ny_US |       | use,_ |       | use_m |       |      | Lord | ded  |      |
| rgest |      |       | A     |       | New_Y |       | etrop |       |      | & Ta | 40+  |      |
| _shop |      |       |       |       | ork   |       | olita |       |      | ylor | stor |      |
| ping_ |      |       |       |       |       |       | n_are |       |      | ,    | es)  |      |
| malls |      |       |       |       |       |       | a     |       |      | H&M, |      |      |
| _in_t |      |       |       |       |       |       |       |       |      | Dave |      |      |
| he_Un |      |       |       |       |       |       |       |       |      | & Bu |      |      |
| ited_ |      |       |       |       |       |       |       |       |      | ster |      |      |
| State |      |       |       |       |       |       |       |       |      | 's,  |      |      |
| s     |      |       |       |       |       |       |       |       |      | Off  |      |      |
|       |      |       |       |       |       |       |       |       |      | Broa |      |      |
|       |      |       |       |       |       |       |       |       |      | dway |      |      |
|       |      |       |       |       |       |       |       |       |      | Shoe |      |      |
|       |      |       |       |       |       |       |       |       |      | s, N |      |      |
|       |      |       |       |       |       |       |       |       |      | ords |      |      |
|       |      |       |       |       |       |       |       |       |      | trom |      |      |
|       |      |       |       |       |       |       |       |       |      | Rack |      |      |
|       |      |       |       |       |       |       |       |       |      | ,    |      |      |
|       |      |       |       |       |       |       |       |       |      | Saks |      |      |
|       |      |       |       |       |       |       |       |       |      | Off  |      |      |
|       |      |       |       |       |       |       |       |       |      | Fift |      |      |
|       |      |       |       |       |       |       |       |       |      | h,   |      |      |
|       |      |       |       |       |       |       |       |       |      | DSW  |      |      |
|       |      |       |       |       |       |       |       |       |      | Shoe |      |      |
|       |      |       |       |       |       |       |       |       |      | Ware |      |      |
|       |      |       |       |       |       |       |       |       |      | hous |      |      |
|       |      |       |       |       |       |       |       |       |      | e, D |      |      |
|       |      |       |       |       |       |       |       |       |      | ICK' |      |      |
|       |      |       |       |       |       |       |       |       |      | S Sp |      |      |
|       |      |       |       |       |       |       |       |       |      | orti |      |      |
|       |      |       |       |       |       |       |       |       |      | ng G |      |      |
|       |      |       |       |       |       |       |       |       |      | oods |      |      |
|       |      |       |       |       |       |       |       |       |      | , Fo |      |      |
|       |      |       |       |       |       |       |       |       |      | reve |      |      |
|       |      |       |       |       |       |       |       |       |      | r    |      |      |
|       |      |       |       |       |       |       |       |       |      | 21,  |      |      |
|       |      |       |       |       |       |       |       |       |      | Old  |      |      |
|       |      |       |       |       |       |       |       |       |      | Navy |      |      |
|       |      |       |       |       |       |       |       |       |      | , Bu |      |      |
