+---------------------+-------------+--------------------+--------------------+--------------------+
| url                 | Vitamin     | What_It_Does       | Why_You_Need_It    | Best_Foods         |
+---------------------+-------------+--------------------+--------------------+--------------------+
| http://www.promaxnu | Vitamin A   | Vitamin A promotes | Although vitamin A | Vitamin A can be   |
| trition.com/differe |             | healthy vision and | deficiency is rare | found in both      |
| nt-types-of-        |             | skin, and it also  | in North America,  | plant and animal   |
| vitamins-and-their- |             | supports bone and  | it is still        | sources. Some good |
| functions/          |             | tooth growth. In   | important to have  | foods to eat to    |
|                     |             | addition, vitamin  | enough of it in    | get vitamin A are  |
|                     |             | A helps your       | your diet. There   | milk, cheese, and  |
|                     |             | immune system and  | are certain groups | butter. Sources    |
|                     |             | is important in    | of people that are | that are lower in  |
|                     |             | the reproductive   | at risk of having  | fat are carrots,   |
|                     |             | process. Finally,  | low vitamin A      | pumpkins, and      |
|                     |             | vitamin A enables  | levels, including  | apricots.          |
|                     |             | your heart,        | premature infants  |                    |
|                     |             | kidneys, lungs,    | and people with    |                    |
|                     |             | and other organs   | cystic fibrosis.   |                    |
|                     |             | to work properly.  | Vitamin A          |                    |
|                     |             |                    | deficiency can     |                    |
|                     |             |                    | lead to an eye     |                    |
|                     |             |                    | condition called   |                    |
|                     |             |                    | xerophthalmia,     |                    |
|                     |             |                    | which can lead to  |                    |
|                     |             |                    | blindness.         |                    |
+---------------------+-------------+--------------------+--------------------+--------------------+
| http://www.promaxnu | Vitamin B12 | Vitamin B12        | Those that are     | Vitamin B12 is     |
| trition.com/differe |             | promotes healthy   | deficient in       | among the types of |
| nt-types-of-        |             | nerve function and | vitamin B12 can    | vitamins that      |
| vitamins-and-their- |             | also helps your    | suffer from        | occurs naturally   |
| functions/          |             | body make new      | fatigue, anemia,   | in foods and is    |
|                     |             | cells. It can also | loss of appetite,  | also available as  |
|                     |             | help you lower     | and constipation.  | a supplement. Some |
|                     |             | your risk of heart | Not having enough  | foods that are     |
|                     |             | disease because it | B12 in your system | rich in B12 are    |
|                     |             | breaks down fatty  | can also lead to   | meats and dairy,   |
|                     |             | and amino acids.   | neurological       | including poultry, |
|                     |             |                    | consequences, such | fish, cheese,      |
|                     |             |                    | as dementia and    | liver, and yogurt. |
|                     |             |                    | depression.        |                    |
+---------------------+-------------+--------------------+--------------------+--------------------+
| http://www.promaxnu | Vitamin C   | Vitamin C is       | Vitamin C is an    | Citrus is a main   |
| trition.com/differe |             | important for      | antioxidant and    | source of vitamin  |
| nt-types-of-        |             | preventing         | helps protect your | C, although it is  |
| vitamins-and-their- |             | infections and     | cells from free    | also found in      |
| functions/          |             | promoting a        | radicals in the    | vegetables. Some   |
|                     |             | healthy immune     | body. It is also   | good foods to eat  |
|                     |             | system. It also    | needed to create   | to get the vitamin |
|                     |             | helps the body     | collagen, which    | C you need include |
|                     |             | absorb iron, which | allows your wounds | broccoli,          |
|                     |             | is a critical      | to heal. People    | tomatoes, spinach, |
|                     |             | component in the   | who get little to  | and oranges.       |
|                     |             | process of         | no vitamin C may   |                    |
|                     |             | carrying oxygen    | develop scurvy,    |                    |
|                     |             | through your blood | which can also     |                    |
|                     |             | cells.             | bring about        |                    |
|                     |             |                    | depression and     |                    |
|                     |             |                    | anemia, although   |                    |
|                     |             |                    | it is rare.        |                    |
+---------------------+-------------+--------------------+--------------------+--------------------+
| http://www.promaxnu | Vitamin D   | Vitamin D promotes | : Vitamin D can be | Dairy is an        |
| trition.com/differe |             | the absorption of  | absorbed naturally | excellent source   |
| nt-types-of-        |             | calcium in the     | through sunlight.  | of vitamin D,      |
| vitamins-and-their- |             | body, which is     | However, many      | which is not       |
