+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| url   | Team | Team | Coac | Seas | Curr | Curr | Curr | Curr | Care | Care | Care | Care | Acco |
|       |      | _lin | h    | on_H | ent_ | ent_ | ent_ | ent_ | er_W | er_L | er_T | er_W | mpli |
|       |      | k    |      | ired | W    | L    | T    | W%   |      |      |      | %    | shme |
|       |      |      |      |      |      |      |      |      |      |      |      |      | nts  |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| https | Ariz | http | Stev | 2018 | 0    | 0    | 0    | –    | 0    | 0    | 0    | –    |      |
| ://en | ona  | s:// | e Wi |      |      |      |      |      |      |      |      |      |      |
| .wiki | Card | en.w | lks  |      |      |      |      |      |      |      |      |      |      |
| pedia | inal | ikip |      |      |      |      |      |      |      |      |      |      |      |
| .org/ | s    | edia |      |      |      |      |      |      |      |      |      |      |      |
| wiki/ |      | .org |      |      |      |      |      |      |      |      |      |      |      |
| List_ |      | /wik |      |      |      |      |      |      |      |      |      |      |      |
| of_cu |      | i/Ar |      |      |      |      |      |      |      |      |      |      |      |
| rrent |      | izon |      |      |      |      |      |      |      |      |      |      |      |
| _Nati |      | a_Ca |      |      |      |      |      |      |      |      |      |      |      |
| onal_ |      | rdin |      |      |      |      |      |      |      |      |      |      |      |
| Footb |      | als  |      |      |      |      |      |      |      |      |      |      |      |
| all_L |      |      |      |      |      |      |      |      |      |      |      |      |      |
| eague |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _head |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _coac |      |      |      |      |      |      |      |      |      |      |      |      |      |
| hes   |      |      |      |      |      |      |      |      |      |      |      |      |      |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| https | Atla | http | Dan  | 2015 | 29   | 19   | 0    | 0.60 | 29   | 19   | 0    | 0.60 | 1    |
| ://en | nta  | s:// | Quin |      |      |      |      | 4    |      |      |      | 4    | NFC  |
| .wiki | Falc | en.w | n    |      |      |      |      |      |      |      |      |      | Cham |
| pedia | ons  | ikip |      |      |      |      |      |      |      |      |      |      | pion |
| .org/ |      | edia |      |      |      |      |      |      |      |      |      |      | ship |
| wiki/ |      | .org |      |      |      |      |      |      |      |      |      |      |  1   |
| List_ |      | /wik |      |      |      |      |      |      |      |      |      |      | NFC  |
| of_cu |      | i/At |      |      |      |      |      |      |      |      |      |      | Sout |
| rrent |      | lant |      |      |      |      |      |      |      |      |      |      | h Ch |
| _Nati |      | a_Fa |      |      |      |      |      |      |      |      |      |      | ampi |
| onal_ |      | lcon |      |      |      |      |      |      |      |      |      |      | onsh |
| Footb |      | s    |      |      |      |      |      |      |      |      |      |      | ip   |
| all_L |      |      |      |      |      |      |      |      |      |      |      |      |  2 P |
| eague |      |      |      |      |      |      |      |      |      |      |      |      | layo |
| _head |      |      |      |      |      |      |      |      |      |      |      |      | ff B |
| _coac |      |      |      |      |      |      |      |      |      |      |      |      | erth |
| hes   |      |      |      |      |      |      |      |      |      |      |      |      | s    |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| https | Balt | http | John | 2008 | 94   | 66   | 0    | 0.58 | 94   | 66   | 0    | 0.58 | 1 Su |
| ://en | imor | s:// | Harb |      |      |      |      | 8    |      |      |      | 8    | per  |
| .wiki | e Ra | en.w | augh |      |      |      |      |      |      |      |      |      | Bowl |
| pedia | vens | ikip |      |      |      |      |      |      |      |      |      |      | Cham |
| .org/ |      | edia |      |      |      |      |      |      |      |      |      |      | pion |
| wiki/ |      | .org |      |      |      |      |      |      |      |      |      |      | ship |
| List_ |      | /wik |      |      |      |      |      |      |      |      |      |      |  1   |
| of_cu |      | i/Ba |      |      |      |      |      |      |      |      |      |      | AFC  |
| rrent |      | ltim |      |      |      |      |      |      |      |      |      |      | Cham |
| _Nati |      | ore_ |      |      |      |      |      |      |      |      |      |      | pion |
| onal_ |      | Rave |      |      |      |      |      |      |      |      |      |      | ship |
| Footb |      | ns   |      |      |      |      |      |      |      |      |      |      |  2   |
| all_L |      |      |      |      |      |      |      |      |      |      |      |      | AFC  |
| eague |      |      |      |      |      |      |      |      |      |      |      |      | Nort |
| _head |      |      |      |      |      |      |      |      |      |      |      |      | h Ch |
